sample_index,real_time_s,raw_adc,amplitude,voltage
0,09:58:03.964,2028,-0.0095,1.6343
1,09:58:03.965,2023,-0.0120,1.6303
2,09:58:03.965,2028,-0.0095,1.6343
3,09:58:03.966,2027,-0.0100,1.6335
4,09:58:03.966,2025,-0.0110,1.6319
5,09:58:03.967,2026,-0.0105,1.6327
6,09:58:03.967,2025,-0.0110,1.6319
7,09:58:03.968,2027,-0.0100,1.6335
8,09:58:03.968,2027,-0.0100,1.6335
9,09:58:03.969,2029,-0.0090,1.6351
10,09:58:03.969,2028,-0.0095,1.6343
11,09:58:03.970,2027,-0.0100,1.6335
12,09:58:03.970,2025,-0.0110,1.6319
13,09:58:03.971,2026,-0.0105,1.6327
14,09:58:03.971,2031,-0.0081,1.6367
15,09:58:03.972,2029,-0.0090,1.6351
16,09:58:03.972,2030,-0.0085,1.6359
17,09:58:03.973,2030,-0.0085,1.6359
18,09:58:03.973,2035,-0.0061,1.6399
19,09:58:03.974,2031,-0.0081,1.6367
20,09:58:03.974,2027,-0.0100,1.6335
21,09:58:03.975,2029,-0.0090,1.6351
22,09:58:03.975,2025,-0.0110,1.6319
23,09:58:03.976,2027,-0.0100,1.6335
24,09:58:03.976,2021,-0.0129,1.6286
25,09:58:03.977,2026,-0.0105,1.6327
26,09:58:03.977,2027,-0.0100,1.6335
27,09:58:03.978,2022,-0.0125,1.6295
28,09:58:03.978,2022,-0.0125,1.6295
29,09:58:03.979,2020,-0.0134,1.6278
30,09:58:03.979,2020,-0.0134,1.6278
31,09:58:03.980,2019,-0.0139,1.6270
32,09:58:03.980,2021,-0.0129,1.6286
33,09:58:03.981,2025,-0.0110,1.6319
34,09:58:03.981,2021,-0.0129,1.6286
35,09:58:03.982,2023,-0.0120,1.6303
36,09:58:03.982,2023,-0.0120,1.6303
37,09:58:03.983,2028,-0.0095,1.6343
38,09:58:03.983,2025,-0.0110,1.6319
39,09:58:03.984,2029,-0.0090,1.6351
40,09:58:03.984,2029,-0.0090,1.6351
41,09:58:03.985,2028,-0.0095,1.6343
42,09:58:03.985,2026,-0.0105,1.6327
43,09:58:03.986,2025,-0.0110,1.6319
44,09:58:03.986,2026,-0.0105,1.6327
45,09:58:03.987,2030,-0.0085,1.6359
46,09:58:03.987,2026,-0.0105,1.6327
47,09:58:03.988,2028,-0.0095,1.6343
