sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:41:19.921,2043,-0.0022,1.6464
1,18:41:19.922,2051,0.0017,1.6528
2,18:41:19.922,2053,0.0027,1.6544
3,18:41:19.923,2058,0.0051,1.6585
4,18:41:19.923,2061,0.0066,1.6609
5,18:41:19.924,2064,0.0081,1.6633
6,18:41:19.924,2069,0.0105,1.6673
7,18:41:19.925,2071,0.0115,1.6689
8,18:41:19.925,2075,0.0134,1.6722
9,18:41:19.926,2073,0.0125,1.6705
10,18:41:19.926,2072,0.0120,1.6697
11,18:41:19.927,2077,0.0144,1.6738
12,18:41:19.927,2076,0.0139,1.6730
13,18:41:19.928,2074,0.0129,1.6714
14,18:41:19.928,2072,0.0120,1.6697
15,18:41:19.929,2074,0.0129,1.6714
16,18:41:19.929,2068,0.0100,1.6665
17,18:41:19.930,2073,0.0125,1.6705
18,18:41:19.930,2069,0.0105,1.6673
19,18:41:19.931,2064,0.0081,1.6633
20,18:41:19.931,2068,0.0100,1.6665
21,18:41:19.932,2061,0.0066,1.6609
22,18:41:19.932,2060,0.0061,1.6601
23,18:41:19.933,2059,0.0056,1.6593
24,18:41:19.933,2049,0.0007,1.6512
25,18:41:19.934,2052,0.0022,1.6536
26,18:41:19.934,2042,-0.0027,1.6456
27,18:41:19.935,2045,-0.0012,1.6480
28,18:41:19.935,2040,-0.0037,1.6440
29,18:41:19.936,2039,-0.0042,1.6432
30,18:41:19.936,2038,-0.0046,1.6423
31,18:41:19.937,2040,-0.0037,1.6440
32,18:41:19.937,2040,-0.0037,1.6440
33,18:41:19.938,2035,-0.0061,1.6399
34,18:41:19.938,2035,-0.0061,1.6399
35,18:41:19.939,2036,-0.0056,1.6407
36,18:41:19.939,2037,-0.0051,1.6415
37,18:41:19.940,2039,-0.0042,1.6432
38,18:41:19.940,2037,-0.0051,1.6415
39,18:41:19.941,2040,-0.0037,1.6440
40,18:41:19.941,2036,-0.0056,1.6407
41,18:41:19.942,2039,-0.0042,1.6432
42,18:41:19.942,2039,-0.0042,1.6432
43,18:41:19.943,2043,-0.0022,1.6464
44,18:41:19.943,2041,-0.0032,1.6448
45,18:41:19.944,2040,-0.0037,1.6440
46,18:41:19.944,2040,-0.0037,1.6440
47,18:41:19.945,2044,-0.0017,1.6472
48,18:41:19.945,2038,-0.0046,1.6423
49,18:41:19.946,2039,-0.0042,1.6432
50,18:41:19.946,2037,-0.0051,1.6415
51,18:41:19.947,2039,-0.0042,1.6432
52,18:41:19.947,2036,-0.0056,1.6407
53,18:41:19.948,2034,-0.0066,1.6391
54,18:41:19.948,2033,-0.0071,1.6383
55,18:41:19.949,2034,-0.0066,1.6391
56,18:41:19.949,2029,-0.0090,1.6351
57,18:41:19.950,2029,-0.0090,1.6351
58,18:41:19.950,2029,-0.0090,1.6351
59,18:41:19.951,2026,-0.0105,1.6327
60,18:41:19.951,2023,-0.0120,1.6303
61,18:41:19.952,2024,-0.0115,1.6311
62,18:41:19.952,2017,-0.0149,1.6254
63,18:41:19.953,2017,-0.0149,1.6254
64,18:41:19.953,2016,-0.0154,1.6246
65,18:41:19.954,2012,-0.0173,1.6214
66,18:41:19.954,2010,-0.0183,1.6198
67,18:41:19.955,2008,-0.0193,1.6182
68,18:41:19.955,2006,-0.0203,1.6166
69,18:41:19.956,2003,-0.0217,1.6141
70,18:41:19.956,2005,-0.0208,1.6158
71,18:41:19.957,2006,-0.0203,1.6166
72,18:41:19.957,2001,-0.0227,1.6125
73,18:41:19.958,2008,-0.0193,1.6182
74,18:41:19.958,2006,-0.0203,1.6166
75,18:41:19.959,2007,-0.0198,1.6174
76,18:41:19.959,2007,-0.0198,1.6174
77,18:41:19.960,2010,-0.0183,1.6198
78,18:41:19.960,2016,-0.0154,1.6246
79,18:41:19.961,2015,-0.0159,1.6238
80,18:41:19.961,2020,-0.0134,1.6278
81,18:41:19.962,2018,-0.0144,1.6262
82,18:41:19.962,2022,-0.0125,1.6295
83,18:41:19.963,2018,-0.0144,1.6262
84,18:41:19.963,2024,-0.0115,1.6311
85,18:41:19.964,2026,-0.0105,1.6327
86,18:41:19.964,2027,-0.0100,1.6335
87,18:41:19.965,2027,-0.0100,1.6335
88,18:41:19.965,2026,-0.0105,1.6327
89,18:41:19.966,2028,-0.0095,1.6343
90,18:41:19.966,2028,-0.0095,1.6343
