sample_index,real_time_s,raw_adc,amplitude,voltage
0,22:46:15.316,2022,-0.0125,1.6295
1,22:46:15.316,2022,-0.0125,1.6295
2,22:46:15.317,2028,-0.0095,1.6343
3,22:46:15.317,2029,-0.0090,1.6351
4,22:46:15.318,2027,-0.0100,1.6335
5,22:46:15.318,2025,-0.0110,1.6319
6,22:46:15.319,2024,-0.0115,1.6311
7,22:46:15.319,2027,-0.0100,1.6335
8,22:46:15.320,2031,-0.0081,1.6367
9,22:46:15.320,2024,-0.0115,1.6311
10,22:46:15.321,2025,-0.0110,1.6319
11,22:46:15.321,2024,-0.0115,1.6311
12,22:46:15.322,2022,-0.0125,1.6295
13,22:46:15.322,2022,-0.0125,1.6295
14,22:46:15.323,2024,-0.0115,1.6311
15,22:46:15.323,2018,-0.0144,1.6262
16,22:46:15.324,2024,-0.0115,1.6311
17,22:46:15.324,2024,-0.0115,1.6311
18,22:46:15.325,2022,-0.0125,1.6295
19,22:46:15.325,2023,-0.0120,1.6303
20,22:46:15.326,2024,-0.0115,1.6311
21,22:46:15.326,2021,-0.0129,1.6286
22,22:46:15.327,2025,-0.0110,1.6319
23,22:46:15.327,2020,-0.0134,1.6278
24,22:46:15.328,2026,-0.0105,1.6327
25,22:46:15.328,2025,-0.0110,1.6319
26,22:46:15.329,2022,-0.0125,1.6295
27,22:46:15.329,2025,-0.0110,1.6319
28,22:46:15.330,2025,-0.0110,1.6319
29,22:46:15.330,2025,-0.0110,1.6319
30,22:46:15.331,2026,-0.0105,1.6327
31,22:46:15.331,2023,-0.0120,1.6303
32,22:46:15.332,2022,-0.0125,1.6295
33,22:46:15.332,2026,-0.0105,1.6327
34,22:46:15.333,2021,-0.0129,1.6286
35,22:46:15.333,2027,-0.0100,1.6335
36,22:46:15.334,2023,-0.0120,1.6303
37,22:46:15.334,2021,-0.0129,1.6286
38,22:46:15.335,2022,-0.0125,1.6295
39,22:46:15.335,2023,-0.0120,1.6303
40,22:46:15.336,2026,-0.0105,1.6327
