sample_index,real_time_s,raw_adc,amplitude,voltage
0,19:08:37.638,2027,-0.0100,1.6335
1,19:08:37.638,2027,-0.0100,1.6335
2,19:08:37.639,2024,-0.0115,1.6311
3,19:08:37.639,2023,-0.0120,1.6303
4,19:08:37.640,2025,-0.0110,1.6319
5,19:08:37.640,2024,-0.0115,1.6311
6,19:08:37.641,2031,-0.0081,1.6367
7,19:08:37.641,2023,-0.0120,1.6303
8,19:08:37.642,2026,-0.0105,1.6327
9,19:08:37.642,2024,-0.0115,1.6311
10,19:08:37.643,2027,-0.0100,1.6335
11,19:08:37.643,2026,-0.0105,1.6327
12,19:08:37.644,2024,-0.0115,1.6311
13,19:08:37.644,2024,-0.0115,1.6311
14,19:08:37.645,2031,-0.0081,1.6367
15,19:08:37.645,2025,-0.0110,1.6319
16,19:08:37.646,2023,-0.0120,1.6303
17,19:08:37.646,2024,-0.0115,1.6311
18,19:08:37.647,2022,-0.0125,1.6295
19,19:08:37.647,2026,-0.0105,1.6327
20,19:08:37.648,2022,-0.0125,1.6295
21,19:08:37.648,2030,-0.0085,1.6359
22,19:08:37.649,2028,-0.0095,1.6343
23,19:08:37.649,2027,-0.0100,1.6335
24,19:08:37.650,2027,-0.0100,1.6335
25,19:08:37.650,2029,-0.0090,1.6351
26,19:08:37.651,2025,-0.0110,1.6319
27,19:08:37.651,2028,-0.0095,1.6343
28,19:08:37.652,2024,-0.0115,1.6311
29,19:08:37.652,2028,-0.0095,1.6343
30,19:08:37.653,2024,-0.0115,1.6311
31,19:08:37.653,2028,-0.0095,1.6343
32,19:08:37.654,2021,-0.0129,1.6286
33,19:08:37.654,2028,-0.0095,1.6343
34,19:08:37.655,2024,-0.0115,1.6311
35,19:08:37.655,2024,-0.0115,1.6311
36,19:08:37.656,2028,-0.0095,1.6343
37,19:08:37.656,2025,-0.0110,1.6319
38,19:08:37.657,2028,-0.0095,1.6343
39,19:08:37.657,2024,-0.0115,1.6311
40,19:08:37.658,2024,-0.0115,1.6311
41,19:08:37.658,2024,-0.0115,1.6311
42,19:08:37.659,2022,-0.0125,1.6295
43,19:08:37.659,2027,-0.0100,1.6335
44,19:08:37.660,2023,-0.0120,1.6303
45,19:08:37.660,2027,-0.0100,1.6335
46,19:08:37.661,2028,-0.0095,1.6343
47,19:08:37.661,2024,-0.0115,1.6311
48,19:08:37.662,2028,-0.0095,1.6343
49,19:08:37.662,2028,-0.0095,1.6343
50,19:08:37.663,2023,-0.0120,1.6303
51,19:08:37.663,2025,-0.0110,1.6319
52,19:08:37.664,2025,-0.0110,1.6319
53,19:08:37.664,2024,-0.0115,1.6311
54,19:08:37.665,2024,-0.0115,1.6311
55,19:08:37.665,2026,-0.0105,1.6327
56,19:08:37.666,2028,-0.0095,1.6343
57,19:08:37.666,2025,-0.0110,1.6319
58,19:08:37.667,2029,-0.0090,1.6351
59,19:08:37.667,2026,-0.0105,1.6327
60,19:08:37.668,2026,-0.0105,1.6327
61,19:08:37.668,2028,-0.0095,1.6343
