sample_index,real_time_s,raw_adc,amplitude
0,20:40:15.773,3797,0.8545
1,20:40:15.773,3805,0.8584
2,20:40:15.774,3796,0.8540
3,20:40:15.774,3794,0.8530
4,20:40:15.775,3802,0.8569
5,20:40:15.775,3792,0.8520
6,20:40:15.776,3826,0.8686
7,20:40:15.776,3817,0.8642
8,20:40:15.777,3822,0.8667
9,20:40:15.777,3818,0.8647
10,20:40:15.778,3814,0.8628
11,20:40:15.778,3825,0.8681
12,20:40:15.779,3828,0.8696
13,20:40:15.779,3819,0.8652
14,20:40:15.780,3815,0.8632
15,20:40:15.780,3814,0.8628
16,20:40:15.781,3813,0.8623
17,20:40:15.781,3815,0.8632
18,20:40:15.782,3805,0.8584
19,20:40:15.782,3811,0.8613
20,20:40:15.783,3800,0.8559
21,20:40:15.783,3801,0.8564
22,20:40:15.784,3799,0.8554
23,20:40:15.784,3793,0.8525
24,20:40:15.785,3768,0.8403
25,20:40:15.785,3794,0.8530
26,20:40:15.786,3769,0.8408
27,20:40:15.786,3779,0.8457
28,20:40:15.787,3801,0.8564
29,20:40:15.787,3776,0.8442
30,20:40:15.788,3775,0.8437
31,20:40:15.788,3778,0.8452
32,20:40:15.789,3773,0.8427
33,20:40:15.789,3782,0.8471
34,20:40:15.790,3779,0.8457
35,20:40:15.790,3766,0.8393
36,20:40:15.791,3782,0.8471
37,20:40:15.791,3788,0.8501
38,20:40:15.792,3782,0.8471
39,20:40:15.792,3790,0.8510
40,20:40:15.793,3796,0.8540
41,20:40:15.793,3809,0.8603
42,20:40:15.794,3797,0.8545
43,20:40:15.794,3800,0.8559
44,20:40:15.795,3799,0.8554
45,20:40:15.795,3875,0.8926
46,20:40:15.796,3831,0.8711
47,20:40:15.796,3826,0.8686
48,20:40:15.797,3823,0.8672
49,20:40:15.797,3821,0.8662
50,20:40:15.798,3827,0.8691
51,20:40:15.798,3820,0.8657
52,20:40:15.799,3829,0.8701
53,20:40:15.799,3821,0.8662
54,20:40:15.800,3809,0.8603
55,20:40:15.800,3815,0.8632
56,20:40:15.801,3811,0.8613
57,20:40:15.801,3822,0.8667
58,20:40:15.802,3816,0.8637
59,20:40:15.802,3802,0.8569
60,20:40:15.803,3788,0.8501
61,20:40:15.803,3817,0.8642
62,20:40:15.804,3799,0.8554
63,20:40:15.804,3795,0.8535
64,20:40:15.805,3797,0.8545
65,20:40:15.805,3807,0.8593
66,20:40:15.806,3781,0.8466
67,20:40:15.806,3772,0.8422
68,20:40:15.807,3774,0.8432
69,20:40:15.807,3781,0.8466
70,20:40:15.808,3776,0.8442
71,20:40:15.808,3773,0.8427
72,20:40:15.809,3774,0.8432
73,20:40:15.809,3772,0.8422
74,20:40:15.810,3784,0.8481
75,20:40:15.810,3775,0.8437
76,20:40:15.811,3778,0.8452
77,20:40:15.811,3760,0.8364
78,20:40:15.812,3792,0.8520
79,20:40:15.812,3786,0.8491
80,20:40:15.813,3801,0.8564
81,20:40:15.813,3795,0.8535
82,20:40:15.814,3792,0.8520
83,20:40:15.814,3802,0.8569
84,20:40:15.815,3796,0.8540
85,20:40:15.815,3804,0.8579
86,20:40:15.816,3824,0.8676
87,20:40:15.816,3819,0.8652
88,20:40:15.817,3829,0.8701
89,20:40:15.817,3824,0.8676
90,20:40:15.818,3819,0.8652
91,20:40:15.818,3820,0.8657
92,20:40:15.819,3821,0.8662
93,20:40:15.819,3821,0.8662
94,20:40:15.820,3812,0.8618
95,20:40:15.820,3820,0.8657
96,20:40:15.821,3815,0.8632
97,20:40:15.821,3821,0.8662
98,20:40:15.822,3853,0.8818
99,20:40:15.822,3809,0.8603
100,20:40:15.823,3792,0.8520
101,20:40:15.823,3793,0.8525
102,20:40:15.824,3808,0.8598
103,20:40:15.824,3789,0.8505
104,20:40:15.825,3793,0.8525
105,20:40:15.825,3788,0.8501
106,20:40:15.826,3773,0.8427
107,20:40:15.826,3776,0.8442
108,20:40:15.827,3783,0.8476
109,20:40:15.827,3768,0.8403
110,20:40:15.828,3766,0.8393
111,20:40:15.828,3775,0.8437
112,20:40:15.829,3762,0.8374
113,20:40:15.829,3776,0.8442
114,20:40:15.830,3770,0.8413
115,20:40:15.830,3783,0.8476
116,20:40:15.831,3781,0.8466
117,20:40:15.831,3786,0.8491
118,20:40:15.832,3801,0.8564
119,20:40:15.832,3792,0.8520
120,20:40:15.833,3794,0.8530
121,20:40:15.833,3820,0.8657
122,20:40:15.834,3806,0.8589
123,20:40:15.834,3784,0.8481
124,20:40:15.835,3789,0.8505
125,20:40:15.835,3804,0.8579
126,20:40:15.836,3833,0.8720
127,20:40:15.836,3824,0.8676
128,20:40:15.837,3820,0.8657
129,20:40:15.837,3819,0.8652
130,20:40:15.838,3822,0.8667
131,20:40:15.838,3821,0.8662
132,20:40:15.839,3825,0.8681
133,20:40:15.839,3818,0.8647
134,20:40:15.840,3825,0.8681
135,20:40:15.840,3816,0.8637
136,20:40:15.841,3818,0.8647
137,20:40:15.841,3818,0.8647
138,20:40:15.842,3813,0.8623
139,20:40:15.842,3794,0.8530
140,20:40:15.843,3844,0.8774
141,20:40:15.843,3786,0.8491
142,20:40:15.844,3774,0.8432
143,20:40:15.844,3797,0.8545
144,20:40:15.845,3786,0.8491
145,20:40:15.845,3785,0.8486
146,20:40:15.846,3729,0.8212
147,20:40:15.846,3772,0.8422
148,20:40:15.847,3780,0.8462
149,20:40:15.847,3777,0.8447
150,20:40:15.848,3770,0.8413
151,20:40:15.848,3767,0.8398
152,20:40:15.849,3780,0.8462
153,20:40:15.849,3783,0.8476
154,20:40:15.850,3778,0.8452
155,20:40:15.850,3776,0.8442
156,20:40:15.851,3765,0.8388
157,20:40:15.851,3781,0.8466
158,20:40:15.852,3785,0.8486
159,20:40:15.852,3788,0.8501
160,20:40:15.853,3796,0.8540
161,20:40:15.853,3799,0.8554
162,20:40:15.854,3798,0.8549
163,20:40:15.854,3812,0.8618
164,20:40:15.855,3809,0.8603
165,20:40:15.855,3797,0.8545
166,20:40:15.856,3827,0.8691
167,20:40:15.856,3822,0.8667
168,20:40:15.857,3818,0.8647
169,20:40:15.857,3827,0.8691
170,20:40:15.858,3824,0.8676
171,20:40:15.858,3822,0.8667
172,20:40:15.859,3855,0.8828
173,20:40:15.859,3822,0.8667
174,20:40:15.860,3812,0.8618
175,20:40:15.860,3813,0.8623
176,20:40:15.861,3821,0.8662
177,20:40:15.861,3820,0.8657
178,20:40:15.862,3813,0.8623
179,20:40:15.862,3796,0.8540
180,20:40:15.863,3800,0.8559
181,20:40:15.863,3806,0.8589
182,20:40:15.864,3791,0.8515
183,20:40:15.864,3780,0.8462
184,20:40:15.865,3793,0.8525
185,20:40:15.865,3796,0.8540
186,20:40:15.866,3780,0.8462
187,20:40:15.866,3785,0.8486
188,20:40:15.867,3776,0.8442
189,20:40:15.867,3775,0.8437
190,20:40:15.868,3776,0.8442
191,20:40:15.868,3779,0.8457
192,20:40:15.869,3776,0.8442
193,20:40:15.869,3765,0.8388
194,20:40:15.870,3766,0.8393
195,20:40:15.870,3781,0.8466
196,20:40:15.871,3788,0.8501
197,20:40:15.871,3792,0.8520
198,20:40:15.872,3777,0.8447
199,20:40:15.872,3808,0.8598
200,20:40:15.873,3795,0.8535
201,20:40:15.873,3793,0.8525
202,20:40:15.874,3797,0.8545
203,20:40:15.874,3806,0.8589
204,20:40:15.875,3810,0.8608
205,20:40:15.875,3836,0.8735
206,20:40:15.876,3819,0.8652
207,20:40:15.876,3814,0.8628
208,20:40:15.877,3815,0.8632
209,20:40:15.877,3820,0.8657
210,20:40:15.878,3818,0.8647
211,20:40:15.878,3819,0.8652
212,20:40:15.879,3824,0.8676
213,20:40:15.879,3818,0.8647
214,20:40:15.880,3818,0.8647
215,20:40:15.880,3816,0.8637
216,20:40:15.881,3810,0.8608
217,20:40:15.881,3814,0.8628
218,20:40:15.882,3810,0.8608
219,20:40:15.882,3801,0.8564
