sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:50:24.295,2071,0.0115,1.6689
1,18:50:24.295,2068,0.0100,1.6665
2,18:50:24.296,2069,0.0105,1.6673
3,18:50:24.296,2068,0.0100,1.6665
4,18:50:24.297,2067,0.0095,1.6657
5,18:50:24.297,2070,0.0110,1.6681
6,18:50:24.298,2067,0.0095,1.6657
7,18:50:24.298,2068,0.0100,1.6665
8,18:50:24.299,2065,0.0085,1.6641
9,18:50:24.299,2069,0.0105,1.6673
10,18:50:24.300,2066,0.0090,1.6649
11,18:50:24.300,2066,0.0090,1.6649
12,18:50:24.301,2069,0.0105,1.6673
13,18:50:24.301,2066,0.0090,1.6649
14,18:50:24.302,2070,0.0110,1.6681
15,18:50:24.302,2067,0.0095,1.6657
16,18:50:24.303,2067,0.0095,1.6657
17,18:50:24.303,2070,0.0110,1.6681
18,18:50:24.304,2067,0.0095,1.6657
19,18:50:24.304,2065,0.0085,1.6641
20,18:50:24.305,2066,0.0090,1.6649
21,18:50:24.305,2070,0.0110,1.6681
22,18:50:24.306,2067,0.0095,1.6657
23,18:50:24.306,2069,0.0105,1.6673
24,18:50:24.307,2067,0.0095,1.6657
25,18:50:24.307,2067,0.0095,1.6657
26,18:50:24.308,2070,0.0110,1.6681
27,18:50:24.308,2069,0.0105,1.6673
28,18:50:24.309,2067,0.0095,1.6657
29,18:50:24.309,2069,0.0105,1.6673
30,18:50:24.310,2067,0.0095,1.6657
31,18:50:24.310,2067,0.0095,1.6657
32,18:50:24.311,2070,0.0110,1.6681
33,18:50:24.311,2068,0.0100,1.6665
34,18:50:24.312,2066,0.0090,1.6649
35,18:50:24.312,2067,0.0095,1.6657
36,18:50:24.313,2067,0.0095,1.6657
37,18:50:24.313,2070,0.0110,1.6681
38,18:50:24.314,2067,0.0095,1.6657
39,18:50:24.314,2070,0.0110,1.6681
40,18:50:24.315,2067,0.0095,1.6657
41,18:50:24.315,2070,0.0110,1.6681
42,18:50:24.316,2071,0.0115,1.6689
43,18:50:24.316,2070,0.0110,1.6681
44,18:50:24.317,2066,0.0090,1.6649
45,18:50:24.317,2067,0.0095,1.6657
46,18:50:24.318,2069,0.0105,1.6673
47,18:50:24.318,2067,0.0095,1.6657
48,18:50:24.319,2069,0.0105,1.6673
49,18:50:24.319,2067,0.0095,1.6657
50,18:50:24.320,2069,0.0105,1.6673
51,18:50:24.320,2067,0.0095,1.6657
52,18:50:24.321,2069,0.0105,1.6673
53,18:50:24.321,2065,0.0085,1.6641
54,18:50:24.322,2069,0.0105,1.6673
55,18:50:24.322,2064,0.0081,1.6633
56,18:50:24.323,2070,0.0110,1.6681
57,18:50:24.323,2070,0.0110,1.6681
58,18:50:24.324,2065,0.0085,1.6641
59,18:50:24.324,2068,0.0100,1.6665
60,18:50:24.325,2071,0.0115,1.6689
61,18:50:24.325,2067,0.0095,1.6657
62,18:50:24.326,2066,0.0090,1.6649
63,18:50:24.326,2067,0.0095,1.6657
64,18:50:24.327,2066,0.0090,1.6649
65,18:50:24.327,2070,0.0110,1.6681
66,18:50:24.328,2069,0.0105,1.6673
67,18:50:24.328,2069,0.0105,1.6673
68,18:50:24.329,2068,0.0100,1.6665
69,18:50:24.329,2072,0.0120,1.6697
70,18:50:24.330,2071,0.0115,1.6689
71,18:50:24.330,2072,0.0120,1.6697
72,18:50:24.331,2068,0.0100,1.6665
73,18:50:24.331,2065,0.0085,1.6641
74,18:50:24.332,2070,0.0110,1.6681
75,18:50:24.332,2071,0.0115,1.6689
76,18:50:24.333,2070,0.0110,1.6681
77,18:50:24.333,2068,0.0100,1.6665
78,18:50:24.334,2069,0.0105,1.6673
79,18:50:24.334,2070,0.0110,1.6681
80,18:50:24.335,2070,0.0110,1.6681
81,18:50:24.335,2067,0.0095,1.6657
82,18:50:24.336,2068,0.0100,1.6665
83,18:50:24.336,2071,0.0115,1.6689
84,18:50:24.337,2068,0.0100,1.6665
85,18:50:24.337,2072,0.0120,1.6697
86,18:50:24.338,2071,0.0115,1.6689
87,18:50:24.338,2069,0.0105,1.6673
88,18:50:24.339,2068,0.0100,1.6665
89,18:50:24.339,2072,0.0120,1.6697
90,18:50:24.340,2072,0.0120,1.6697
91,18:50:24.340,2069,0.0105,1.6673
92,18:50:24.341,2068,0.0100,1.6665
93,18:50:24.341,2071,0.0115,1.6689
94,18:50:24.342,2067,0.0095,1.6657
95,18:50:24.342,2070,0.0110,1.6681
96,18:50:24.343,2072,0.0120,1.6697
97,18:50:24.343,2071,0.0115,1.6689
98,18:50:24.344,2070,0.0110,1.6681
99,18:50:24.344,2071,0.0115,1.6689
100,18:50:24.345,2072,0.0120,1.6697
101,18:50:24.345,2071,0.0115,1.6689
102,18:50:24.346,2071,0.0115,1.6689
103,18:50:24.346,2074,0.0129,1.6714
104,18:50:24.347,2075,0.0134,1.6722
105,18:50:24.347,2079,0.0154,1.6754
106,18:50:24.348,2080,0.0159,1.6762
107,18:50:24.348,2078,0.0149,1.6746
108,18:50:24.349,2076,0.0139,1.6730
109,18:50:24.349,2078,0.0149,1.6746
110,18:50:24.350,2078,0.0149,1.6746
111,18:50:24.350,2076,0.0139,1.6730
112,18:50:24.351,2075,0.0134,1.6722
113,18:50:24.351,2076,0.0139,1.6730
114,18:50:24.352,2076,0.0139,1.6730
115,18:50:24.352,2079,0.0154,1.6754
116,18:50:24.353,2082,0.0168,1.6778
117,18:50:24.353,2079,0.0154,1.6754
118,18:50:24.354,2078,0.0149,1.6746
119,18:50:24.354,2080,0.0159,1.6762
120,18:50:24.355,2080,0.0159,1.6762
121,18:50:24.355,2077,0.0144,1.6738
122,18:50:24.356,2076,0.0139,1.6730
123,18:50:24.356,2080,0.0159,1.6762
124,18:50:24.357,2081,0.0164,1.6770
125,18:50:24.357,2078,0.0149,1.6746
126,18:50:24.358,2079,0.0154,1.6754
127,18:50:24.358,2078,0.0149,1.6746
128,18:50:24.359,2079,0.0154,1.6754
129,18:50:24.359,2077,0.0144,1.6738
130,18:50:24.360,2077,0.0144,1.6738
131,18:50:24.360,2077,0.0144,1.6738
132,18:50:24.361,2080,0.0159,1.6762
133,18:50:24.361,2081,0.0164,1.6770
134,18:50:24.362,2081,0.0164,1.6770
135,18:50:24.362,2069,0.0105,1.6673
136,18:50:24.363,2085,0.0183,1.6802
137,18:50:24.363,2088,0.0198,1.6826
138,18:50:24.364,2076,0.0139,1.6730
139,18:50:24.364,2073,0.0125,1.6705
140,18:50:24.365,2083,0.0173,1.6786
141,18:50:24.365,2075,0.0134,1.6722
142,18:50:24.366,2073,0.0125,1.6705
143,18:50:24.366,2075,0.0134,1.6722
144,18:50:24.367,2086,0.0188,1.6810
145,18:50:24.367,2079,0.0154,1.6754
146,18:50:24.368,2083,0.0173,1.6786
147,18:50:24.368,2083,0.0173,1.6786
148,18:50:24.369,2082,0.0168,1.6778
149,18:50:24.369,2077,0.0144,1.6738
150,18:50:24.370,2079,0.0154,1.6754
151,18:50:24.370,2075,0.0134,1.6722
152,18:50:24.371,2071,0.0115,1.6689
153,18:50:24.371,2081,0.0164,1.6770
154,18:50:24.372,2089,0.0203,1.6834
155,18:50:24.372,2083,0.0173,1.6786
156,18:50:24.373,2078,0.0149,1.6746
157,18:50:24.373,2088,0.0198,1.6826
158,18:50:24.374,2079,0.0154,1.6754
159,18:50:24.374,2069,0.0105,1.6673
160,18:50:24.375,2074,0.0129,1.6714
161,18:50:24.375,2081,0.0164,1.6770
162,18:50:24.376,2082,0.0168,1.6778
163,18:50:24.376,2085,0.0183,1.6802
164,18:50:24.377,2090,0.0208,1.6842
165,18:50:24.377,2085,0.0183,1.6802
166,18:50:24.378,2080,0.0159,1.6762
167,18:50:24.378,2082,0.0168,1.6778
168,18:50:24.379,2077,0.0144,1.6738
169,18:50:24.379,2073,0.0125,1.6705
170,18:50:24.380,2082,0.0168,1.6778
171,18:50:24.380,2089,0.0203,1.6834
172,18:50:24.381,2089,0.0203,1.6834
173,18:50:24.381,2087,0.0193,1.6818
174,18:50:24.382,2096,0.0237,1.6891
175,18:50:24.382,2085,0.0183,1.6802
176,18:50:24.383,2078,0.0149,1.6746
177,18:50:24.383,2080,0.0159,1.6762
178,18:50:24.384,2085,0.0183,1.6802
179,18:50:24.384,2089,0.0203,1.6834
180,18:50:24.385,2094,0.0227,1.6875
181,18:50:24.385,2095,0.0232,1.6883
182,18:50:24.386,2093,0.0222,1.6867
183,18:50:24.386,2093,0.0222,1.6867
184,18:50:24.387,2091,0.0212,1.6851
185,18:50:24.387,2082,0.0168,1.6778
186,18:50:24.388,2078,0.0149,1.6746
187,18:50:24.388,2090,0.0208,1.6842
188,18:50:24.389,2093,0.0222,1.6867
189,18:50:24.389,2091,0.0212,1.6851
190,18:50:24.390,2093,0.0222,1.6867
191,18:50:24.390,2102,0.0266,1.6939
192,18:50:24.391,2089,0.0203,1.6834
193,18:50:24.391,2080,0.0159,1.6762
194,18:50:24.392,2082,0.0168,1.6778
195,18:50:24.392,2085,0.0183,1.6802
196,18:50:24.393,2094,0.0227,1.6875
197,18:50:24.393,2100,0.0256,1.6923
198,18:50:24.394,2101,0.0261,1.6931
199,18:50:24.394,2100,0.0256,1.6923
200,18:50:24.395,2098,0.0247,1.6907
201,18:50:24.395,2090,0.0208,1.6842
202,18:50:24.396,2076,0.0139,1.6730
203,18:50:24.396,2073,0.0125,1.6705
204,18:50:24.397,2077,0.0144,1.6738
205,18:50:24.397,2082,0.0168,1.6778
206,18:50:24.398,2082,0.0168,1.6778
207,18:50:24.398,2078,0.0149,1.6746
208,18:50:24.399,2086,0.0188,1.6810
209,18:50:24.399,2076,0.0139,1.6730
210,18:50:24.400,2072,0.0120,1.6697
211,18:50:24.400,2072,0.0120,1.6697
212,18:50:24.401,2071,0.0115,1.6689
213,18:50:24.401,2079,0.0154,1.6754
214,18:50:24.402,2083,0.0173,1.6786
215,18:50:24.402,2085,0.0183,1.6802
216,18:50:24.403,2080,0.0159,1.6762
217,18:50:24.403,2080,0.0159,1.6762
218,18:50:24.404,2078,0.0149,1.6746
219,18:50:24.404,2063,0.0076,1.6625
220,18:50:24.405,2063,0.0076,1.6625
221,18:50:24.405,2070,0.0110,1.6681
222,18:50:24.406,2072,0.0120,1.6697
223,18:50:24.406,2080,0.0159,1.6762
224,18:50:24.407,2074,0.0129,1.6714
225,18:50:24.407,2083,0.0173,1.6786
226,18:50:24.408,2074,0.0129,1.6714
227,18:50:24.408,2072,0.0120,1.6697
228,18:50:24.409,2068,0.0100,1.6665
229,18:50:24.409,2062,0.0071,1.6617
230,18:50:24.410,2070,0.0110,1.6681
231,18:50:24.410,2073,0.0125,1.6705
232,18:50:24.411,2067,0.0095,1.6657
233,18:50:24.411,2067,0.0095,1.6657
234,18:50:24.412,2072,0.0120,1.6697
