sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:38:34.131,2055,0.0037,1.6560
1,16:38:34.131,2063,0.0076,1.6625
2,16:38:34.132,2059,0.0056,1.6593
3,16:38:34.132,2058,0.0051,1.6585
4,16:38:34.133,2049,0.0007,1.6512
5,16:38:34.133,2034,-0.0066,1.6391
6,16:38:34.134,1995,-0.0256,1.6077
7,16:38:34.134,1989,-0.0286,1.6029
8,16:38:34.135,1976,-0.0349,1.5924
9,16:38:34.135,1988,-0.0291,1.6021
10,16:38:34.136,1988,-0.0291,1.6021
11,16:38:34.136,2022,-0.0125,1.6295
12,16:38:34.137,2025,-0.0110,1.6319
13,16:38:34.137,2013,-0.0168,1.6222
14,16:38:34.138,2012,-0.0173,1.6214
15,16:38:34.138,2015,-0.0159,1.6238
16,16:38:34.139,2007,-0.0198,1.6174
17,16:38:34.139,2013,-0.0168,1.6222
18,16:38:34.140,2032,-0.0076,1.6375
19,16:38:34.140,2043,-0.0022,1.6464
20,16:38:34.141,2051,0.0017,1.6528
21,16:38:34.141,2060,0.0061,1.6601
22,16:38:34.142,2067,0.0095,1.6657
23,16:38:34.142,2072,0.0120,1.6697
24,16:38:34.143,2047,-0.0002,1.6496
25,16:38:34.143,2028,-0.0095,1.6343
26,16:38:34.144,2007,-0.0198,1.6174
27,16:38:34.144,2000,-0.0232,1.6117
28,16:38:34.145,1973,-0.0364,1.5900
29,16:38:34.145,1997,-0.0247,1.6093
30,16:38:34.146,2004,-0.0212,1.6149
31,16:38:34.146,2032,-0.0076,1.6375
32,16:38:34.147,2014,-0.0164,1.6230
33,16:38:34.147,2019,-0.0139,1.6270
34,16:38:34.148,2023,-0.0120,1.6303
35,16:38:34.148,2006,-0.0203,1.6166
36,16:38:34.149,1996,-0.0252,1.6085
37,16:38:34.149,2028,-0.0095,1.6343
38,16:38:34.150,2020,-0.0134,1.6278
39,16:38:34.150,2040,-0.0037,1.6440
40,16:38:34.151,2043,-0.0022,1.6464
41,16:38:34.151,2065,0.0085,1.6641
42,16:38:34.152,2061,0.0066,1.6609
43,16:38:34.152,2051,0.0017,1.6528
44,16:38:34.153,2041,-0.0032,1.6448
45,16:38:34.153,2022,-0.0125,1.6295
46,16:38:34.154,1998,-0.0242,1.6101
47,16:38:34.154,1990,-0.0281,1.6037
48,16:38:34.155,1974,-0.0359,1.5908
49,16:38:34.155,1999,-0.0237,1.6109
50,16:38:34.156,2004,-0.0212,1.6149
51,16:38:34.156,2024,-0.0115,1.6311
52,16:38:34.157,2018,-0.0144,1.6262
53,16:38:34.157,2024,-0.0115,1.6311
54,16:38:34.158,2012,-0.0173,1.6214
55,16:38:34.158,2010,-0.0183,1.6198
56,16:38:34.159,2014,-0.0164,1.6230
57,16:38:34.159,2035,-0.0061,1.6399
58,16:38:34.160,2019,-0.0139,1.6270
59,16:38:34.160,2049,0.0007,1.6512
60,16:38:34.161,2060,0.0061,1.6601
61,16:38:34.161,2060,0.0061,1.6601
62,16:38:34.162,2057,0.0046,1.6577
63,16:38:34.162,2053,0.0027,1.6544
64,16:38:34.163,2051,0.0017,1.6528
65,16:38:34.163,2011,-0.0178,1.6206
66,16:38:34.164,1993,-0.0266,1.6061
67,16:38:34.164,1987,-0.0295,1.6012
68,16:38:34.165,1990,-0.0281,1.6037
69,16:38:34.165,1991,-0.0276,1.6045
70,16:38:34.166,2020,-0.0134,1.6278
71,16:38:34.166,2030,-0.0085,1.6359
72,16:38:34.167,2020,-0.0134,1.6278
73,16:38:34.167,2012,-0.0173,1.6214
74,16:38:34.168,2014,-0.0164,1.6230
75,16:38:34.168,2012,-0.0173,1.6214
76,16:38:34.169,2008,-0.0193,1.6182
77,16:38:34.169,2030,-0.0085,1.6359
78,16:38:34.170,2032,-0.0076,1.6375
79,16:38:34.170,2051,0.0017,1.6528
80,16:38:34.171,2056,0.0042,1.6568
81,16:38:34.171,2063,0.0076,1.6625
82,16:38:34.172,2069,0.0105,1.6673
83,16:38:34.172,2045,-0.0012,1.6480
84,16:38:34.173,2030,-0.0085,1.6359
85,16:38:34.173,1999,-0.0237,1.6109
86,16:38:34.174,2000,-0.0232,1.6117
87,16:38:34.174,1971,-0.0374,1.5884
88,16:38:34.175,1989,-0.0286,1.6029
89,16:38:34.175,1995,-0.0256,1.6077
90,16:38:34.176,2031,-0.0081,1.6367
91,16:38:34.176,2015,-0.0159,1.6238
92,16:38:34.177,2015,-0.0159,1.6238
93,16:38:34.177,2023,-0.0120,1.6303
94,16:38:34.178,2010,-0.0183,1.6198
95,16:38:34.178,1999,-0.0237,1.6109
