sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:51:26.290,1844,-0.0994,1.4860
1,16:51:26.291,1881,-0.0813,1.5158
2,16:51:26.291,2023,-0.0120,1.6303
3,16:51:26.292,2170,0.0598,1.7487
4,16:51:26.292,2190,0.0696,1.7648
5,16:51:26.293,2202,0.0755,1.7745
6,16:51:26.293,2045,-0.0012,1.6480
7,16:51:26.294,1991,-0.0276,1.6045
8,16:51:26.294,1819,-0.1116,1.4659
9,16:51:26.295,1761,-0.1399,1.4191
10,16:51:26.295,1830,-0.1062,1.4747
11,16:51:26.296,1987,-0.0295,1.6012
12,16:51:26.296,2104,0.0276,1.6955
13,16:51:26.297,2230,0.0891,1.7971
14,16:51:26.297,2344,0.1448,1.8889
15,16:51:26.298,2210,0.0794,1.7810
16,16:51:26.298,2131,0.0408,1.7173
17,16:51:26.299,1995,-0.0256,1.6077
18,16:51:26.299,1896,-0.0740,1.5279
19,16:51:26.300,1874,-0.0847,1.5102
20,16:51:26.300,1912,-0.0662,1.5408
21,16:51:26.301,2070,0.0110,1.6681
22,16:51:26.301,2196,0.0725,1.7697
23,16:51:26.302,2188,0.0686,1.7632
24,16:51:26.302,2290,0.1184,1.8454
25,16:51:26.303,2112,0.0315,1.7020
26,16:51:26.303,2009,-0.0188,1.6190
27,16:51:26.304,1909,-0.0676,1.5384
28,16:51:26.304,1757,-0.1419,1.4159
29,16:51:26.305,1816,-0.1131,1.4634
30,16:51:26.305,1818,-0.1121,1.4651
31,16:51:26.306,2033,-0.0071,1.6383
32,16:51:26.306,2163,0.0564,1.7431
33,16:51:26.307,2236,0.0921,1.8019
34,16:51:26.307,2229,0.0886,1.7963
35,16:51:26.308,2125,0.0379,1.7125
36,16:51:26.308,2020,-0.0134,1.6278
37,16:51:26.309,1884,-0.0799,1.5182
38,16:51:26.309,1797,-0.1223,1.4481
39,16:51:26.310,1916,-0.0642,1.5440
40,16:51:26.310,1937,-0.0540,1.5610
41,16:51:26.311,2025,-0.0110,1.6319
42,16:51:26.311,2189,0.0691,1.7640
43,16:51:26.312,2171,0.0603,1.7495
44,16:51:26.312,2189,0.0691,1.7640
45,16:51:26.313,1997,-0.0247,1.6093
46,16:51:26.313,1962,-0.0418,1.5811
47,16:51:26.314,1879,-0.0823,1.5142
48,16:51:26.314,1767,-0.1370,1.4240
49,16:51:26.315,1832,-0.1053,1.4763
50,16:51:26.315,1974,-0.0359,1.5908
51,16:51:26.316,2083,0.0173,1.6786
52,16:51:26.316,2157,0.0535,1.7382
53,16:51:26.317,2240,0.0940,1.8051
54,16:51:26.317,2139,0.0447,1.7237
55,16:51:26.318,2099,0.0252,1.6915
56,16:51:26.318,1942,-0.0515,1.5650
57,16:51:26.319,1914,-0.0652,1.5424
58,16:51:26.319,1899,-0.0725,1.5303
59,16:51:26.320,1923,-0.0608,1.5497
60,16:51:26.320,2032,-0.0076,1.6375
61,16:51:26.321,2145,0.0476,1.7286
62,16:51:26.321,2141,0.0457,1.7253
63,16:51:26.322,2191,0.0701,1.7656
64,16:51:26.322,2098,0.0247,1.6907
65,16:51:26.323,1989,-0.0286,1.6029
66,16:51:26.323,1957,-0.0442,1.5771
67,16:51:26.324,1801,-0.1204,1.4514
68,16:51:26.324,1899,-0.0725,1.5303
69,16:51:26.325,1854,-0.0945,1.4941
70,16:51:26.325,2004,-0.0212,1.6149
71,16:51:26.326,2151,0.0505,1.7334
72,16:51:26.326,2188,0.0686,1.7632
73,16:51:26.327,2217,0.0828,1.7866
74,16:51:26.327,2096,0.0237,1.6891
75,16:51:26.328,2054,0.0032,1.6552
76,16:51:26.328,1974,-0.0359,1.5908
77,16:51:26.329,1856,-0.0935,1.4957
78,16:51:26.329,1935,-0.0549,1.5593
79,16:51:26.330,2048,0.0002,1.6504
80,16:51:26.330,2038,-0.0046,1.6423
81,16:51:26.331,2170,0.0598,1.7487
82,16:51:26.331,2146,0.0481,1.7294
83,16:51:26.332,2197,0.0730,1.7705
84,16:51:26.332,2032,-0.0076,1.6375
85,16:51:26.333,1940,-0.0525,1.5634
86,16:51:26.333,1948,-0.0486,1.5698
87,16:51:26.334,1855,-0.0940,1.4949
88,16:51:26.334,1844,-0.0994,1.4860
89,16:51:26.335,1964,-0.0408,1.5827
90,16:51:26.335,2094,0.0227,1.6875
91,16:51:26.336,2143,0.0466,1.7270
92,16:51:26.336,2196,0.0725,1.7697
93,16:51:26.337,2121,0.0359,1.7092
94,16:51:26.337,2092,0.0217,1.6859
95,16:51:26.338,1929,-0.0579,1.5545
96,16:51:26.338,1883,-0.0803,1.5174
97,16:51:26.339,1936,-0.0545,1.5601
98,16:51:26.339,1887,-0.0784,1.5207
99,16:51:26.340,1982,-0.0320,1.5972
100,16:51:26.340,2093,0.0222,1.6867
101,16:51:26.341,2164,0.0569,1.7439
102,16:51:26.341,2149,0.0496,1.7318
103,16:51:26.342,2063,0.0076,1.6625
104,16:51:26.342,1947,-0.0491,1.5690
105,16:51:26.343,1953,-0.0462,1.5738
106,16:51:26.343,1767,-0.1370,1.4240
107,16:51:26.344,1826,-0.1082,1.4715
108,16:51:26.344,1899,-0.0725,1.5303
109,16:51:26.345,1971,-0.0374,1.5884
110,16:51:26.345,2132,0.0413,1.7181
111,16:51:26.346,2135,0.0427,1.7205
112,16:51:26.346,2235,0.0916,1.8011
113,16:51:26.347,2131,0.0408,1.7173
114,16:51:26.347,2017,-0.0149,1.6254
115,16:51:26.348,1932,-0.0564,1.5569
116,16:51:26.348,1898,-0.0730,1.5295
117,16:51:26.349,1872,-0.0857,1.5086
118,16:51:26.349,2021,-0.0129,1.6286
119,16:51:26.350,2083,0.0173,1.6786
120,16:51:26.350,2180,0.0647,1.7568
121,16:51:26.351,2155,0.0525,1.7366
122,16:51:26.351,2185,0.0672,1.7608
123,16:51:26.352,2082,0.0168,1.6778
124,16:51:26.352,1947,-0.0491,1.5690
125,16:51:26.353,1908,-0.0681,1.5376
126,16:51:26.353,1836,-0.1033,1.4796
127,16:51:26.354,1885,-0.0794,1.5190
128,16:51:26.354,1907,-0.0686,1.5368
129,16:51:26.355,2072,0.0120,1.6697
130,16:51:26.355,2186,0.0676,1.7616
131,16:51:26.356,2245,0.0965,1.8092
132,16:51:26.356,2161,0.0554,1.7415
133,16:51:26.357,2056,0.0042,1.6568
134,16:51:26.357,2039,-0.0042,1.6432
135,16:51:26.358,1905,-0.0696,1.5352
136,16:51:26.358,1846,-0.0984,1.4876
137,16:51:26.359,1952,-0.0466,1.5730
138,16:51:26.359,2011,-0.0178,1.6206
139,16:51:26.360,2056,0.0042,1.6568
140,16:51:26.360,2141,0.0457,1.7253
141,16:51:26.361,2138,0.0442,1.7229
142,16:51:26.361,2128,0.0393,1.7149
143,16:51:26.362,1946,-0.0496,1.5682
144,16:51:26.362,1883,-0.0803,1.5174
145,16:51:26.363,1910,-0.0672,1.5392
146,16:51:26.363,1821,-0.1106,1.4675
147,16:51:26.364,1861,-0.0911,1.4997
148,16:51:26.364,1964,-0.0408,1.5827
149,16:51:26.365,2097,0.0242,1.6899
150,16:51:26.365,2120,0.0354,1.7084
151,16:51:26.366,2120,0.0354,1.7084
152,16:51:26.366,2094,0.0227,1.6875
153,16:51:26.367,2052,0.0022,1.6536
154,16:51:26.367,1937,-0.0540,1.5610
155,16:51:26.368,1875,-0.0842,1.5110
156,16:51:26.368,1979,-0.0335,1.5948
157,16:51:26.369,1986,-0.0300,1.6004
158,16:51:26.369,2045,-0.0012,1.6480
159,16:51:26.370,2121,0.0359,1.7092
160,16:51:26.370,2158,0.0540,1.7390
161,16:51:26.371,2108,0.0295,1.6988
162,16:51:26.371,2012,-0.0173,1.6214
163,16:51:26.372,1950,-0.0476,1.5714
164,16:51:26.372,2000,-0.0232,1.6117
165,16:51:26.373,1818,-0.1121,1.4651
166,16:51:26.373,1946,-0.0496,1.5682
167,16:51:26.374,2003,-0.0217,1.6141
168,16:51:26.374,2023,-0.0120,1.6303
169,16:51:26.375,2149,0.0496,1.7318
170,16:51:26.375,2081,0.0164,1.6770
171,16:51:26.376,2199,0.0740,1.7721
172,16:51:26.376,2054,0.0032,1.6552
173,16:51:26.377,1948,-0.0486,1.5698
174,16:51:26.377,2002,-0.0222,1.6133
175,16:51:26.378,2000,-0.0232,1.6117
176,16:51:26.378,1941,-0.0520,1.5642
177,16:51:26.379,2095,0.0232,1.6883
178,16:51:26.379,2101,0.0261,1.6931
179,16:51:26.380,2148,0.0491,1.7310
180,16:51:26.380,2059,0.0056,1.6593
181,16:51:26.381,2048,0.0002,1.6504
182,16:51:26.381,1995,-0.0256,1.6077
183,16:51:26.382,1872,-0.0857,1.5086
184,16:51:26.382,1900,-0.0720,1.5311
185,16:51:26.383,1934,-0.0554,1.5585
186,16:51:26.383,1972,-0.0369,1.5892
187,16:51:26.384,1978,-0.0339,1.5940
188,16:51:26.384,2049,0.0007,1.6512
189,16:51:26.385,2155,0.0525,1.7366
190,16:51:26.385,2121,0.0359,1.7092
191,16:51:26.386,2014,-0.0164,1.6230
192,16:51:26.386,2009,-0.0188,1.6190
193,16:51:26.387,2020,-0.0134,1.6278
194,16:51:26.387,1935,-0.0549,1.5593
195,16:51:26.388,1952,-0.0466,1.5730
196,16:51:26.388,2057,0.0046,1.6577
197,16:51:26.389,2083,0.0173,1.6786
198,16:51:26.389,2076,0.0139,1.6730
199,16:51:26.390,2057,0.0046,1.6577
200,16:51:26.390,2086,0.0188,1.6810
201,16:51:26.391,2039,-0.0042,1.6432
202,16:51:26.391,1905,-0.0696,1.5352
203,16:51:26.392,1913,-0.0657,1.5416
204,16:51:26.392,2016,-0.0154,1.6246
205,16:51:26.393,1904,-0.0701,1.5344
206,16:51:26.393,2008,-0.0193,1.6182
207,16:51:26.394,2028,-0.0095,1.6343
208,16:51:26.394,2085,0.0183,1.6802
209,16:51:26.395,2085,0.0183,1.6802
210,16:51:26.395,2035,-0.0061,1.6399
211,16:51:26.396,2076,0.0139,1.6730
212,16:51:26.396,2060,0.0061,1.6601
213,16:51:26.397,1995,-0.0256,1.6077
214,16:51:26.397,1986,-0.0300,1.6004
215,16:51:26.398,2083,0.0173,1.6786
216,16:51:26.398,2025,-0.0110,1.6319
217,16:51:26.399,2059,0.0056,1.6593
218,16:51:26.399,2066,0.0090,1.6649
219,16:51:26.400,2098,0.0247,1.6907
220,16:51:26.400,2008,-0.0193,1.6182
221,16:51:26.401,1952,-0.0466,1.5730
