sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:46:54.513,2019,-0.0139,1.6270
1,16:46:54.513,2021,-0.0129,1.6286
2,16:46:54.514,2021,-0.0129,1.6286
3,16:46:54.514,2021,-0.0129,1.6286
4,16:46:54.515,2024,-0.0115,1.6311
5,16:46:54.515,2020,-0.0134,1.6278
6,16:46:54.516,2021,-0.0129,1.6286
7,16:46:54.516,2024,-0.0115,1.6311
8,16:46:54.517,2022,-0.0125,1.6295
9,16:46:54.517,2025,-0.0110,1.6319
10,16:46:54.518,2020,-0.0134,1.6278
11,16:46:54.518,2023,-0.0120,1.6303
12,16:46:54.519,2022,-0.0125,1.6295
13,16:46:54.519,2020,-0.0134,1.6278
14,16:46:54.520,2022,-0.0125,1.6295
15,16:46:54.520,2022,-0.0125,1.6295
16,16:46:54.521,2021,-0.0129,1.6286
17,16:46:54.521,2021,-0.0129,1.6286
18,16:46:54.522,2023,-0.0120,1.6303
19,16:46:54.522,2027,-0.0100,1.6335
20,16:46:54.523,2023,-0.0120,1.6303
21,16:46:54.523,2025,-0.0110,1.6319
22,16:46:54.524,2020,-0.0134,1.6278
23,16:46:54.524,2025,-0.0110,1.6319
24,16:46:54.525,2023,-0.0120,1.6303
25,16:46:54.525,2024,-0.0115,1.6311
26,16:46:54.526,2022,-0.0125,1.6295
27,16:46:54.526,2024,-0.0115,1.6311
28,16:46:54.527,2023,-0.0120,1.6303
29,16:46:54.527,2023,-0.0120,1.6303
30,16:46:54.528,2022,-0.0125,1.6295
31,16:46:54.528,2026,-0.0105,1.6327
32,16:46:54.529,2020,-0.0134,1.6278
33,16:46:54.529,2023,-0.0120,1.6303
34,16:46:54.530,2020,-0.0134,1.6278
35,16:46:54.530,2024,-0.0115,1.6311
36,16:46:54.531,2024,-0.0115,1.6311
37,16:46:54.531,2028,-0.0095,1.6343
38,16:46:54.532,2025,-0.0110,1.6319
39,16:46:54.532,2024,-0.0115,1.6311
40,16:46:54.533,2020,-0.0134,1.6278
41,16:46:54.533,2024,-0.0115,1.6311
42,16:46:54.534,2021,-0.0129,1.6286
43,16:46:54.534,2020,-0.0134,1.6278
44,16:46:54.535,2021,-0.0129,1.6286
45,16:46:54.535,2021,-0.0129,1.6286
46,16:46:54.536,2021,-0.0129,1.6286
47,16:46:54.536,2023,-0.0120,1.6303
48,16:46:54.537,2024,-0.0115,1.6311
49,16:46:54.537,2026,-0.0105,1.6327
50,16:46:54.538,2024,-0.0115,1.6311
51,16:46:54.538,2020,-0.0134,1.6278
52,16:46:54.539,2019,-0.0139,1.6270
53,16:46:54.539,2025,-0.0110,1.6319
54,16:46:54.540,2021,-0.0129,1.6286
55,16:46:54.540,2021,-0.0129,1.6286
56,16:46:54.541,2023,-0.0120,1.6303
57,16:46:54.541,2025,-0.0110,1.6319
58,16:46:54.542,2022,-0.0125,1.6295
59,16:46:54.542,2020,-0.0134,1.6278
60,16:46:54.543,2024,-0.0115,1.6311
61,16:46:54.543,2024,-0.0115,1.6311
62,16:46:54.544,2020,-0.0134,1.6278
63,16:46:54.544,2026,-0.0105,1.6327
64,16:46:54.545,2022,-0.0125,1.6295
65,16:46:54.545,2022,-0.0125,1.6295
66,16:46:54.546,2025,-0.0110,1.6319
67,16:46:54.546,2024,-0.0115,1.6311
68,16:46:54.547,2020,-0.0134,1.6278
69,16:46:54.547,2024,-0.0115,1.6311
70,16:46:54.548,2024,-0.0115,1.6311
71,16:46:54.548,2022,-0.0125,1.6295
