sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:42:38.533,2022,-0.0125,1.6295
1,16:42:38.534,2025,-0.0110,1.6319
2,16:42:38.534,2022,-0.0125,1.6295
3,16:42:38.535,2024,-0.0115,1.6311
4,16:42:38.535,2025,-0.0110,1.6319
5,16:42:38.536,2023,-0.0120,1.6303
6,16:42:38.536,2021,-0.0129,1.6286
7,16:42:38.537,2021,-0.0129,1.6286
8,16:42:38.537,2022,-0.0125,1.6295
9,16:42:38.538,2024,-0.0115,1.6311
10,16:42:38.538,2026,-0.0105,1.6327
11,16:42:38.539,2023,-0.0120,1.6303
12,16:42:38.539,2022,-0.0125,1.6295
13,16:42:38.540,2022,-0.0125,1.6295
14,16:42:38.540,2024,-0.0115,1.6311
15,16:42:38.541,2023,-0.0120,1.6303
16,16:42:38.541,2021,-0.0129,1.6286
17,16:42:38.542,2021,-0.0129,1.6286
18,16:42:38.542,2021,-0.0129,1.6286
19,16:42:38.543,2021,-0.0129,1.6286
20,16:42:38.543,2019,-0.0139,1.6270
21,16:42:38.544,2023,-0.0120,1.6303
22,16:42:38.544,2024,-0.0115,1.6311
23,16:42:38.545,2022,-0.0125,1.6295
24,16:42:38.545,2022,-0.0125,1.6295
25,16:42:38.546,2023,-0.0120,1.6303
26,16:42:38.546,2020,-0.0134,1.6278
27,16:42:38.547,2022,-0.0125,1.6295
28,16:42:38.547,2020,-0.0134,1.6278
29,16:42:38.548,2023,-0.0120,1.6303
30,16:42:38.548,2023,-0.0120,1.6303
31,16:42:38.549,2023,-0.0120,1.6303
32,16:42:38.549,2023,-0.0120,1.6303
33,16:42:38.550,2022,-0.0125,1.6295
34,16:42:38.550,2021,-0.0129,1.6286
35,16:42:38.551,2023,-0.0120,1.6303
36,16:42:38.551,2025,-0.0110,1.6319
37,16:42:38.552,2025,-0.0110,1.6319
38,16:42:38.552,2023,-0.0120,1.6303
39,16:42:38.553,2026,-0.0105,1.6327
40,16:42:38.553,2021,-0.0129,1.6286
41,16:42:38.554,2023,-0.0120,1.6303
42,16:42:38.554,2025,-0.0110,1.6319
43,16:42:38.555,2026,-0.0105,1.6327
44,16:42:38.555,2020,-0.0134,1.6278
45,16:42:38.556,2023,-0.0120,1.6303
46,16:42:38.556,2023,-0.0120,1.6303
47,16:42:38.557,2019,-0.0139,1.6270
48,16:42:38.557,2024,-0.0115,1.6311
49,16:42:38.558,2022,-0.0125,1.6295
50,16:42:38.558,2022,-0.0125,1.6295
51,16:42:38.559,2022,-0.0125,1.6295
52,16:42:38.559,2023,-0.0120,1.6303
53,16:42:38.560,2020,-0.0134,1.6278
54,16:42:38.560,2022,-0.0125,1.6295
55,16:42:38.561,2020,-0.0134,1.6278
56,16:42:38.561,2027,-0.0100,1.6335
57,16:42:38.562,2021,-0.0129,1.6286
58,16:42:38.562,2020,-0.0134,1.6278
59,16:42:38.563,2023,-0.0120,1.6303
60,16:42:38.563,2021,-0.0129,1.6286
61,16:42:38.564,2027,-0.0100,1.6335
62,16:42:38.564,2020,-0.0134,1.6278
63,16:42:38.565,2023,-0.0120,1.6303
64,16:42:38.565,2022,-0.0125,1.6295
65,16:42:38.566,2022,-0.0125,1.6295
66,16:42:38.566,2024,-0.0115,1.6311
67,16:42:38.567,2021,-0.0129,1.6286
68,16:42:38.567,2024,-0.0115,1.6311
69,16:42:38.568,2023,-0.0120,1.6303
70,16:42:38.568,2020,-0.0134,1.6278
71,16:42:38.569,2024,-0.0115,1.6311
72,16:42:38.569,2022,-0.0125,1.6295
73,16:42:38.570,2024,-0.0115,1.6311
74,16:42:38.570,2024,-0.0115,1.6311
75,16:42:38.571,2019,-0.0139,1.6270
76,16:42:38.571,2022,-0.0125,1.6295
77,16:42:38.572,2023,-0.0120,1.6303
78,16:42:38.572,2018,-0.0144,1.6262
79,16:42:38.573,2024,-0.0115,1.6311
80,16:42:38.573,2017,-0.0149,1.6254
81,16:42:38.574,2024,-0.0115,1.6311
82,16:42:38.574,2026,-0.0105,1.6327
83,16:42:38.575,2023,-0.0120,1.6303
84,16:42:38.575,2029,-0.0090,1.6351
85,16:42:38.576,2024,-0.0115,1.6311
86,16:42:38.576,2022,-0.0125,1.6295
87,16:42:38.577,2023,-0.0120,1.6303
88,16:42:38.577,2021,-0.0129,1.6286
89,16:42:38.578,2022,-0.0125,1.6295
90,16:42:38.578,2022,-0.0125,1.6295
91,16:42:38.579,2022,-0.0125,1.6295
92,16:42:38.579,2022,-0.0125,1.6295
93,16:42:38.580,2024,-0.0115,1.6311
94,16:42:38.580,2025,-0.0110,1.6319
95,16:42:38.581,2022,-0.0125,1.6295
96,16:42:38.581,2022,-0.0125,1.6295
97,16:42:38.582,2026,-0.0105,1.6327
98,16:42:38.582,2024,-0.0115,1.6311
99,16:42:38.583,2021,-0.0129,1.6286
100,16:42:38.583,2024,-0.0115,1.6311
101,16:42:38.584,2022,-0.0125,1.6295
102,16:42:38.584,2021,-0.0129,1.6286
103,16:42:38.585,2025,-0.0110,1.6319
104,16:42:38.585,2021,-0.0129,1.6286
105,16:42:38.586,2023,-0.0120,1.6303
106,16:42:38.586,2025,-0.0110,1.6319
107,16:42:38.587,2022,-0.0125,1.6295
108,16:42:38.587,2020,-0.0134,1.6278
109,16:42:38.588,2019,-0.0139,1.6270
110,16:42:38.588,2021,-0.0129,1.6286
111,16:42:38.589,2023,-0.0120,1.6303
112,16:42:38.589,2024,-0.0115,1.6311
113,16:42:38.590,2021,-0.0129,1.6286
114,16:42:38.590,2020,-0.0134,1.6278
115,16:42:38.591,2020,-0.0134,1.6278
116,16:42:38.591,2023,-0.0120,1.6303
117,16:42:38.592,2022,-0.0125,1.6295
118,16:42:38.592,2021,-0.0129,1.6286
119,16:42:38.593,2024,-0.0115,1.6311
120,16:42:38.593,2021,-0.0129,1.6286
121,16:42:38.594,2020,-0.0134,1.6278
122,16:42:38.594,2022,-0.0125,1.6295
123,16:42:38.595,2024,-0.0115,1.6311
124,16:42:38.595,2026,-0.0105,1.6327
125,16:42:38.596,2028,-0.0095,1.6343
126,16:42:38.596,2023,-0.0120,1.6303
127,16:42:38.597,2024,-0.0115,1.6311
128,16:42:38.597,2027,-0.0100,1.6335
129,16:42:38.598,2018,-0.0144,1.6262
130,16:42:38.598,2022,-0.0125,1.6295
131,16:42:38.599,2025,-0.0110,1.6319
132,16:42:38.599,2024,-0.0115,1.6311
133,16:42:38.600,2021,-0.0129,1.6286
134,16:42:38.600,2025,-0.0110,1.6319
135,16:42:38.601,2022,-0.0125,1.6295
136,16:42:38.601,2025,-0.0110,1.6319
137,16:42:38.602,2022,-0.0125,1.6295
138,16:42:38.602,2025,-0.0110,1.6319
139,16:42:38.603,2022,-0.0125,1.6295
140,16:42:38.603,2022,-0.0125,1.6295
141,16:42:38.604,2022,-0.0125,1.6295
142,16:42:38.604,2024,-0.0115,1.6311
143,16:42:38.605,2025,-0.0110,1.6319
144,16:42:38.605,2025,-0.0110,1.6319
145,16:42:38.606,2023,-0.0120,1.6303
146,16:42:38.606,2020,-0.0134,1.6278
147,16:42:38.607,2020,-0.0134,1.6278
148,16:42:38.607,2022,-0.0125,1.6295
149,16:42:38.608,2025,-0.0110,1.6319
150,16:42:38.608,2019,-0.0139,1.6270
151,16:42:38.609,2020,-0.0134,1.6278
152,16:42:38.609,2020,-0.0134,1.6278
153,16:42:38.610,2021,-0.0129,1.6286
154,16:42:38.610,2021,-0.0129,1.6286
155,16:42:38.611,2020,-0.0134,1.6278
156,16:42:38.611,2019,-0.0139,1.6270
157,16:42:38.612,2019,-0.0139,1.6270
158,16:42:38.612,2023,-0.0120,1.6303
159,16:42:38.613,2024,-0.0115,1.6311
160,16:42:38.613,2024,-0.0115,1.6311
161,16:42:38.614,2023,-0.0120,1.6303
162,16:42:38.614,2023,-0.0120,1.6303
163,16:42:38.615,2019,-0.0139,1.6270
164,16:42:38.615,2024,-0.0115,1.6311
165,16:42:38.616,2020,-0.0134,1.6278
166,16:42:38.616,2024,-0.0115,1.6311
167,16:42:38.617,2022,-0.0125,1.6295
168,16:42:38.617,2025,-0.0110,1.6319
169,16:42:38.618,2021,-0.0129,1.6286
170,16:42:38.618,2021,-0.0129,1.6286
171,16:42:38.619,2025,-0.0110,1.6319
172,16:42:38.619,2022,-0.0125,1.6295
173,16:42:38.620,2024,-0.0115,1.6311
174,16:42:38.620,2024,-0.0115,1.6311
175,16:42:38.621,2021,-0.0129,1.6286
176,16:42:38.621,2023,-0.0120,1.6303
177,16:42:38.622,2023,-0.0120,1.6303
