sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:10:58.658,2023,-0.0120,1.6303
1,15:10:58.659,2024,-0.0115,1.6311
2,15:10:58.659,2023,-0.0120,1.6303
3,15:10:58.660,2023,-0.0120,1.6303
4,15:10:58.660,2024,-0.0115,1.6311
5,15:10:58.661,2021,-0.0129,1.6286
6,15:10:58.661,2025,-0.0110,1.6319
7,15:10:58.662,2022,-0.0125,1.6295
8,15:10:58.662,2023,-0.0120,1.6303
9,15:10:58.663,2024,-0.0115,1.6311
10,15:10:58.663,2020,-0.0134,1.6278
11,15:10:58.664,2019,-0.0139,1.6270
12,15:10:58.664,2026,-0.0105,1.6327
13,15:10:58.665,2023,-0.0120,1.6303
14,15:10:58.665,2022,-0.0125,1.6295
15,15:10:58.666,2027,-0.0100,1.6335
16,15:10:58.666,2024,-0.0115,1.6311
17,15:10:58.667,2022,-0.0125,1.6295
18,15:10:58.667,2023,-0.0120,1.6303
19,15:10:58.668,2027,-0.0100,1.6335
20,15:10:58.668,2025,-0.0110,1.6319
21,15:10:58.669,2023,-0.0120,1.6303
22,15:10:58.669,2022,-0.0125,1.6295
23,15:10:58.670,2026,-0.0105,1.6327
24,15:10:58.670,2025,-0.0110,1.6319
25,15:10:58.671,2022,-0.0125,1.6295
26,15:10:58.671,2023,-0.0120,1.6303
27,15:10:58.672,2022,-0.0125,1.6295
28,15:10:58.672,2023,-0.0120,1.6303
29,15:10:58.673,2024,-0.0115,1.6311
30,15:10:58.673,2025,-0.0110,1.6319
31,15:10:58.674,2023,-0.0120,1.6303
32,15:10:58.674,2025,-0.0110,1.6319
33,15:10:58.675,2020,-0.0134,1.6278
34,15:10:58.675,2024,-0.0115,1.6311
35,15:10:58.676,2022,-0.0125,1.6295
36,15:10:58.676,2022,-0.0125,1.6295
37,15:10:58.677,2021,-0.0129,1.6286
38,15:10:58.677,2022,-0.0125,1.6295
39,15:10:58.678,2025,-0.0110,1.6319
40,15:10:58.678,2024,-0.0115,1.6311
41,15:10:58.679,2026,-0.0105,1.6327
42,15:10:58.679,2022,-0.0125,1.6295
43,15:10:58.680,2022,-0.0125,1.6295
44,15:10:58.680,2020,-0.0134,1.6278
45,15:10:58.681,2025,-0.0110,1.6319
46,15:10:58.681,2025,-0.0110,1.6319
47,15:10:58.682,2022,-0.0125,1.6295
48,15:10:58.682,2024,-0.0115,1.6311
49,15:10:58.683,2028,-0.0095,1.6343
50,15:10:58.683,2019,-0.0139,1.6270
51,15:10:58.684,2021,-0.0129,1.6286
52,15:10:58.684,2025,-0.0110,1.6319
53,15:10:58.685,2022,-0.0125,1.6295
54,15:10:58.685,2023,-0.0120,1.6303
55,15:10:58.686,2022,-0.0125,1.6295
56,15:10:58.686,2024,-0.0115,1.6311
57,15:10:58.687,2022,-0.0125,1.6295
58,15:10:58.687,2024,-0.0115,1.6311
59,15:10:58.688,2022,-0.0125,1.6295
60,15:10:58.688,2023,-0.0120,1.6303
61,15:10:58.689,2022,-0.0125,1.6295
