sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:00:25.460,2027,-0.0100,1.6335
1,15:00:25.461,2024,-0.0115,1.6311
2,15:00:25.461,2022,-0.0125,1.6295
3,15:00:25.462,2024,-0.0115,1.6311
4,15:00:25.462,2019,-0.0139,1.6270
5,15:00:25.463,2020,-0.0134,1.6278
6,15:00:25.463,2020,-0.0134,1.6278
7,15:00:25.464,2019,-0.0139,1.6270
8,15:00:25.464,2023,-0.0120,1.6303
9,15:00:25.465,2020,-0.0134,1.6278
10,15:00:25.465,2016,-0.0154,1.6246
11,15:00:25.466,2025,-0.0110,1.6319
12,15:00:25.466,2025,-0.0110,1.6319
13,15:00:25.467,2023,-0.0120,1.6303
14,15:00:25.467,2026,-0.0105,1.6327
15,15:00:25.468,2023,-0.0120,1.6303
16,15:00:25.468,2023,-0.0120,1.6303
17,15:00:25.469,2024,-0.0115,1.6311
18,15:00:25.469,2024,-0.0115,1.6311
19,15:00:25.470,2022,-0.0125,1.6295
20,15:00:25.470,2025,-0.0110,1.6319
21,15:00:25.471,2029,-0.0090,1.6351
22,15:00:25.471,2028,-0.0095,1.6343
23,15:00:25.472,2024,-0.0115,1.6311
24,15:00:25.472,2026,-0.0105,1.6327
25,15:00:25.473,2027,-0.0100,1.6335
26,15:00:25.473,2022,-0.0125,1.6295
27,15:00:25.474,2020,-0.0134,1.6278
28,15:00:25.474,2021,-0.0129,1.6286
29,15:00:25.475,2023,-0.0120,1.6303
30,15:00:25.475,2022,-0.0125,1.6295
31,15:00:25.476,2021,-0.0129,1.6286
32,15:00:25.476,2020,-0.0134,1.6278
33,15:00:25.477,2020,-0.0134,1.6278
34,15:00:25.477,2019,-0.0139,1.6270
35,15:00:25.478,2018,-0.0144,1.6262
36,15:00:25.478,2020,-0.0134,1.6278
37,15:00:25.479,2021,-0.0129,1.6286
38,15:00:25.479,2017,-0.0149,1.6254
39,15:00:25.480,2018,-0.0144,1.6262
40,15:00:25.480,2017,-0.0149,1.6254
41,15:00:25.481,2023,-0.0120,1.6303
42,15:00:25.481,2021,-0.0129,1.6286
43,15:00:25.482,2021,-0.0129,1.6286
44,15:00:25.482,2023,-0.0120,1.6303
45,15:00:25.483,2022,-0.0125,1.6295
46,15:00:25.483,2019,-0.0139,1.6270
47,15:00:25.484,2024,-0.0115,1.6311
48,15:00:25.484,2022,-0.0125,1.6295
49,15:00:25.485,2024,-0.0115,1.6311
50,15:00:25.485,2024,-0.0115,1.6311
51,15:00:25.486,2020,-0.0134,1.6278
52,15:00:25.486,2025,-0.0110,1.6319
53,15:00:25.487,2021,-0.0129,1.6286
54,15:00:25.487,2020,-0.0134,1.6278
55,15:00:25.488,2021,-0.0129,1.6286
56,15:00:25.488,2023,-0.0120,1.6303
57,15:00:25.489,2019,-0.0139,1.6270
58,15:00:25.489,2021,-0.0129,1.6286
59,15:00:25.490,2019,-0.0139,1.6270
60,15:00:25.490,2019,-0.0139,1.6270
61,15:00:25.491,2023,-0.0120,1.6303
62,15:00:25.491,2022,-0.0125,1.6295
63,15:00:25.492,2025,-0.0110,1.6319
