sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:02:09.830,2015,-0.0159,1.6238
1,15:02:09.830,2017,-0.0149,1.6254
2,15:02:09.831,2015,-0.0159,1.6238
3,15:02:09.831,2017,-0.0149,1.6254
4,15:02:09.832,2015,-0.0159,1.6238
5,15:02:09.832,2015,-0.0159,1.6238
6,15:02:09.833,2014,-0.0164,1.6230
7,15:02:09.833,2016,-0.0154,1.6246
8,15:02:09.834,2013,-0.0168,1.6222
9,15:02:09.834,2022,-0.0125,1.6295
10,15:02:09.835,2018,-0.0144,1.6262
11,15:02:09.835,2020,-0.0134,1.6278
12,15:02:09.836,2019,-0.0139,1.6270
13,15:02:09.836,2019,-0.0139,1.6270
14,15:02:09.837,2023,-0.0120,1.6303
15,15:02:09.837,2018,-0.0144,1.6262
16,15:02:09.838,2025,-0.0110,1.6319
17,15:02:09.838,2027,-0.0100,1.6335
18,15:02:09.839,2027,-0.0100,1.6335
19,15:02:09.839,2027,-0.0100,1.6335
20,15:02:09.840,2025,-0.0110,1.6319
21,15:02:09.840,2025,-0.0110,1.6319
22,15:02:09.841,2030,-0.0085,1.6359
23,15:02:09.841,2026,-0.0105,1.6327
24,15:02:09.842,2023,-0.0120,1.6303
25,15:02:09.842,2031,-0.0081,1.6367
26,15:02:09.843,2024,-0.0115,1.6311
27,15:02:09.843,2029,-0.0090,1.6351
28,15:02:09.844,2028,-0.0095,1.6343
29,15:02:09.844,2027,-0.0100,1.6335
30,15:02:09.845,2028,-0.0095,1.6343
31,15:02:09.845,2030,-0.0085,1.6359
32,15:02:09.846,2030,-0.0085,1.6359
33,15:02:09.846,2024,-0.0115,1.6311
34,15:02:09.847,2026,-0.0105,1.6327
35,15:02:09.847,2026,-0.0105,1.6327
36,15:02:09.848,2027,-0.0100,1.6335
37,15:02:09.848,2021,-0.0129,1.6286
38,15:02:09.849,2023,-0.0120,1.6303
39,15:02:09.849,2026,-0.0105,1.6327
40,15:02:09.850,2023,-0.0120,1.6303
41,15:02:09.850,2023,-0.0120,1.6303
42,15:02:09.851,2019,-0.0139,1.6270
43,15:02:09.851,2021,-0.0129,1.6286
44,15:02:09.852,2018,-0.0144,1.6262
45,15:02:09.852,2022,-0.0125,1.6295
46,15:02:09.853,2021,-0.0129,1.6286
47,15:02:09.853,2017,-0.0149,1.6254
48,15:02:09.854,2018,-0.0144,1.6262
49,15:02:09.854,2020,-0.0134,1.6278
50,15:02:09.855,2023,-0.0120,1.6303
51,15:02:09.855,2018,-0.0144,1.6262
52,15:02:09.856,2019,-0.0139,1.6270
53,15:02:09.856,2018,-0.0144,1.6262
54,15:02:09.857,2014,-0.0164,1.6230
55,15:02:09.857,2018,-0.0144,1.6262
56,15:02:09.858,2017,-0.0149,1.6254
57,15:02:09.858,2016,-0.0154,1.6246
58,15:02:09.859,2020,-0.0134,1.6278
59,15:02:09.859,2016,-0.0154,1.6246
60,15:02:09.860,2017,-0.0149,1.6254
61,15:02:09.860,2018,-0.0144,1.6262
62,15:02:09.861,2022,-0.0125,1.6295
63,15:02:09.861,2016,-0.0154,1.6246
64,15:02:09.862,2019,-0.0139,1.6270
65,15:02:09.862,2018,-0.0144,1.6262
66,15:02:09.863,2017,-0.0149,1.6254
67,15:02:09.863,2024,-0.0115,1.6311
68,15:02:09.864,2022,-0.0125,1.6295
69,15:02:09.864,2023,-0.0120,1.6303
70,15:02:09.865,2022,-0.0125,1.6295
71,15:02:09.865,2024,-0.0115,1.6311
72,15:02:09.866,2025,-0.0110,1.6319
73,15:02:09.866,2026,-0.0105,1.6327
74,15:02:09.867,2026,-0.0105,1.6327
75,15:02:09.867,2027,-0.0100,1.6335
76,15:02:09.868,2030,-0.0085,1.6359
77,15:02:09.868,2028,-0.0095,1.6343
78,15:02:09.869,2029,-0.0090,1.6351
79,15:02:09.869,2029,-0.0090,1.6351
80,15:02:09.870,2029,-0.0090,1.6351
81,15:02:09.870,2031,-0.0081,1.6367
82,15:02:09.871,2031,-0.0081,1.6367
83,15:02:09.871,2032,-0.0076,1.6375
84,15:02:09.872,2028,-0.0095,1.6343
85,15:02:09.872,2028,-0.0095,1.6343
86,15:02:09.873,2027,-0.0100,1.6335
87,15:02:09.873,2027,-0.0100,1.6335
88,15:02:09.874,2030,-0.0085,1.6359
89,15:02:09.874,2024,-0.0115,1.6311
90,15:02:09.875,2019,-0.0139,1.6270
91,15:02:09.875,2024,-0.0115,1.6311
92,15:02:09.876,2022,-0.0125,1.6295
93,15:02:09.876,2022,-0.0125,1.6295
94,15:02:09.877,2021,-0.0129,1.6286
95,15:02:09.877,2018,-0.0144,1.6262
96,15:02:09.878,2023,-0.0120,1.6303
97,15:02:09.878,2021,-0.0129,1.6286
98,15:02:09.879,2023,-0.0120,1.6303
99,15:02:09.879,2019,-0.0139,1.6270
100,15:02:09.880,2023,-0.0120,1.6303
101,15:02:09.880,2023,-0.0120,1.6303
102,15:02:09.881,2016,-0.0154,1.6246
103,15:02:09.881,2026,-0.0105,1.6327
104,15:02:09.882,2025,-0.0110,1.6319
105,15:02:09.882,2026,-0.0105,1.6327
106,15:02:09.883,2024,-0.0115,1.6311
107,15:02:09.883,2027,-0.0100,1.6335
108,15:02:09.884,2027,-0.0100,1.6335
109,15:02:09.884,2025,-0.0110,1.6319
110,15:02:09.885,2023,-0.0120,1.6303
111,15:02:09.885,2022,-0.0125,1.6295
112,15:02:09.886,2018,-0.0144,1.6262
113,15:02:09.886,2018,-0.0144,1.6262
114,15:02:09.887,2019,-0.0139,1.6270
115,15:02:09.887,2017,-0.0149,1.6254
116,15:02:09.888,2017,-0.0149,1.6254
117,15:02:09.888,2014,-0.0164,1.6230
118,15:02:09.889,2016,-0.0154,1.6246
119,15:02:09.889,2012,-0.0173,1.6214
120,15:02:09.890,2015,-0.0159,1.6238
121,15:02:09.890,2013,-0.0168,1.6222
122,15:02:09.891,2013,-0.0168,1.6222
123,15:02:09.891,2016,-0.0154,1.6246
124,15:02:09.892,2012,-0.0173,1.6214
125,15:02:09.892,2014,-0.0164,1.6230
126,15:02:09.893,2015,-0.0159,1.6238
127,15:02:09.893,2017,-0.0149,1.6254
128,15:02:09.894,2019,-0.0139,1.6270
129,15:02:09.894,2020,-0.0134,1.6278
130,15:02:09.895,2019,-0.0139,1.6270
131,15:02:09.895,2024,-0.0115,1.6311
132,15:02:09.896,2026,-0.0105,1.6327
133,15:02:09.896,2025,-0.0110,1.6319
134,15:02:09.897,2024,-0.0115,1.6311
135,15:02:09.897,2027,-0.0100,1.6335
136,15:02:09.898,2029,-0.0090,1.6351
137,15:02:09.898,2029,-0.0090,1.6351
138,15:02:09.899,2031,-0.0081,1.6367
139,15:02:09.899,2028,-0.0095,1.6343
140,15:02:09.900,2033,-0.0071,1.6383
141,15:02:09.900,2033,-0.0071,1.6383
142,15:02:09.901,2029,-0.0090,1.6351
143,15:02:09.901,2033,-0.0071,1.6383
144,15:02:09.902,2031,-0.0081,1.6367
145,15:02:09.902,2026,-0.0105,1.6327
146,15:02:09.903,2028,-0.0095,1.6343
147,15:02:09.903,2024,-0.0115,1.6311
148,15:02:09.904,2023,-0.0120,1.6303
149,15:02:09.904,2026,-0.0105,1.6327
150,15:02:09.905,2025,-0.0110,1.6319
151,15:02:09.905,2022,-0.0125,1.6295
152,15:02:09.906,2021,-0.0129,1.6286
153,15:02:09.906,2020,-0.0134,1.6278
154,15:02:09.907,2023,-0.0120,1.6303
155,15:02:09.907,2023,-0.0120,1.6303
156,15:02:09.908,2020,-0.0134,1.6278
157,15:02:09.908,2021,-0.0129,1.6286
158,15:02:09.909,2013,-0.0168,1.6222
159,15:02:09.909,2019,-0.0139,1.6270
160,15:02:09.910,2022,-0.0125,1.6295
161,15:02:09.910,2021,-0.0129,1.6286
162,15:02:09.911,2019,-0.0139,1.6270
163,15:02:09.911,2021,-0.0129,1.6286
164,15:02:09.912,2023,-0.0120,1.6303
165,15:02:09.912,2025,-0.0110,1.6319
166,15:02:09.913,2021,-0.0129,1.6286
167,15:02:09.913,2027,-0.0100,1.6335
168,15:02:09.914,2022,-0.0125,1.6295
169,15:02:09.914,2024,-0.0115,1.6311
170,15:02:09.915,2022,-0.0125,1.6295
171,15:02:09.915,2018,-0.0144,1.6262
172,15:02:09.916,2020,-0.0134,1.6278
173,15:02:09.916,2016,-0.0154,1.6246
174,15:02:09.917,2016,-0.0154,1.6246
175,15:02:09.917,2014,-0.0164,1.6230
176,15:02:09.918,2013,-0.0168,1.6222
177,15:02:09.918,2017,-0.0149,1.6254
178,15:02:09.919,2014,-0.0164,1.6230
179,15:02:09.919,2012,-0.0173,1.6214
180,15:02:09.920,2016,-0.0154,1.6246
181,15:02:09.920,2019,-0.0139,1.6270
182,15:02:09.921,2014,-0.0164,1.6230
183,15:02:09.921,2012,-0.0173,1.6214
184,15:02:09.922,2013,-0.0168,1.6222
185,15:02:09.922,2014,-0.0164,1.6230
186,15:02:09.923,2018,-0.0144,1.6262
187,15:02:09.923,2018,-0.0144,1.6262
188,15:02:09.924,2017,-0.0149,1.6254
189,15:02:09.924,2019,-0.0139,1.6270
190,15:02:09.925,2021,-0.0129,1.6286
191,15:02:09.925,2026,-0.0105,1.6327
192,15:02:09.926,2022,-0.0125,1.6295
193,15:02:09.926,2021,-0.0129,1.6286
194,15:02:09.927,2026,-0.0105,1.6327
195,15:02:09.927,2025,-0.0110,1.6319
196,15:02:09.928,2024,-0.0115,1.6311
197,15:02:09.928,2026,-0.0105,1.6327
