sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:03:05.742,2018,-0.0144,1.6262
1,15:03:05.743,2016,-0.0154,1.6246
2,15:03:05.743,2017,-0.0149,1.6254
3,15:03:05.744,2021,-0.0129,1.6286
4,15:03:05.744,2023,-0.0120,1.6303
5,15:03:05.745,2023,-0.0120,1.6303
6,15:03:05.745,2025,-0.0110,1.6319
7,15:03:05.746,2025,-0.0110,1.6319
8,15:03:05.746,2028,-0.0095,1.6343
9,15:03:05.747,2027,-0.0100,1.6335
10,15:03:05.747,2025,-0.0110,1.6319
11,15:03:05.748,2030,-0.0085,1.6359
12,15:03:05.748,2025,-0.0110,1.6319
13,15:03:05.749,2027,-0.0100,1.6335
14,15:03:05.749,2032,-0.0076,1.6375
15,15:03:05.750,2026,-0.0105,1.6327
16,15:03:05.750,2029,-0.0090,1.6351
17,15:03:05.751,2028,-0.0095,1.6343
18,15:03:05.751,2032,-0.0076,1.6375
19,15:03:05.752,2028,-0.0095,1.6343
20,15:03:05.752,2029,-0.0090,1.6351
21,15:03:05.753,2028,-0.0095,1.6343
22,15:03:05.753,2026,-0.0105,1.6327
23,15:03:05.754,2025,-0.0110,1.6319
24,15:03:05.754,2025,-0.0110,1.6319
25,15:03:05.755,2027,-0.0100,1.6335
26,15:03:05.755,2030,-0.0085,1.6359
27,15:03:05.756,2025,-0.0110,1.6319
28,15:03:05.756,2022,-0.0125,1.6295
29,15:03:05.757,2026,-0.0105,1.6327
30,15:03:05.757,2026,-0.0105,1.6327
31,15:03:05.758,2026,-0.0105,1.6327
32,15:03:05.758,2025,-0.0110,1.6319
33,15:03:05.759,2020,-0.0134,1.6278
34,15:03:05.759,2026,-0.0105,1.6327
35,15:03:05.760,2020,-0.0134,1.6278
36,15:03:05.760,2022,-0.0125,1.6295
37,15:03:05.761,2024,-0.0115,1.6311
38,15:03:05.761,2028,-0.0095,1.6343
39,15:03:05.762,2027,-0.0100,1.6335
40,15:03:05.762,2022,-0.0125,1.6295
41,15:03:05.763,2021,-0.0129,1.6286
42,15:03:05.763,2023,-0.0120,1.6303
43,15:03:05.764,2025,-0.0110,1.6319
44,15:03:05.764,2028,-0.0095,1.6343
45,15:03:05.765,2026,-0.0105,1.6327
46,15:03:05.765,2023,-0.0120,1.6303
47,15:03:05.766,2027,-0.0100,1.6335
48,15:03:05.766,2025,-0.0110,1.6319
49,15:03:05.767,2023,-0.0120,1.6303
50,15:03:05.767,2025,-0.0110,1.6319
51,15:03:05.768,2024,-0.0115,1.6311
52,15:03:05.768,2025,-0.0110,1.6319
53,15:03:05.769,2023,-0.0120,1.6303
54,15:03:05.769,2021,-0.0129,1.6286
55,15:03:05.770,2018,-0.0144,1.6262
56,15:03:05.770,2023,-0.0120,1.6303
57,15:03:05.771,2022,-0.0125,1.6295
58,15:03:05.771,2020,-0.0134,1.6278
59,15:03:05.772,2023,-0.0120,1.6303
60,15:03:05.772,2025,-0.0110,1.6319
61,15:03:05.773,2020,-0.0134,1.6278
62,15:03:05.773,2023,-0.0120,1.6303
63,15:03:05.774,2018,-0.0144,1.6262
64,15:03:05.774,2022,-0.0125,1.6295
65,15:03:05.775,2024,-0.0115,1.6311
66,15:03:05.775,2021,-0.0129,1.6286
67,15:03:05.776,2026,-0.0105,1.6327
68,15:03:05.776,2027,-0.0100,1.6335
69,15:03:05.777,2026,-0.0105,1.6327
70,15:03:05.777,2027,-0.0100,1.6335
71,15:03:05.778,2026,-0.0105,1.6327
72,15:03:05.778,2031,-0.0081,1.6367
73,15:03:05.779,2025,-0.0110,1.6319
74,15:03:05.779,2027,-0.0100,1.6335
75,15:03:05.780,2023,-0.0120,1.6303
76,15:03:05.780,2032,-0.0076,1.6375
77,15:03:05.781,2027,-0.0100,1.6335
78,15:03:05.781,2031,-0.0081,1.6367
79,15:03:05.782,2028,-0.0095,1.6343
80,15:03:05.782,2029,-0.0090,1.6351
81,15:03:05.783,2030,-0.0085,1.6359
82,15:03:05.783,2025,-0.0110,1.6319
83,15:03:05.784,2027,-0.0100,1.6335
84,15:03:05.784,2025,-0.0110,1.6319
85,15:03:05.785,2030,-0.0085,1.6359
86,15:03:05.785,2028,-0.0095,1.6343
87,15:03:05.786,2026,-0.0105,1.6327
88,15:03:05.786,2027,-0.0100,1.6335
89,15:03:05.787,2029,-0.0090,1.6351
90,15:03:05.787,2024,-0.0115,1.6311
91,15:03:05.788,2024,-0.0115,1.6311
92,15:03:05.788,2021,-0.0129,1.6286
93,15:03:05.789,2022,-0.0125,1.6295
94,15:03:05.789,2025,-0.0110,1.6319
95,15:03:05.790,2023,-0.0120,1.6303
96,15:03:05.790,2023,-0.0120,1.6303
97,15:03:05.791,2021,-0.0129,1.6286
98,15:03:05.791,2018,-0.0144,1.6262
99,15:03:05.792,2019,-0.0139,1.6270
100,15:03:05.792,2022,-0.0125,1.6295
101,15:03:05.793,2019,-0.0139,1.6270
102,15:03:05.793,2016,-0.0154,1.6246
103,15:03:05.794,2021,-0.0129,1.6286
104,15:03:05.794,2024,-0.0115,1.6311
105,15:03:05.795,2023,-0.0120,1.6303
106,15:03:05.795,2024,-0.0115,1.6311
107,15:03:05.796,2016,-0.0154,1.6246
108,15:03:05.796,2018,-0.0144,1.6262
109,15:03:05.797,2023,-0.0120,1.6303
110,15:03:05.797,2027,-0.0100,1.6335
111,15:03:05.798,2028,-0.0095,1.6343
112,15:03:05.798,2029,-0.0090,1.6351
113,15:03:05.799,2028,-0.0095,1.6343
114,15:03:05.799,2030,-0.0085,1.6359
115,15:03:05.800,2029,-0.0090,1.6351
116,15:03:05.800,2022,-0.0125,1.6295
117,15:03:05.801,2028,-0.0095,1.6343
118,15:03:05.801,2026,-0.0105,1.6327
119,15:03:05.802,2025,-0.0110,1.6319
120,15:03:05.802,2026,-0.0105,1.6327
121,15:03:05.803,2029,-0.0090,1.6351
122,15:03:05.803,2026,-0.0105,1.6327
123,15:03:05.804,2027,-0.0100,1.6335
124,15:03:05.804,2026,-0.0105,1.6327
125,15:03:05.805,2026,-0.0105,1.6327
126,15:03:05.805,2026,-0.0105,1.6327
127,15:03:05.806,2020,-0.0134,1.6278
128,15:03:05.806,2024,-0.0115,1.6311
129,15:03:05.807,2022,-0.0125,1.6295
130,15:03:05.807,2022,-0.0125,1.6295
131,15:03:05.808,2020,-0.0134,1.6278
132,15:03:05.808,2024,-0.0115,1.6311
133,15:03:05.809,2024,-0.0115,1.6311
134,15:03:05.809,2024,-0.0115,1.6311
135,15:03:05.810,2024,-0.0115,1.6311
136,15:03:05.810,2020,-0.0134,1.6278
137,15:03:05.811,2023,-0.0120,1.6303
138,15:03:05.811,2021,-0.0129,1.6286
139,15:03:05.812,2020,-0.0134,1.6278
140,15:03:05.812,2023,-0.0120,1.6303
141,15:03:05.813,2023,-0.0120,1.6303
142,15:03:05.813,2024,-0.0115,1.6311
143,15:03:05.814,2022,-0.0125,1.6295
144,15:03:05.814,2025,-0.0110,1.6319
145,15:03:05.815,2022,-0.0125,1.6295
146,15:03:05.815,2022,-0.0125,1.6295
147,15:03:05.816,2023,-0.0120,1.6303
148,15:03:05.816,2023,-0.0120,1.6303
149,15:03:05.817,2026,-0.0105,1.6327
150,15:03:05.817,2025,-0.0110,1.6319
151,15:03:05.818,2022,-0.0125,1.6295
152,15:03:05.818,2025,-0.0110,1.6319
153,15:03:05.819,2027,-0.0100,1.6335
154,15:03:05.819,2024,-0.0115,1.6311
155,15:03:05.820,2026,-0.0105,1.6327
156,15:03:05.820,2022,-0.0125,1.6295
157,15:03:05.821,2022,-0.0125,1.6295
158,15:03:05.821,2026,-0.0105,1.6327
159,15:03:05.822,2022,-0.0125,1.6295
160,15:03:05.822,2024,-0.0115,1.6311
161,15:03:05.823,2023,-0.0120,1.6303
162,15:03:05.823,2025,-0.0110,1.6319
163,15:03:05.824,2026,-0.0105,1.6327
164,15:03:05.824,2023,-0.0120,1.6303
165,15:03:05.825,2023,-0.0120,1.6303
166,15:03:05.825,2025,-0.0110,1.6319
167,15:03:05.826,2026,-0.0105,1.6327
168,15:03:05.826,2023,-0.0120,1.6303
169,15:03:05.827,2024,-0.0115,1.6311
170,15:03:05.827,2023,-0.0120,1.6303
171,15:03:05.828,2025,-0.0110,1.6319
172,15:03:05.828,2025,-0.0110,1.6319
173,15:03:05.829,2021,-0.0129,1.6286
174,15:03:05.829,2023,-0.0120,1.6303
175,15:03:05.830,2025,-0.0110,1.6319
176,15:03:05.830,2023,-0.0120,1.6303
177,15:03:05.831,2026,-0.0105,1.6327
178,15:03:05.831,2027,-0.0100,1.6335
179,15:03:05.832,2027,-0.0100,1.6335
180,15:03:05.832,2020,-0.0134,1.6278
181,15:03:05.833,2027,-0.0100,1.6335
182,15:03:05.833,2026,-0.0105,1.6327
183,15:03:05.834,2030,-0.0085,1.6359
184,15:03:05.834,2027,-0.0100,1.6335
185,15:03:05.835,2025,-0.0110,1.6319
186,15:03:05.835,2025,-0.0110,1.6319
187,15:03:05.836,2020,-0.0134,1.6278
188,15:03:05.836,2024,-0.0115,1.6311
189,15:03:05.837,2021,-0.0129,1.6286
190,15:03:05.837,2023,-0.0120,1.6303
191,15:03:05.838,2022,-0.0125,1.6295
192,15:03:05.838,2024,-0.0115,1.6311
193,15:03:05.839,2026,-0.0105,1.6327
194,15:03:05.839,2023,-0.0120,1.6303
195,15:03:05.840,2020,-0.0134,1.6278
196,15:03:05.840,2022,-0.0125,1.6295
197,15:03:05.841,2017,-0.0149,1.6254
198,15:03:05.841,2017,-0.0149,1.6254
199,15:03:05.842,2016,-0.0154,1.6246
200,15:03:05.842,2023,-0.0120,1.6303
201,15:03:05.843,2020,-0.0134,1.6278
202,15:03:05.843,2018,-0.0144,1.6262
203,15:03:05.844,2019,-0.0139,1.6270
204,15:03:05.844,2014,-0.0164,1.6230
205,15:03:05.845,2020,-0.0134,1.6278
206,15:03:05.845,2018,-0.0144,1.6262
207,15:03:05.846,2020,-0.0134,1.6278
208,15:03:05.846,2019,-0.0139,1.6270
209,15:03:05.847,2020,-0.0134,1.6278
210,15:03:05.847,2024,-0.0115,1.6311
211,15:03:05.848,2023,-0.0120,1.6303
212,15:03:05.848,2023,-0.0120,1.6303
213,15:03:05.849,2024,-0.0115,1.6311
214,15:03:05.849,2026,-0.0105,1.6327
215,15:03:05.850,2024,-0.0115,1.6311
216,15:03:05.850,2026,-0.0105,1.6327
217,15:03:05.851,2024,-0.0115,1.6311
218,15:03:05.851,2024,-0.0115,1.6311
219,15:03:05.852,2025,-0.0110,1.6319
220,15:03:05.852,2031,-0.0081,1.6367
221,15:03:05.853,2026,-0.0105,1.6327
222,15:03:05.853,2030,-0.0085,1.6359
223,15:03:05.854,2025,-0.0110,1.6319
224,15:03:05.854,2023,-0.0120,1.6303
225,15:03:05.855,2027,-0.0100,1.6335
226,15:03:05.855,2025,-0.0110,1.6319
227,15:03:05.856,2023,-0.0120,1.6303
228,15:03:05.856,2023,-0.0120,1.6303
229,15:03:05.857,2021,-0.0129,1.6286
230,15:03:05.857,2025,-0.0110,1.6319
231,15:03:05.858,2025,-0.0110,1.6319
232,15:03:05.858,2024,-0.0115,1.6311
233,15:03:05.859,2024,-0.0115,1.6311
234,15:03:05.859,2021,-0.0129,1.6286
235,15:03:05.860,2023,-0.0120,1.6303
236,15:03:05.860,2024,-0.0115,1.6311
237,15:03:05.861,2024,-0.0115,1.6311
238,15:03:05.861,2022,-0.0125,1.6295
239,15:03:05.862,2021,-0.0129,1.6286
240,15:03:05.862,2025,-0.0110,1.6319
241,15:03:05.863,2025,-0.0110,1.6319
242,15:03:05.863,2025,-0.0110,1.6319
243,15:03:05.864,2023,-0.0120,1.6303
244,15:03:05.864,2021,-0.0129,1.6286
245,15:03:05.865,2021,-0.0129,1.6286
246,15:03:05.865,2017,-0.0149,1.6254
247,15:03:05.866,2021,-0.0129,1.6286
248,15:03:05.866,2024,-0.0115,1.6311
249,15:03:05.867,2024,-0.0115,1.6311
250,15:03:05.867,2021,-0.0129,1.6286
251,15:03:05.868,2024,-0.0115,1.6311
252,15:03:05.868,2025,-0.0110,1.6319
253,15:03:05.869,2020,-0.0134,1.6278
254,15:03:05.869,2019,-0.0139,1.6270
255,15:03:05.870,2021,-0.0129,1.6286
256,15:03:05.870,2018,-0.0144,1.6262
257,15:03:05.871,2017,-0.0149,1.6254
258,15:03:05.871,2019,-0.0139,1.6270
259,15:03:05.872,2015,-0.0159,1.6238
260,15:03:05.872,2019,-0.0139,1.6270
261,15:03:05.873,2021,-0.0129,1.6286
262,15:03:05.873,2021,-0.0129,1.6286
263,15:03:05.874,2022,-0.0125,1.6295
264,15:03:05.874,2023,-0.0120,1.6303
265,15:03:05.875,2020,-0.0134,1.6278
266,15:03:05.875,2021,-0.0129,1.6286
267,15:03:05.876,2023,-0.0120,1.6303
268,15:03:05.876,2021,-0.0129,1.6286
269,15:03:05.877,2027,-0.0100,1.6335
270,15:03:05.877,2021,-0.0129,1.6286
271,15:03:05.878,2021,-0.0129,1.6286
272,15:03:05.878,2021,-0.0129,1.6286
273,15:03:05.879,2023,-0.0120,1.6303
274,15:03:05.879,2023,-0.0120,1.6303
275,15:03:05.880,2026,-0.0105,1.6327
276,15:03:05.880,2024,-0.0115,1.6311
277,15:03:05.881,2025,-0.0110,1.6319
278,15:03:05.881,2023,-0.0120,1.6303
279,15:03:05.882,2027,-0.0100,1.6335
280,15:03:05.882,2022,-0.0125,1.6295
281,15:03:05.883,2025,-0.0110,1.6319
282,15:03:05.883,2022,-0.0125,1.6295
283,15:03:05.884,2023,-0.0120,1.6303
284,15:03:05.884,2022,-0.0125,1.6295
285,15:03:05.885,2020,-0.0134,1.6278
286,15:03:05.885,2021,-0.0129,1.6286
287,15:03:05.886,2024,-0.0115,1.6311
288,15:03:05.886,2024,-0.0115,1.6311
289,15:03:05.887,2021,-0.0129,1.6286
290,15:03:05.887,2023,-0.0120,1.6303
291,15:03:05.888,2025,-0.0110,1.6319
292,15:03:05.888,2023,-0.0120,1.6303
293,15:03:05.889,2021,-0.0129,1.6286
294,15:03:05.889,2023,-0.0120,1.6303
295,15:03:05.890,2021,-0.0129,1.6286
296,15:03:05.890,2023,-0.0120,1.6303
297,15:03:05.891,2023,-0.0120,1.6303
298,15:03:05.891,2023,-0.0120,1.6303
299,15:03:05.892,2021,-0.0129,1.6286
300,15:03:05.892,2019,-0.0139,1.6270
301,15:03:05.893,2018,-0.0144,1.6262
302,15:03:05.893,2023,-0.0120,1.6303
303,15:03:05.894,2022,-0.0125,1.6295
304,15:03:05.894,2021,-0.0129,1.6286
305,15:03:05.895,2021,-0.0129,1.6286
306,15:03:05.895,2018,-0.0144,1.6262
307,15:03:05.896,2022,-0.0125,1.6295
