sample_index,real_time_s,raw_adc,amplitude,voltage
0,14:51:49.472,2019,-0.0139,1.6270
1,14:51:49.472,2022,-0.0125,1.6295
2,14:51:49.473,2021,-0.0129,1.6286
3,14:51:49.473,2022,-0.0125,1.6295
4,14:51:49.474,2024,-0.0115,1.6311
5,14:51:49.474,2024,-0.0115,1.6311
6,14:51:49.475,2025,-0.0110,1.6319
7,14:51:49.475,2025,-0.0110,1.6319
8,14:51:49.476,2026,-0.0105,1.6327
9,14:51:49.476,2024,-0.0115,1.6311
10,14:51:49.477,2025,-0.0110,1.6319
11,14:51:49.477,2028,-0.0095,1.6343
12,14:51:49.478,2024,-0.0115,1.6311
13,14:51:49.478,2023,-0.0120,1.6303
14,14:51:49.479,2026,-0.0105,1.6327
15,14:51:49.479,2023,-0.0120,1.6303
16,14:51:49.480,2024,-0.0115,1.6311
17,14:51:49.480,2028,-0.0095,1.6343
18,14:51:49.481,2028,-0.0095,1.6343
19,14:51:49.481,2024,-0.0115,1.6311
20,14:51:49.482,2027,-0.0100,1.6335
21,14:51:49.482,2027,-0.0100,1.6335
22,14:51:49.483,2027,-0.0100,1.6335
23,14:51:49.483,2025,-0.0110,1.6319
24,14:51:49.484,2024,-0.0115,1.6311
25,14:51:49.484,2023,-0.0120,1.6303
26,14:51:49.485,2023,-0.0120,1.6303
27,14:51:49.485,2020,-0.0134,1.6278
28,14:51:49.486,2024,-0.0115,1.6311
29,14:51:49.486,2022,-0.0125,1.6295
30,14:51:49.487,2021,-0.0129,1.6286
31,14:51:49.487,2023,-0.0120,1.6303
32,14:51:49.488,2020,-0.0134,1.6278
33,14:51:49.488,2021,-0.0129,1.6286
34,14:51:49.489,2021,-0.0129,1.6286
35,14:51:49.489,2020,-0.0134,1.6278
36,14:51:49.490,2019,-0.0139,1.6270
37,14:51:49.490,2023,-0.0120,1.6303
38,14:51:49.491,2025,-0.0110,1.6319
39,14:51:49.491,2023,-0.0120,1.6303
