sample_index,real_time_s,raw_adc,amplitude,voltage
0,14:48:48.397,2031,-0.0081,1.6367
1,14:48:48.397,2027,-0.0100,1.6335
2,14:48:48.398,2029,-0.0090,1.6351
3,14:48:48.398,2026,-0.0105,1.6327
4,14:48:48.399,2024,-0.0115,1.6311
5,14:48:48.399,2028,-0.0095,1.6343
6,14:48:48.400,2030,-0.0085,1.6359
7,14:48:48.400,2024,-0.0115,1.6311
8,14:48:48.401,2023,-0.0120,1.6303
9,14:48:48.401,2024,-0.0115,1.6311
10,14:48:48.402,2027,-0.0100,1.6335
11,14:48:48.402,2026,-0.0105,1.6327
12,14:48:48.403,2025,-0.0110,1.6319
13,14:48:48.403,2024,-0.0115,1.6311
14,14:48:48.404,2027,-0.0100,1.6335
15,14:48:48.404,2023,-0.0120,1.6303
16,14:48:48.405,2023,-0.0120,1.6303
17,14:48:48.405,2027,-0.0100,1.6335
18,14:48:48.406,2024,-0.0115,1.6311
19,14:48:48.406,2028,-0.0095,1.6343
20,14:48:48.407,2024,-0.0115,1.6311
21,14:48:48.407,2027,-0.0100,1.6335
22,14:48:48.408,2026,-0.0105,1.6327
23,14:48:48.408,2027,-0.0100,1.6335
24,14:48:48.409,2023,-0.0120,1.6303
25,14:48:48.409,2023,-0.0120,1.6303
26,14:48:48.410,2022,-0.0125,1.6295
27,14:48:48.410,2023,-0.0120,1.6303
28,14:48:48.411,2024,-0.0115,1.6311
29,14:48:48.411,2022,-0.0125,1.6295
30,14:48:48.412,2019,-0.0139,1.6270
31,14:48:48.412,2024,-0.0115,1.6311
32,14:48:48.413,2023,-0.0120,1.6303
33,14:48:48.413,2019,-0.0139,1.6270
34,14:48:48.414,2019,-0.0139,1.6270
35,14:48:48.414,2018,-0.0144,1.6262
36,14:48:48.415,2022,-0.0125,1.6295
37,14:48:48.415,2018,-0.0144,1.6262
38,14:48:48.416,2019,-0.0139,1.6270
39,14:48:48.416,2015,-0.0159,1.6238
40,14:48:48.417,2020,-0.0134,1.6278
41,14:48:48.417,2019,-0.0139,1.6270
42,14:48:48.418,2020,-0.0134,1.6278
43,14:48:48.418,2020,-0.0134,1.6278
44,14:48:48.419,2017,-0.0149,1.6254
45,14:48:48.419,2017,-0.0149,1.6254
46,14:48:48.420,2019,-0.0139,1.6270
47,14:48:48.420,2016,-0.0154,1.6246
48,14:48:48.421,2014,-0.0164,1.6230
49,14:48:48.421,2019,-0.0139,1.6270
50,14:48:48.422,2019,-0.0139,1.6270
51,14:48:48.422,2018,-0.0144,1.6262
52,14:48:48.423,2019,-0.0139,1.6270
53,14:48:48.423,2019,-0.0139,1.6270
54,14:48:48.424,2020,-0.0134,1.6278
55,14:48:48.424,2023,-0.0120,1.6303
56,14:48:48.425,2022,-0.0125,1.6295
57,14:48:48.425,2023,-0.0120,1.6303
58,14:48:48.426,2026,-0.0105,1.6327
59,14:48:48.426,2021,-0.0129,1.6286
60,14:48:48.427,2020,-0.0134,1.6278
61,14:48:48.427,2025,-0.0110,1.6319
62,14:48:48.428,2021,-0.0129,1.6286
63,14:48:48.428,2024,-0.0115,1.6311
64,14:48:48.429,2023,-0.0120,1.6303
65,14:48:48.429,2025,-0.0110,1.6319
66,14:48:48.430,2024,-0.0115,1.6311
67,14:48:48.430,2023,-0.0120,1.6303
68,14:48:48.431,2024,-0.0115,1.6311
69,14:48:48.431,2026,-0.0105,1.6327
70,14:48:48.432,2026,-0.0105,1.6327
71,14:48:48.432,2028,-0.0095,1.6343
72,14:48:48.433,2023,-0.0120,1.6303
73,14:48:48.433,2027,-0.0100,1.6335
74,14:48:48.434,2026,-0.0105,1.6327
75,14:48:48.434,2026,-0.0105,1.6327
76,14:48:48.435,2029,-0.0090,1.6351
77,14:48:48.435,2030,-0.0085,1.6359
78,14:48:48.436,2028,-0.0095,1.6343
79,14:48:48.436,2031,-0.0081,1.6367
80,14:48:48.437,2028,-0.0095,1.6343
81,14:48:48.437,2030,-0.0085,1.6359
82,14:48:48.438,2030,-0.0085,1.6359
83,14:48:48.438,2027,-0.0100,1.6335
84,14:48:48.439,2029,-0.0090,1.6351
85,14:48:48.439,2033,-0.0071,1.6383
86,14:48:48.440,2028,-0.0095,1.6343
87,14:48:48.440,2035,-0.0061,1.6399
88,14:48:48.441,2027,-0.0100,1.6335
89,14:48:48.441,2026,-0.0105,1.6327
90,14:48:48.442,2025,-0.0110,1.6319
91,14:48:48.442,2025,-0.0110,1.6319
92,14:48:48.443,2023,-0.0120,1.6303
93,14:48:48.443,2021,-0.0129,1.6286
94,14:48:48.444,2021,-0.0129,1.6286
95,14:48:48.444,2020,-0.0134,1.6278
96,14:48:48.445,2019,-0.0139,1.6270
97,14:48:48.445,2019,-0.0139,1.6270
98,14:48:48.446,2018,-0.0144,1.6262
99,14:48:48.446,2016,-0.0154,1.6246
100,14:48:48.447,2015,-0.0159,1.6238
101,14:48:48.447,2016,-0.0154,1.6246
102,14:48:48.448,2011,-0.0178,1.6206
103,14:48:48.448,2013,-0.0168,1.6222
104,14:48:48.449,2016,-0.0154,1.6246
105,14:48:48.449,2015,-0.0159,1.6238
106,14:48:48.450,2013,-0.0168,1.6222
107,14:48:48.450,2019,-0.0139,1.6270
108,14:48:48.451,2014,-0.0164,1.6230
109,14:48:48.451,2018,-0.0144,1.6262
110,14:48:48.452,2017,-0.0149,1.6254
111,14:48:48.452,2016,-0.0154,1.6246
112,14:48:48.453,2017,-0.0149,1.6254
113,14:48:48.453,2019,-0.0139,1.6270
114,14:48:48.454,2022,-0.0125,1.6295
115,14:48:48.454,2019,-0.0139,1.6270
116,14:48:48.455,2021,-0.0129,1.6286
117,14:48:48.455,2021,-0.0129,1.6286
118,14:48:48.456,2024,-0.0115,1.6311
119,14:48:48.456,2025,-0.0110,1.6319
120,14:48:48.457,2024,-0.0115,1.6311
121,14:48:48.457,2029,-0.0090,1.6351
122,14:48:48.458,2026,-0.0105,1.6327
123,14:48:48.458,2026,-0.0105,1.6327
124,14:48:48.459,2024,-0.0115,1.6311
125,14:48:48.459,2027,-0.0100,1.6335
126,14:48:48.460,2027,-0.0100,1.6335
127,14:48:48.460,2028,-0.0095,1.6343
128,14:48:48.461,2024,-0.0115,1.6311
129,14:48:48.461,2028,-0.0095,1.6343
130,14:48:48.462,2027,-0.0100,1.6335
131,14:48:48.462,2026,-0.0105,1.6327
132,14:48:48.463,2027,-0.0100,1.6335
133,14:48:48.463,2023,-0.0120,1.6303
134,14:48:48.464,2021,-0.0129,1.6286
135,14:48:48.464,2025,-0.0110,1.6319
136,14:48:48.465,2021,-0.0129,1.6286
137,14:48:48.465,2029,-0.0090,1.6351
138,14:48:48.466,2023,-0.0120,1.6303
139,14:48:48.466,2027,-0.0100,1.6335
140,14:48:48.467,2032,-0.0076,1.6375
141,14:48:48.467,2026,-0.0105,1.6327
142,14:48:48.468,2025,-0.0110,1.6319
143,14:48:48.468,2028,-0.0095,1.6343
144,14:48:48.469,2023,-0.0120,1.6303
145,14:48:48.469,2025,-0.0110,1.6319
146,14:48:48.470,2026,-0.0105,1.6327
147,14:48:48.470,2029,-0.0090,1.6351
148,14:48:48.471,2026,-0.0105,1.6327
149,14:48:48.471,2030,-0.0085,1.6359
150,14:48:48.472,2030,-0.0085,1.6359
151,14:48:48.472,2030,-0.0085,1.6359
152,14:48:48.473,2029,-0.0090,1.6351
153,14:48:48.473,2032,-0.0076,1.6375
154,14:48:48.474,2031,-0.0081,1.6367
155,14:48:48.474,2031,-0.0081,1.6367
156,14:48:48.475,2031,-0.0081,1.6367
157,14:48:48.475,2034,-0.0066,1.6391
158,14:48:48.476,2037,-0.0051,1.6415
159,14:48:48.476,2033,-0.0071,1.6383
160,14:48:48.477,2032,-0.0076,1.6375
161,14:48:48.477,2032,-0.0076,1.6375
162,14:48:48.478,2029,-0.0090,1.6351
163,14:48:48.478,2032,-0.0076,1.6375
164,14:48:48.479,2028,-0.0095,1.6343
165,14:48:48.479,2027,-0.0100,1.6335
166,14:48:48.480,2030,-0.0085,1.6359
167,14:48:48.480,2025,-0.0110,1.6319
168,14:48:48.481,2027,-0.0100,1.6335
169,14:48:48.481,2024,-0.0115,1.6311
170,14:48:48.482,2020,-0.0134,1.6278
171,14:48:48.482,2024,-0.0115,1.6311
172,14:48:48.483,2018,-0.0144,1.6262
173,14:48:48.483,2024,-0.0115,1.6311
174,14:48:48.484,2021,-0.0129,1.6286
175,14:48:48.484,2023,-0.0120,1.6303
176,14:48:48.485,2023,-0.0120,1.6303
177,14:48:48.485,2019,-0.0139,1.6270
178,14:48:48.486,2023,-0.0120,1.6303
179,14:48:48.486,2023,-0.0120,1.6303
180,14:48:48.487,2024,-0.0115,1.6311
181,14:48:48.487,2024,-0.0115,1.6311
182,14:48:48.488,2027,-0.0100,1.6335
183,14:48:48.488,2021,-0.0129,1.6286
184,14:48:48.489,2029,-0.0090,1.6351
185,14:48:48.489,2029,-0.0090,1.6351
186,14:48:48.490,2028,-0.0095,1.6343
187,14:48:48.490,2027,-0.0100,1.6335
188,14:48:48.491,2031,-0.0081,1.6367
189,14:48:48.491,2029,-0.0090,1.6351
