sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:33:27.113,2023,-0.0120,1.6303
1,15:33:27.113,2020,-0.0134,1.6278
2,15:33:27.114,2019,-0.0139,1.6270
3,15:33:27.114,2020,-0.0134,1.6278
4,15:33:27.115,2020,-0.0134,1.6278
5,15:33:27.115,2019,-0.0139,1.6270
6,15:33:27.116,2022,-0.0125,1.6295
7,15:33:27.116,2024,-0.0115,1.6311
8,15:33:27.117,2024,-0.0115,1.6311
9,15:33:27.117,2023,-0.0120,1.6303
10,15:33:27.118,2024,-0.0115,1.6311
11,15:33:27.118,2020,-0.0134,1.6278
12,15:33:27.119,2022,-0.0125,1.6295
13,15:33:27.119,2023,-0.0120,1.6303
14,15:33:27.120,2026,-0.0105,1.6327
15,15:33:27.120,2023,-0.0120,1.6303
16,15:33:27.121,2023,-0.0120,1.6303
17,15:33:27.121,2023,-0.0120,1.6303
18,15:33:27.122,2023,-0.0120,1.6303
19,15:33:27.122,2026,-0.0105,1.6327
20,15:33:27.123,2021,-0.0129,1.6286
21,15:33:27.123,2022,-0.0125,1.6295
22,15:33:27.124,2021,-0.0129,1.6286
23,15:33:27.124,2025,-0.0110,1.6319
24,15:33:27.125,2024,-0.0115,1.6311
25,15:33:27.125,2023,-0.0120,1.6303
26,15:33:27.126,2021,-0.0129,1.6286
27,15:33:27.126,2024,-0.0115,1.6311
28,15:33:27.127,2022,-0.0125,1.6295
29,15:33:27.127,2024,-0.0115,1.6311
30,15:33:27.128,2023,-0.0120,1.6303
31,15:33:27.128,2024,-0.0115,1.6311
32,15:33:27.129,2022,-0.0125,1.6295
33,15:33:27.129,2023,-0.0120,1.6303
34,15:33:27.130,2022,-0.0125,1.6295
35,15:33:27.130,2022,-0.0125,1.6295
36,15:33:27.131,2025,-0.0110,1.6319
37,15:33:27.131,2021,-0.0129,1.6286
38,15:33:27.132,2023,-0.0120,1.6303
39,15:33:27.132,2022,-0.0125,1.6295
40,15:33:27.133,2020,-0.0134,1.6278
41,15:33:27.133,2023,-0.0120,1.6303
42,15:33:27.134,2021,-0.0129,1.6286
43,15:33:27.134,2023,-0.0120,1.6303
44,15:33:27.135,2019,-0.0139,1.6270
45,15:33:27.135,2019,-0.0139,1.6270
46,15:33:27.136,2022,-0.0125,1.6295
47,15:33:27.136,2021,-0.0129,1.6286
48,15:33:27.137,2020,-0.0134,1.6278
49,15:33:27.137,2022,-0.0125,1.6295
50,15:33:27.138,2022,-0.0125,1.6295
51,15:33:27.138,2019,-0.0139,1.6270
52,15:33:27.139,2023,-0.0120,1.6303
53,15:33:27.139,2023,-0.0120,1.6303
54,15:33:27.140,2023,-0.0120,1.6303
55,15:33:27.140,2021,-0.0129,1.6286
56,15:33:27.141,2023,-0.0120,1.6303
57,15:33:27.141,2023,-0.0120,1.6303
58,15:33:27.142,2020,-0.0134,1.6278
59,15:33:27.142,2024,-0.0115,1.6311
60,15:33:27.143,2025,-0.0110,1.6319
61,15:33:27.143,2022,-0.0125,1.6295
62,15:33:27.144,2022,-0.0125,1.6295
63,15:33:27.144,2019,-0.0139,1.6270
64,15:33:27.145,2023,-0.0120,1.6303
65,15:33:27.145,2025,-0.0110,1.6319
66,15:33:27.146,2025,-0.0110,1.6319
67,15:33:27.146,2026,-0.0105,1.6327
68,15:33:27.147,2023,-0.0120,1.6303
69,15:33:27.147,2023,-0.0120,1.6303
70,15:33:27.148,2028,-0.0095,1.6343
71,15:33:27.148,2023,-0.0120,1.6303
72,15:33:27.149,2021,-0.0129,1.6286
73,15:33:27.149,2023,-0.0120,1.6303
74,15:33:27.150,2021,-0.0129,1.6286
75,15:33:27.150,2025,-0.0110,1.6319
76,15:33:27.151,2022,-0.0125,1.6295
77,15:33:27.151,2026,-0.0105,1.6327
78,15:33:27.152,2025,-0.0110,1.6319
79,15:33:27.152,2025,-0.0110,1.6319
80,15:33:27.153,2025,-0.0110,1.6319
81,15:33:27.153,2021,-0.0129,1.6286
82,15:33:27.154,2025,-0.0110,1.6319
83,15:33:27.154,2021,-0.0129,1.6286
84,15:33:27.155,2025,-0.0110,1.6319
85,15:33:27.155,2021,-0.0129,1.6286
86,15:33:27.156,2023,-0.0120,1.6303
87,15:33:27.156,2022,-0.0125,1.6295
88,15:33:27.157,2024,-0.0115,1.6311
89,15:33:27.157,2023,-0.0120,1.6303
90,15:33:27.158,2022,-0.0125,1.6295
91,15:33:27.158,2024,-0.0115,1.6311
92,15:33:27.159,2027,-0.0100,1.6335
93,15:33:27.159,2022,-0.0125,1.6295
94,15:33:27.160,2020,-0.0134,1.6278
95,15:33:27.160,2021,-0.0129,1.6286
96,15:33:27.161,2024,-0.0115,1.6311
97,15:33:27.161,2021,-0.0129,1.6286
98,15:33:27.162,2020,-0.0134,1.6278
99,15:33:27.162,2020,-0.0134,1.6278
100,15:33:27.163,2018,-0.0144,1.6262
101,15:33:27.163,2023,-0.0120,1.6303
102,15:33:27.164,2021,-0.0129,1.6286
103,15:33:27.164,2021,-0.0129,1.6286
104,15:33:27.165,2018,-0.0144,1.6262
105,15:33:27.165,2023,-0.0120,1.6303
106,15:33:27.166,2021,-0.0129,1.6286
107,15:33:27.166,2023,-0.0120,1.6303
108,15:33:27.167,2024,-0.0115,1.6311
109,15:33:27.167,2022,-0.0125,1.6295
110,15:33:27.168,2023,-0.0120,1.6303
111,15:33:27.168,2022,-0.0125,1.6295
112,15:33:27.169,2022,-0.0125,1.6295
113,15:33:27.169,2024,-0.0115,1.6311
114,15:33:27.170,2026,-0.0105,1.6327
115,15:33:27.170,2024,-0.0115,1.6311
116,15:33:27.171,2025,-0.0110,1.6319
117,15:33:27.171,2023,-0.0120,1.6303
118,15:33:27.172,2025,-0.0110,1.6319
119,15:33:27.172,2022,-0.0125,1.6295
120,15:33:27.173,2020,-0.0134,1.6278
121,15:33:27.173,2023,-0.0120,1.6303
122,15:33:27.174,2023,-0.0120,1.6303
123,15:33:27.174,2025,-0.0110,1.6319
124,15:33:27.175,2026,-0.0105,1.6327
125,15:33:27.175,2022,-0.0125,1.6295
126,15:33:27.176,2026,-0.0105,1.6327
127,15:33:27.176,2022,-0.0125,1.6295
128,15:33:27.177,2027,-0.0100,1.6335
129,15:33:27.177,2021,-0.0129,1.6286
130,15:33:27.178,2023,-0.0120,1.6303
131,15:33:27.178,2021,-0.0129,1.6286
132,15:33:27.179,2021,-0.0129,1.6286
133,15:33:27.179,2025,-0.0110,1.6319
134,15:33:27.180,2023,-0.0120,1.6303
135,15:33:27.180,2023,-0.0120,1.6303
136,15:33:27.181,2024,-0.0115,1.6311
137,15:33:27.181,2021,-0.0129,1.6286
138,15:33:27.182,2022,-0.0125,1.6295
139,15:33:27.182,2018,-0.0144,1.6262
140,15:33:27.183,2022,-0.0125,1.6295
141,15:33:27.183,2016,-0.0154,1.6246
142,15:33:27.184,2016,-0.0154,1.6246
143,15:33:27.184,2020,-0.0134,1.6278
144,15:33:27.185,2018,-0.0144,1.6262
145,15:33:27.185,2022,-0.0125,1.6295
146,15:33:27.186,2021,-0.0129,1.6286
147,15:33:27.186,2024,-0.0115,1.6311
148,15:33:27.187,2023,-0.0120,1.6303
149,15:33:27.187,2020,-0.0134,1.6278
150,15:33:27.188,2022,-0.0125,1.6295
151,15:33:27.188,2022,-0.0125,1.6295
152,15:33:27.189,2021,-0.0129,1.6286
153,15:33:27.189,2021,-0.0129,1.6286
154,15:33:27.190,2020,-0.0134,1.6278
155,15:33:27.190,2023,-0.0120,1.6303
156,15:33:27.191,2023,-0.0120,1.6303
157,15:33:27.191,2021,-0.0129,1.6286
158,15:33:27.192,2020,-0.0134,1.6278
159,15:33:27.192,2022,-0.0125,1.6295
160,15:33:27.193,2020,-0.0134,1.6278
161,15:33:27.193,2017,-0.0149,1.6254
162,15:33:27.194,2023,-0.0120,1.6303
163,15:33:27.194,2022,-0.0125,1.6295
164,15:33:27.195,2028,-0.0095,1.6343
165,15:33:27.195,2019,-0.0139,1.6270
166,15:33:27.196,2029,-0.0090,1.6351
167,15:33:27.196,2022,-0.0125,1.6295
168,15:33:27.197,2024,-0.0115,1.6311
169,15:33:27.197,2022,-0.0125,1.6295
170,15:33:27.198,2023,-0.0120,1.6303
171,15:33:27.198,2026,-0.0105,1.6327
172,15:33:27.199,2025,-0.0110,1.6319
173,15:33:27.199,2024,-0.0115,1.6311
174,15:33:27.200,2021,-0.0129,1.6286
175,15:33:27.200,2022,-0.0125,1.6295
176,15:33:27.201,2021,-0.0129,1.6286
177,15:33:27.201,2024,-0.0115,1.6311
178,15:33:27.202,2020,-0.0134,1.6278
179,15:33:27.202,2021,-0.0129,1.6286
180,15:33:27.203,2024,-0.0115,1.6311
181,15:33:27.203,2023,-0.0120,1.6303
182,15:33:27.204,2021,-0.0129,1.6286
183,15:33:27.204,2023,-0.0120,1.6303
184,15:33:27.205,2025,-0.0110,1.6319
185,15:33:27.205,2025,-0.0110,1.6319
186,15:33:27.206,2020,-0.0134,1.6278
187,15:33:27.206,2021,-0.0129,1.6286
188,15:33:27.207,2027,-0.0100,1.6335
189,15:33:27.207,2022,-0.0125,1.6295
190,15:33:27.208,2022,-0.0125,1.6295
191,15:33:27.208,2024,-0.0115,1.6311
192,15:33:27.209,2017,-0.0149,1.6254
193,15:33:27.209,2025,-0.0110,1.6319
194,15:33:27.210,2023,-0.0120,1.6303
195,15:33:27.210,2022,-0.0125,1.6295
196,15:33:27.211,2024,-0.0115,1.6311
197,15:33:27.211,2022,-0.0125,1.6295
198,15:33:27.212,2020,-0.0134,1.6278
199,15:33:27.212,2023,-0.0120,1.6303
200,15:33:27.213,2020,-0.0134,1.6278
201,15:33:27.213,2024,-0.0115,1.6311
202,15:33:27.214,2022,-0.0125,1.6295
203,15:33:27.214,2024,-0.0115,1.6311
204,15:33:27.215,2016,-0.0154,1.6246
205,15:33:27.215,2026,-0.0105,1.6327
206,15:33:27.216,2023,-0.0120,1.6303
207,15:33:27.216,2016,-0.0154,1.6246
208,15:33:27.217,2019,-0.0139,1.6270
209,15:33:27.217,2022,-0.0125,1.6295
210,15:33:27.218,2023,-0.0120,1.6303
211,15:33:27.218,2021,-0.0129,1.6286
212,15:33:27.219,2023,-0.0120,1.6303
213,15:33:27.219,2025,-0.0110,1.6319
214,15:33:27.220,2024,-0.0115,1.6311
215,15:33:27.220,2026,-0.0105,1.6327
216,15:33:27.221,2023,-0.0120,1.6303
217,15:33:27.221,2023,-0.0120,1.6303
218,15:33:27.222,2023,-0.0120,1.6303
219,15:33:27.222,2022,-0.0125,1.6295
220,15:33:27.223,2024,-0.0115,1.6311
221,15:33:27.223,2025,-0.0110,1.6319
222,15:33:27.224,2024,-0.0115,1.6311
223,15:33:27.224,2021,-0.0129,1.6286
224,15:33:27.225,2025,-0.0110,1.6319
225,15:33:27.225,2024,-0.0115,1.6311
226,15:33:27.226,2023,-0.0120,1.6303
227,15:33:27.226,2022,-0.0125,1.6295
228,15:33:27.227,2023,-0.0120,1.6303
229,15:33:27.227,2023,-0.0120,1.6303
230,15:33:27.228,2019,-0.0139,1.6270
231,15:33:27.228,2023,-0.0120,1.6303
232,15:33:27.229,2022,-0.0125,1.6295
233,15:33:27.229,2022,-0.0125,1.6295
