sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:24:36.920,2029,-0.0090,1.6351
1,15:24:36.920,2022,-0.0125,1.6295
2,15:24:36.921,2024,-0.0115,1.6311
3,15:24:36.921,2024,-0.0115,1.6311
4,15:24:36.922,2023,-0.0120,1.6303
5,15:24:36.922,2023,-0.0120,1.6303
6,15:24:36.923,2025,-0.0110,1.6319
7,15:24:36.923,2026,-0.0105,1.6327
8,15:24:36.924,2023,-0.0120,1.6303
9,15:24:36.924,2024,-0.0115,1.6311
10,15:24:36.925,2024,-0.0115,1.6311
11,15:24:36.925,2021,-0.0129,1.6286
12,15:24:36.926,2024,-0.0115,1.6311
13,15:24:36.926,2020,-0.0134,1.6278
14,15:24:36.927,2021,-0.0129,1.6286
15,15:24:36.927,2021,-0.0129,1.6286
16,15:24:36.928,2024,-0.0115,1.6311
17,15:24:36.928,2024,-0.0115,1.6311
18,15:24:36.929,2020,-0.0134,1.6278
19,15:24:36.929,2023,-0.0120,1.6303
20,15:24:36.930,2025,-0.0110,1.6319
21,15:24:36.930,2020,-0.0134,1.6278
22,15:24:36.931,2021,-0.0129,1.6286
23,15:24:36.931,2023,-0.0120,1.6303
24,15:24:36.932,2026,-0.0105,1.6327
25,15:24:36.932,2022,-0.0125,1.6295
26,15:24:36.933,2020,-0.0134,1.6278
27,15:24:36.933,2024,-0.0115,1.6311
28,15:24:36.934,2023,-0.0120,1.6303
29,15:24:36.934,2023,-0.0120,1.6303
30,15:24:36.935,2019,-0.0139,1.6270
31,15:24:36.935,2021,-0.0129,1.6286
32,15:24:36.936,2023,-0.0120,1.6303
33,15:24:36.936,2021,-0.0129,1.6286
34,15:24:36.937,2023,-0.0120,1.6303
35,15:24:36.937,2023,-0.0120,1.6303
36,15:24:36.938,2020,-0.0134,1.6278
37,15:24:36.938,2021,-0.0129,1.6286
38,15:24:36.939,2023,-0.0120,1.6303
39,15:24:36.939,2022,-0.0125,1.6295
40,15:24:36.940,2024,-0.0115,1.6311
41,15:24:36.940,2024,-0.0115,1.6311
42,15:24:36.941,2028,-0.0095,1.6343
43,15:24:36.941,2019,-0.0139,1.6270
44,15:24:36.942,2027,-0.0100,1.6335
45,15:24:36.942,2024,-0.0115,1.6311
46,15:24:36.943,2025,-0.0110,1.6319
47,15:24:36.943,2025,-0.0110,1.6319
48,15:24:36.944,2023,-0.0120,1.6303
49,15:24:36.944,2025,-0.0110,1.6319
50,15:24:36.945,2022,-0.0125,1.6295
51,15:24:36.945,2025,-0.0110,1.6319
52,15:24:36.946,2025,-0.0110,1.6319
53,15:24:36.946,2025,-0.0110,1.6319
54,15:24:36.947,2025,-0.0110,1.6319
55,15:24:36.947,2027,-0.0100,1.6335
56,15:24:36.948,2023,-0.0120,1.6303
57,15:24:36.948,2022,-0.0125,1.6295
58,15:24:36.949,2027,-0.0100,1.6335
59,15:24:36.949,2024,-0.0115,1.6311
60,15:24:36.950,2024,-0.0115,1.6311
61,15:24:36.950,2020,-0.0134,1.6278
62,15:24:36.951,2025,-0.0110,1.6319
63,15:24:36.951,2021,-0.0129,1.6286
64,15:24:36.952,2025,-0.0110,1.6319
65,15:24:36.952,2024,-0.0115,1.6311
66,15:24:36.953,2024,-0.0115,1.6311
67,15:24:36.953,2021,-0.0129,1.6286
68,15:24:36.954,2024,-0.0115,1.6311
69,15:24:36.954,2023,-0.0120,1.6303
70,15:24:36.955,2023,-0.0120,1.6303
71,15:24:36.955,2023,-0.0120,1.6303
72,15:24:36.956,2021,-0.0129,1.6286
73,15:24:36.956,2021,-0.0129,1.6286
74,15:24:36.957,2022,-0.0125,1.6295
75,15:24:36.957,2021,-0.0129,1.6286
76,15:24:36.958,2022,-0.0125,1.6295
77,15:24:36.958,2020,-0.0134,1.6278
78,15:24:36.959,2023,-0.0120,1.6303
79,15:24:36.959,2023,-0.0120,1.6303
80,15:24:36.960,2023,-0.0120,1.6303
81,15:24:36.960,2024,-0.0115,1.6311
82,15:24:36.961,2023,-0.0120,1.6303
83,15:24:36.961,2023,-0.0120,1.6303
84,15:24:36.962,2024,-0.0115,1.6311
85,15:24:36.962,2021,-0.0129,1.6286
86,15:24:36.963,2015,-0.0159,1.6238
87,15:24:36.963,2022,-0.0125,1.6295
88,15:24:36.964,2024,-0.0115,1.6311
89,15:24:36.964,2021,-0.0129,1.6286
90,15:24:36.965,2023,-0.0120,1.6303
91,15:24:36.965,2021,-0.0129,1.6286
92,15:24:36.966,2024,-0.0115,1.6311
93,15:24:36.966,2021,-0.0129,1.6286
94,15:24:36.967,2020,-0.0134,1.6278
95,15:24:36.967,2024,-0.0115,1.6311
96,15:24:36.968,2021,-0.0129,1.6286
97,15:24:36.968,2024,-0.0115,1.6311
98,15:24:36.969,2024,-0.0115,1.6311
99,15:24:36.969,2025,-0.0110,1.6319
100,15:24:36.970,2024,-0.0115,1.6311
101,15:24:36.970,2022,-0.0125,1.6295
102,15:24:36.971,2020,-0.0134,1.6278
103,15:24:36.971,2025,-0.0110,1.6319
104,15:24:36.972,2024,-0.0115,1.6311
105,15:24:36.972,2024,-0.0115,1.6311
106,15:24:36.973,2022,-0.0125,1.6295
107,15:24:36.973,2023,-0.0120,1.6303
108,15:24:36.974,2023,-0.0120,1.6303
109,15:24:36.974,2028,-0.0095,1.6343
110,15:24:36.975,2019,-0.0139,1.6270
111,15:24:36.975,2026,-0.0105,1.6327
112,15:24:36.976,2026,-0.0105,1.6327
113,15:24:36.976,2023,-0.0120,1.6303
114,15:24:36.977,2022,-0.0125,1.6295
115,15:24:36.977,2022,-0.0125,1.6295
116,15:24:36.978,2023,-0.0120,1.6303
117,15:24:36.978,2023,-0.0120,1.6303
118,15:24:36.979,2024,-0.0115,1.6311
119,15:24:36.979,2022,-0.0125,1.6295
120,15:24:36.980,2022,-0.0125,1.6295
121,15:24:36.980,2019,-0.0139,1.6270
122,15:24:36.981,2021,-0.0129,1.6286
123,15:24:36.981,2024,-0.0115,1.6311
124,15:24:36.982,2021,-0.0129,1.6286
125,15:24:36.982,2021,-0.0129,1.6286
126,15:24:36.983,2025,-0.0110,1.6319
127,15:24:36.983,2021,-0.0129,1.6286
128,15:24:36.984,2027,-0.0100,1.6335
129,15:24:36.984,2022,-0.0125,1.6295
130,15:24:36.985,2021,-0.0129,1.6286
131,15:24:36.985,2023,-0.0120,1.6303
132,15:24:36.986,2021,-0.0129,1.6286
133,15:24:36.986,2023,-0.0120,1.6303
134,15:24:36.987,2023,-0.0120,1.6303
135,15:24:36.987,2020,-0.0134,1.6278
136,15:24:36.988,2023,-0.0120,1.6303
137,15:24:36.988,2023,-0.0120,1.6303
138,15:24:36.989,2022,-0.0125,1.6295
139,15:24:36.989,2023,-0.0120,1.6303
140,15:24:36.990,2019,-0.0139,1.6270
141,15:24:36.990,2024,-0.0115,1.6311
142,15:24:36.991,2023,-0.0120,1.6303
143,15:24:36.991,2023,-0.0120,1.6303
144,15:24:36.992,2021,-0.0129,1.6286
145,15:24:36.992,2026,-0.0105,1.6327
146,15:24:36.993,2025,-0.0110,1.6319
147,15:24:36.993,2018,-0.0144,1.6262
148,15:24:36.994,2020,-0.0134,1.6278
149,15:24:36.994,2021,-0.0129,1.6286
150,15:24:36.995,2023,-0.0120,1.6303
151,15:24:36.995,2024,-0.0115,1.6311
152,15:24:36.996,2019,-0.0139,1.6270
153,15:24:36.996,2021,-0.0129,1.6286
154,15:24:36.997,2019,-0.0139,1.6270
