sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:16:34.978,2024,-0.0115,1.6311
1,15:16:34.979,2027,-0.0100,1.6335
2,15:16:34.979,2023,-0.0120,1.6303
3,15:16:34.980,2025,-0.0110,1.6319
4,15:16:34.980,2025,-0.0110,1.6319
5,15:16:34.981,2019,-0.0139,1.6270
6,15:16:34.981,2022,-0.0125,1.6295
7,15:16:34.982,2022,-0.0125,1.6295
8,15:16:34.982,2025,-0.0110,1.6319
9,15:16:34.983,2022,-0.0125,1.6295
10,15:16:34.983,2027,-0.0100,1.6335
11,15:16:34.984,2024,-0.0115,1.6311
12,15:16:34.984,2022,-0.0125,1.6295
13,15:16:34.985,2022,-0.0125,1.6295
14,15:16:34.985,2024,-0.0115,1.6311
15,15:16:34.986,2021,-0.0129,1.6286
16,15:16:34.986,2022,-0.0125,1.6295
17,15:16:34.987,2023,-0.0120,1.6303
18,15:16:34.987,2023,-0.0120,1.6303
19,15:16:34.988,2027,-0.0100,1.6335
20,15:16:34.988,2024,-0.0115,1.6311
21,15:16:34.989,2030,-0.0085,1.6359
22,15:16:34.989,2020,-0.0134,1.6278
23,15:16:34.990,2022,-0.0125,1.6295
24,15:16:34.990,2024,-0.0115,1.6311
25,15:16:34.991,2022,-0.0125,1.6295
26,15:16:34.991,2025,-0.0110,1.6319
27,15:16:34.992,2023,-0.0120,1.6303
28,15:16:34.992,2024,-0.0115,1.6311
29,15:16:34.993,2023,-0.0120,1.6303
30,15:16:34.993,2024,-0.0115,1.6311
31,15:16:34.994,2025,-0.0110,1.6319
32,15:16:34.994,2021,-0.0129,1.6286
33,15:16:34.995,2025,-0.0110,1.6319
34,15:16:34.995,2021,-0.0129,1.6286
35,15:16:34.996,2023,-0.0120,1.6303
36,15:16:34.996,2021,-0.0129,1.6286
37,15:16:34.997,2021,-0.0129,1.6286
38,15:16:34.997,2026,-0.0105,1.6327
39,15:16:34.998,2020,-0.0134,1.6278
40,15:16:34.998,2021,-0.0129,1.6286
41,15:16:34.999,2025,-0.0110,1.6319
42,15:16:34.999,2024,-0.0115,1.6311
43,15:16:35.000,2021,-0.0129,1.6286
44,15:16:35.000,2023,-0.0120,1.6303
45,15:16:35.001,2025,-0.0110,1.6319
46,15:16:35.001,2026,-0.0105,1.6327
47,15:16:35.002,2021,-0.0129,1.6286
48,15:16:35.002,2025,-0.0110,1.6319
49,15:16:35.003,2021,-0.0129,1.6286
50,15:16:35.003,2023,-0.0120,1.6303
51,15:16:35.004,2024,-0.0115,1.6311
52,15:16:35.004,2021,-0.0129,1.6286
53,15:16:35.005,2025,-0.0110,1.6319
54,15:16:35.005,2020,-0.0134,1.6278
