sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:58:30.163,2023,-0.0120,1.6303
1,15:58:30.163,2021,-0.0129,1.6286
2,15:58:30.164,2020,-0.0134,1.6278
3,15:58:30.164,2023,-0.0120,1.6303
4,15:58:30.165,2024,-0.0115,1.6311
5,15:58:30.165,2024,-0.0115,1.6311
6,15:58:30.166,2024,-0.0115,1.6311
7,15:58:30.166,2023,-0.0120,1.6303
8,15:58:30.167,2022,-0.0125,1.6295
9,15:58:30.167,2020,-0.0134,1.6278
10,15:58:30.168,2023,-0.0120,1.6303
11,15:58:30.168,2025,-0.0110,1.6319
12,15:58:30.169,2020,-0.0134,1.6278
13,15:58:30.169,2022,-0.0125,1.6295
14,15:58:30.170,2024,-0.0115,1.6311
15,15:58:30.170,2021,-0.0129,1.6286
16,15:58:30.171,2024,-0.0115,1.6311
17,15:58:30.171,2021,-0.0129,1.6286
18,15:58:30.172,2023,-0.0120,1.6303
19,15:58:30.172,2027,-0.0100,1.6335
20,15:58:30.173,2021,-0.0129,1.6286
21,15:58:30.173,2022,-0.0125,1.6295
22,15:58:30.174,2022,-0.0125,1.6295
23,15:58:30.174,2026,-0.0105,1.6327
24,15:58:30.175,2022,-0.0125,1.6295
25,15:58:30.175,2022,-0.0125,1.6295
26,15:58:30.176,2022,-0.0125,1.6295
27,15:58:30.176,2025,-0.0110,1.6319
28,15:58:30.177,2026,-0.0105,1.6327
29,15:58:30.177,2026,-0.0105,1.6327
30,15:58:30.178,2023,-0.0120,1.6303
31,15:58:30.178,2022,-0.0125,1.6295
32,15:58:30.179,2029,-0.0090,1.6351
33,15:58:30.179,2024,-0.0115,1.6311
34,15:58:30.180,2019,-0.0139,1.6270
35,15:58:30.180,2024,-0.0115,1.6311
36,15:58:30.181,2027,-0.0100,1.6335
37,15:58:30.181,2022,-0.0125,1.6295
38,15:58:30.182,2022,-0.0125,1.6295
39,15:58:30.182,2024,-0.0115,1.6311
40,15:58:30.183,2023,-0.0120,1.6303
41,15:58:30.183,2023,-0.0120,1.6303
42,15:58:30.184,2024,-0.0115,1.6311
43,15:58:30.184,2023,-0.0120,1.6303
44,15:58:30.185,2021,-0.0129,1.6286
45,15:58:30.185,2019,-0.0139,1.6270
46,15:58:30.186,2022,-0.0125,1.6295
47,15:58:30.186,2027,-0.0100,1.6335
48,15:58:30.187,2019,-0.0139,1.6270
49,15:58:30.187,2024,-0.0115,1.6311
50,15:58:30.188,2024,-0.0115,1.6311
51,15:58:30.188,2016,-0.0154,1.6246
52,15:58:30.189,2020,-0.0134,1.6278
53,15:58:30.189,2021,-0.0129,1.6286
54,15:58:30.190,2024,-0.0115,1.6311
55,15:58:30.190,2020,-0.0134,1.6278
56,15:58:30.191,2022,-0.0125,1.6295
57,15:58:30.191,2018,-0.0144,1.6262
58,15:58:30.192,2019,-0.0139,1.6270
59,15:58:30.192,2024,-0.0115,1.6311
60,15:58:30.193,2022,-0.0125,1.6295
61,15:58:30.193,2020,-0.0134,1.6278
62,15:58:30.194,2022,-0.0125,1.6295
63,15:58:30.194,2025,-0.0110,1.6319
64,15:58:30.195,2020,-0.0134,1.6278
65,15:58:30.195,2020,-0.0134,1.6278
66,15:58:30.196,2024,-0.0115,1.6311
67,15:58:30.196,2022,-0.0125,1.6295
68,15:58:30.197,2025,-0.0110,1.6319
69,15:58:30.197,2022,-0.0125,1.6295
70,15:58:30.198,2022,-0.0125,1.6295
71,15:58:30.198,2024,-0.0115,1.6311
72,15:58:30.199,2023,-0.0120,1.6303
73,15:58:30.199,2023,-0.0120,1.6303
74,15:58:30.200,2026,-0.0105,1.6327
75,15:58:30.200,2022,-0.0125,1.6295
76,15:58:30.201,2023,-0.0120,1.6303
77,15:58:30.201,2026,-0.0105,1.6327
78,15:58:30.202,2025,-0.0110,1.6319
79,15:58:30.202,2027,-0.0100,1.6335
80,15:58:30.203,2026,-0.0105,1.6327
81,15:58:30.203,2020,-0.0134,1.6278
82,15:58:30.204,2023,-0.0120,1.6303
83,15:58:30.204,2024,-0.0115,1.6311
84,15:58:30.205,2021,-0.0129,1.6286
85,15:58:30.205,2022,-0.0125,1.6295
86,15:58:30.206,2023,-0.0120,1.6303
87,15:58:30.206,2022,-0.0125,1.6295
88,15:58:30.207,2025,-0.0110,1.6319
89,15:58:30.207,2021,-0.0129,1.6286
90,15:58:30.208,2026,-0.0105,1.6327
91,15:58:30.208,2021,-0.0129,1.6286
92,15:58:30.209,2022,-0.0125,1.6295
93,15:58:30.209,2020,-0.0134,1.6278
94,15:58:30.210,2025,-0.0110,1.6319
95,15:58:30.210,2023,-0.0120,1.6303
96,15:58:30.211,2024,-0.0115,1.6311
97,15:58:30.211,2023,-0.0120,1.6303
98,15:58:30.212,2022,-0.0125,1.6295
99,15:58:30.212,2024,-0.0115,1.6311
100,15:58:30.213,2022,-0.0125,1.6295
101,15:58:30.213,2025,-0.0110,1.6319
102,15:58:30.214,2025,-0.0110,1.6319
103,15:58:30.214,2021,-0.0129,1.6286
104,15:58:30.215,2023,-0.0120,1.6303
105,15:58:30.215,2021,-0.0129,1.6286
106,15:58:30.216,2023,-0.0120,1.6303
107,15:58:30.216,2019,-0.0139,1.6270
108,15:58:30.217,2023,-0.0120,1.6303
109,15:58:30.217,2023,-0.0120,1.6303
110,15:58:30.218,2023,-0.0120,1.6303
111,15:58:30.218,2021,-0.0129,1.6286
112,15:58:30.219,2020,-0.0134,1.6278
113,15:58:30.219,2023,-0.0120,1.6303
114,15:58:30.220,2023,-0.0120,1.6303
115,15:58:30.220,2021,-0.0129,1.6286
116,15:58:30.221,2024,-0.0115,1.6311
117,15:58:30.221,2022,-0.0125,1.6295
118,15:58:30.222,2027,-0.0100,1.6335
119,15:58:30.222,2024,-0.0115,1.6311
120,15:58:30.223,2022,-0.0125,1.6295
121,15:58:30.223,2022,-0.0125,1.6295
122,15:58:30.224,2019,-0.0139,1.6270
123,15:58:30.224,2022,-0.0125,1.6295
124,15:58:30.225,2019,-0.0139,1.6270
125,15:58:30.225,2021,-0.0129,1.6286
126,15:58:30.226,2026,-0.0105,1.6327
127,15:58:30.226,2022,-0.0125,1.6295
128,15:58:30.227,2022,-0.0125,1.6295
129,15:58:30.227,2022,-0.0125,1.6295
130,15:58:30.228,2022,-0.0125,1.6295
131,15:58:30.228,2020,-0.0134,1.6278
132,15:58:30.229,2023,-0.0120,1.6303
133,15:58:30.229,2024,-0.0115,1.6311
134,15:58:30.230,2020,-0.0134,1.6278
135,15:58:30.230,2018,-0.0144,1.6262
136,15:58:30.231,2028,-0.0095,1.6343
137,15:58:30.231,2024,-0.0115,1.6311
138,15:58:30.232,2025,-0.0110,1.6319
139,15:58:30.232,2021,-0.0129,1.6286
140,15:58:30.233,2021,-0.0129,1.6286
141,15:58:30.233,2023,-0.0120,1.6303
142,15:58:30.234,2024,-0.0115,1.6311
143,15:58:30.234,2022,-0.0125,1.6295
144,15:58:30.235,2020,-0.0134,1.6278
145,15:58:30.235,2024,-0.0115,1.6311
146,15:58:30.236,2025,-0.0110,1.6319
147,15:58:30.236,2020,-0.0134,1.6278
148,15:58:30.237,2023,-0.0120,1.6303
149,15:58:30.237,2019,-0.0139,1.6270
150,15:58:30.238,2022,-0.0125,1.6295
151,15:58:30.238,2019,-0.0139,1.6270
152,15:58:30.239,2027,-0.0100,1.6335
153,15:58:30.239,2023,-0.0120,1.6303
154,15:58:30.240,2019,-0.0139,1.6270
155,15:58:30.240,2022,-0.0125,1.6295
156,15:58:30.241,2021,-0.0129,1.6286
157,15:58:30.241,2023,-0.0120,1.6303
158,15:58:30.242,2024,-0.0115,1.6311
159,15:58:30.242,2021,-0.0129,1.6286
160,15:58:30.243,2021,-0.0129,1.6286
161,15:58:30.243,2020,-0.0134,1.6278
162,15:58:30.244,2022,-0.0125,1.6295
163,15:58:30.244,2018,-0.0144,1.6262
164,15:58:30.245,2021,-0.0129,1.6286
165,15:58:30.245,2022,-0.0125,1.6295
166,15:58:30.246,2021,-0.0129,1.6286
167,15:58:30.246,2023,-0.0120,1.6303
168,15:58:30.247,2021,-0.0129,1.6286
169,15:58:30.247,2027,-0.0100,1.6335
170,15:58:30.248,2023,-0.0120,1.6303
171,15:58:30.248,2021,-0.0129,1.6286
172,15:58:30.249,2023,-0.0120,1.6303
173,15:58:30.249,2023,-0.0120,1.6303
174,15:58:30.250,2023,-0.0120,1.6303
175,15:58:30.250,2021,-0.0129,1.6286
176,15:58:30.251,2023,-0.0120,1.6303
177,15:58:30.251,2021,-0.0129,1.6286
178,15:58:30.252,2023,-0.0120,1.6303
179,15:58:30.252,2026,-0.0105,1.6327
180,15:58:30.253,2025,-0.0110,1.6319
181,15:58:30.253,2026,-0.0105,1.6327
182,15:58:30.254,2025,-0.0110,1.6319
183,15:58:30.254,2023,-0.0120,1.6303
184,15:58:30.255,2021,-0.0129,1.6286
185,15:58:30.255,2019,-0.0139,1.6270
186,15:58:30.256,2024,-0.0115,1.6311
187,15:58:30.256,2024,-0.0115,1.6311
188,15:58:30.257,2021,-0.0129,1.6286
189,15:58:30.257,2020,-0.0134,1.6278
190,15:58:30.258,2023,-0.0120,1.6303
