sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:47:43.991,2024,-0.0115,1.6311
1,15:47:43.992,2020,-0.0134,1.6278
2,15:47:43.992,2022,-0.0125,1.6295
3,15:47:43.993,2022,-0.0125,1.6295
4,15:47:43.993,2025,-0.0110,1.6319
5,15:47:43.994,2023,-0.0120,1.6303
6,15:47:43.994,2019,-0.0139,1.6270
7,15:47:43.995,2024,-0.0115,1.6311
8,15:47:43.995,2025,-0.0110,1.6319
9,15:47:43.996,2022,-0.0125,1.6295
10,15:47:43.996,2021,-0.0129,1.6286
11,15:47:43.997,2025,-0.0110,1.6319
12,15:47:43.997,2025,-0.0110,1.6319
13,15:47:43.998,2022,-0.0125,1.6295
14,15:47:43.998,2021,-0.0129,1.6286
15,15:47:43.999,2022,-0.0125,1.6295
16,15:47:43.999,2023,-0.0120,1.6303
17,15:47:44.000,2023,-0.0120,1.6303
18,15:47:44.000,2023,-0.0120,1.6303
19,15:47:44.001,2022,-0.0125,1.6295
20,15:47:44.001,2022,-0.0125,1.6295
21,15:47:44.002,2024,-0.0115,1.6311
22,15:47:44.002,2023,-0.0120,1.6303
23,15:47:44.003,2025,-0.0110,1.6319
24,15:47:44.003,2023,-0.0120,1.6303
25,15:47:44.004,2020,-0.0134,1.6278
26,15:47:44.004,2024,-0.0115,1.6311
27,15:47:44.005,2025,-0.0110,1.6319
28,15:47:44.005,2024,-0.0115,1.6311
29,15:47:44.006,2022,-0.0125,1.6295
30,15:47:44.006,2022,-0.0125,1.6295
31,15:47:44.007,2023,-0.0120,1.6303
32,15:47:44.007,2022,-0.0125,1.6295
33,15:47:44.008,2022,-0.0125,1.6295
34,15:47:44.008,2022,-0.0125,1.6295
35,15:47:44.009,2022,-0.0125,1.6295
36,15:47:44.009,2021,-0.0129,1.6286
37,15:47:44.010,2024,-0.0115,1.6311
38,15:47:44.010,2024,-0.0115,1.6311
39,15:47:44.011,2020,-0.0134,1.6278
40,15:47:44.011,2025,-0.0110,1.6319
41,15:47:44.012,2020,-0.0134,1.6278
42,15:47:44.012,2024,-0.0115,1.6311
43,15:47:44.013,2022,-0.0125,1.6295
44,15:47:44.013,2024,-0.0115,1.6311
45,15:47:44.014,2021,-0.0129,1.6286
46,15:47:44.014,2019,-0.0139,1.6270
47,15:47:44.015,2024,-0.0115,1.6311
48,15:47:44.015,2025,-0.0110,1.6319
49,15:47:44.016,2023,-0.0120,1.6303
50,15:47:44.016,2021,-0.0129,1.6286
51,15:47:44.017,2025,-0.0110,1.6319
52,15:47:44.017,2023,-0.0120,1.6303
53,15:47:44.018,2023,-0.0120,1.6303
54,15:47:44.018,2024,-0.0115,1.6311
55,15:47:44.019,2022,-0.0125,1.6295
56,15:47:44.019,2024,-0.0115,1.6311
57,15:47:44.020,2023,-0.0120,1.6303
58,15:47:44.020,2025,-0.0110,1.6319
59,15:47:44.021,2021,-0.0129,1.6286
60,15:47:44.021,2025,-0.0110,1.6319
61,15:47:44.022,2022,-0.0125,1.6295
62,15:47:44.022,2026,-0.0105,1.6327
63,15:47:44.023,2024,-0.0115,1.6311
64,15:47:44.023,2026,-0.0105,1.6327
65,15:47:44.024,2027,-0.0100,1.6335
66,15:47:44.024,2024,-0.0115,1.6311
67,15:47:44.025,2027,-0.0100,1.6335
68,15:47:44.025,2022,-0.0125,1.6295
69,15:47:44.026,2023,-0.0120,1.6303
70,15:47:44.026,2023,-0.0120,1.6303
71,15:47:44.027,2022,-0.0125,1.6295
72,15:47:44.027,2024,-0.0115,1.6311
73,15:47:44.028,2027,-0.0100,1.6335
