sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:36:59.084,2020,-0.0134,1.6278
1,15:36:59.084,2021,-0.0129,1.6286
2,15:36:59.085,2023,-0.0120,1.6303
3,15:36:59.085,2019,-0.0139,1.6270
4,15:36:59.086,2020,-0.0134,1.6278
5,15:36:59.086,2020,-0.0134,1.6278
6,15:36:59.087,2021,-0.0129,1.6286
7,15:36:59.087,2024,-0.0115,1.6311
8,15:36:59.088,2022,-0.0125,1.6295
9,15:36:59.088,2022,-0.0125,1.6295
10,15:36:59.089,2026,-0.0105,1.6327
11,15:36:59.089,2021,-0.0129,1.6286
12,15:36:59.090,2023,-0.0120,1.6303
13,15:36:59.090,2022,-0.0125,1.6295
14,15:36:59.091,2023,-0.0120,1.6303
15,15:36:59.091,2024,-0.0115,1.6311
16,15:36:59.092,2023,-0.0120,1.6303
17,15:36:59.092,2023,-0.0120,1.6303
18,15:36:59.093,2021,-0.0129,1.6286
19,15:36:59.093,2026,-0.0105,1.6327
20,15:36:59.094,2022,-0.0125,1.6295
21,15:36:59.094,2025,-0.0110,1.6319
22,15:36:59.095,2022,-0.0125,1.6295
23,15:36:59.095,2024,-0.0115,1.6311
24,15:36:59.096,2021,-0.0129,1.6286
25,15:36:59.096,2017,-0.0149,1.6254
26,15:36:59.097,2030,-0.0085,1.6359
27,15:36:59.097,2024,-0.0115,1.6311
28,15:36:59.098,2022,-0.0125,1.6295
29,15:36:59.098,2024,-0.0115,1.6311
30,15:36:59.099,2024,-0.0115,1.6311
31,15:36:59.099,2025,-0.0110,1.6319
32,15:36:59.100,2022,-0.0125,1.6295
33,15:36:59.100,2028,-0.0095,1.6343
34,15:36:59.101,2024,-0.0115,1.6311
35,15:36:59.101,2023,-0.0120,1.6303
36,15:36:59.102,2025,-0.0110,1.6319
37,15:36:59.102,2023,-0.0120,1.6303
38,15:36:59.103,2021,-0.0129,1.6286
39,15:36:59.103,2025,-0.0110,1.6319
40,15:36:59.104,2022,-0.0125,1.6295
41,15:36:59.104,2022,-0.0125,1.6295
42,15:36:59.105,2025,-0.0110,1.6319
43,15:36:59.105,2024,-0.0115,1.6311
44,15:36:59.106,2023,-0.0120,1.6303
45,15:36:59.106,2022,-0.0125,1.6295
46,15:36:59.107,2024,-0.0115,1.6311
47,15:36:59.107,2025,-0.0110,1.6319
48,15:36:59.108,2022,-0.0125,1.6295
