sample_index,real_time_s,raw_adc,amplitude,voltage
0,15:39:52.567,2028,-0.0095,1.6343
1,15:39:52.568,2025,-0.0110,1.6319
2,15:39:52.568,2030,-0.0085,1.6359
3,15:39:52.569,2029,-0.0090,1.6351
4,15:39:52.569,2027,-0.0100,1.6335
5,15:39:52.570,2026,-0.0105,1.6327
6,15:39:52.570,2028,-0.0095,1.6343
7,15:39:52.571,2023,-0.0120,1.6303
8,15:39:52.571,2025,-0.0110,1.6319
9,15:39:52.572,2026,-0.0105,1.6327
10,15:39:52.572,2027,-0.0100,1.6335
11,15:39:52.573,2026,-0.0105,1.6327
12,15:39:52.573,2024,-0.0115,1.6311
13,15:39:52.574,2025,-0.0110,1.6319
14,15:39:52.574,2022,-0.0125,1.6295
15,15:39:52.575,2020,-0.0134,1.6278
16,15:39:52.575,2023,-0.0120,1.6303
17,15:39:52.576,2021,-0.0129,1.6286
18,15:39:52.576,2022,-0.0125,1.6295
19,15:39:52.577,2021,-0.0129,1.6286
20,15:39:52.577,2024,-0.0115,1.6311
21,15:39:52.578,2016,-0.0154,1.6246
22,15:39:52.578,2017,-0.0149,1.6254
23,15:39:52.579,2016,-0.0154,1.6246
24,15:39:52.579,2015,-0.0159,1.6238
25,15:39:52.580,2012,-0.0173,1.6214
26,15:39:52.580,2017,-0.0149,1.6254
27,15:39:52.581,2018,-0.0144,1.6262
28,15:39:52.581,2021,-0.0129,1.6286
29,15:39:52.582,2016,-0.0154,1.6246
30,15:39:52.582,2013,-0.0168,1.6222
31,15:39:52.583,2024,-0.0115,1.6311
32,15:39:52.583,2026,-0.0105,1.6327
33,15:39:52.584,2024,-0.0115,1.6311
34,15:39:52.584,2025,-0.0110,1.6319
35,15:39:52.585,2023,-0.0120,1.6303
36,15:39:52.585,2022,-0.0125,1.6295
37,15:39:52.586,2022,-0.0125,1.6295
38,15:39:52.586,2023,-0.0120,1.6303
39,15:39:52.587,2027,-0.0100,1.6335
40,15:39:52.587,2024,-0.0115,1.6311
41,15:39:52.588,2026,-0.0105,1.6327
42,15:39:52.588,2028,-0.0095,1.6343
43,15:39:52.589,2024,-0.0115,1.6311
44,15:39:52.589,2026,-0.0105,1.6327
45,15:39:52.590,2023,-0.0120,1.6303
46,15:39:52.590,2029,-0.0090,1.6351
47,15:39:52.591,2029,-0.0090,1.6351
48,15:39:52.591,2023,-0.0120,1.6303
49,15:39:52.592,2029,-0.0090,1.6351
50,15:39:52.592,2026,-0.0105,1.6327
51,15:39:52.593,2025,-0.0110,1.6319
52,15:39:52.593,2027,-0.0100,1.6335
53,15:39:52.594,2022,-0.0125,1.6295
54,15:39:52.594,2022,-0.0125,1.6295
55,15:39:52.595,2024,-0.0115,1.6311
56,15:39:52.595,2023,-0.0120,1.6303
57,15:39:52.596,2023,-0.0120,1.6303
58,15:39:52.596,2020,-0.0134,1.6278
59,15:39:52.597,2020,-0.0134,1.6278
60,15:39:52.597,2023,-0.0120,1.6303
61,15:39:52.598,2024,-0.0115,1.6311
62,15:39:52.598,2022,-0.0125,1.6295
63,15:39:52.599,2023,-0.0120,1.6303
64,15:39:52.599,2022,-0.0125,1.6295
65,15:39:52.600,2019,-0.0139,1.6270
66,15:39:52.600,2020,-0.0134,1.6278
67,15:39:52.601,2022,-0.0125,1.6295
68,15:39:52.601,2023,-0.0120,1.6303
69,15:39:52.602,2021,-0.0129,1.6286
70,15:39:52.602,2021,-0.0129,1.6286
71,15:39:52.603,2019,-0.0139,1.6270
72,15:39:52.603,2018,-0.0144,1.6262
73,15:39:52.604,2020,-0.0134,1.6278
74,15:39:52.604,2023,-0.0120,1.6303
75,15:39:52.605,2023,-0.0120,1.6303
76,15:39:52.605,2018,-0.0144,1.6262
77,15:39:52.606,2022,-0.0125,1.6295
78,15:39:52.606,2021,-0.0129,1.6286
79,15:39:52.607,2021,-0.0129,1.6286
