sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:17:27.743,2025,-0.0110,1.6319
1,16:17:27.743,2022,-0.0125,1.6295
2,16:17:27.744,2019,-0.0139,1.6270
3,16:17:27.744,2024,-0.0115,1.6311
4,16:17:27.745,2021,-0.0129,1.6286
5,16:17:27.745,2021,-0.0129,1.6286
6,16:17:27.746,2021,-0.0129,1.6286
7,16:17:27.746,2020,-0.0134,1.6278
8,16:17:27.747,2022,-0.0125,1.6295
9,16:17:27.747,2018,-0.0144,1.6262
10,16:17:27.748,2023,-0.0120,1.6303
11,16:17:27.748,2019,-0.0139,1.6270
12,16:17:27.749,2021,-0.0129,1.6286
13,16:17:27.749,2022,-0.0125,1.6295
14,16:17:27.750,2023,-0.0120,1.6303
15,16:17:27.750,2024,-0.0115,1.6311
16,16:17:27.751,2020,-0.0134,1.6278
17,16:17:27.751,2021,-0.0129,1.6286
18,16:17:27.752,2022,-0.0125,1.6295
19,16:17:27.752,2024,-0.0115,1.6311
20,16:17:27.753,2021,-0.0129,1.6286
21,16:17:27.753,2024,-0.0115,1.6311
22,16:17:27.754,2022,-0.0125,1.6295
23,16:17:27.754,2020,-0.0134,1.6278
24,16:17:27.755,2024,-0.0115,1.6311
25,16:17:27.755,2023,-0.0120,1.6303
26,16:17:27.756,2020,-0.0134,1.6278
27,16:17:27.756,2023,-0.0120,1.6303
28,16:17:27.757,2021,-0.0129,1.6286
29,16:17:27.757,2025,-0.0110,1.6319
30,16:17:27.758,2023,-0.0120,1.6303
31,16:17:27.758,2021,-0.0129,1.6286
32,16:17:27.759,2024,-0.0115,1.6311
33,16:17:27.759,2019,-0.0139,1.6270
34,16:17:27.760,2021,-0.0129,1.6286
35,16:17:27.760,2022,-0.0125,1.6295
36,16:17:27.761,2018,-0.0144,1.6262
37,16:17:27.761,2022,-0.0125,1.6295
38,16:17:27.762,2020,-0.0134,1.6278
39,16:17:27.762,2022,-0.0125,1.6295
40,16:17:27.763,2018,-0.0144,1.6262
41,16:17:27.763,2020,-0.0134,1.6278
42,16:17:27.764,2017,-0.0149,1.6254
43,16:17:27.764,2019,-0.0139,1.6270
44,16:17:27.765,2022,-0.0125,1.6295
45,16:17:27.765,2019,-0.0139,1.6270
46,16:17:27.766,2018,-0.0144,1.6262
47,16:17:27.766,2020,-0.0134,1.6278
48,16:17:27.767,2017,-0.0149,1.6254
49,16:17:27.767,2020,-0.0134,1.6278
50,16:17:27.768,2017,-0.0149,1.6254
51,16:17:27.768,2027,-0.0100,1.6335
52,16:17:27.769,2020,-0.0134,1.6278
53,16:17:27.769,2024,-0.0115,1.6311
54,16:17:27.770,2021,-0.0129,1.6286
55,16:17:27.770,2024,-0.0115,1.6311
56,16:17:27.771,2026,-0.0105,1.6327
57,16:17:27.771,2023,-0.0120,1.6303
58,16:17:27.772,2022,-0.0125,1.6295
59,16:17:27.772,2024,-0.0115,1.6311
60,16:17:27.773,2021,-0.0129,1.6286
