sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:11:34.394,2026,-0.0105,1.6327
1,16:11:34.394,2028,-0.0095,1.6343
2,16:11:34.395,2025,-0.0110,1.6319
3,16:11:34.395,2021,-0.0129,1.6286
4,16:11:34.396,2019,-0.0139,1.6270
5,16:11:34.396,2021,-0.0129,1.6286
6,16:11:34.397,2020,-0.0134,1.6278
7,16:11:34.397,2020,-0.0134,1.6278
8,16:11:34.398,2025,-0.0110,1.6319
9,16:11:34.398,2021,-0.0129,1.6286
10,16:11:34.399,2023,-0.0120,1.6303
11,16:11:34.399,2024,-0.0115,1.6311
12,16:11:34.400,2022,-0.0125,1.6295
13,16:11:34.400,2023,-0.0120,1.6303
14,16:11:34.401,2024,-0.0115,1.6311
15,16:11:34.401,2020,-0.0134,1.6278
16,16:11:34.402,2027,-0.0100,1.6335
17,16:11:34.402,2019,-0.0139,1.6270
18,16:11:34.403,2020,-0.0134,1.6278
19,16:11:34.403,2024,-0.0115,1.6311
20,16:11:34.404,2023,-0.0120,1.6303
21,16:11:34.404,2023,-0.0120,1.6303
22,16:11:34.405,2017,-0.0149,1.6254
23,16:11:34.405,2021,-0.0129,1.6286
24,16:11:34.406,2021,-0.0129,1.6286
25,16:11:34.406,2023,-0.0120,1.6303
26,16:11:34.407,2021,-0.0129,1.6286
27,16:11:34.407,2024,-0.0115,1.6311
28,16:11:34.408,2021,-0.0129,1.6286
29,16:11:34.408,2020,-0.0134,1.6278
30,16:11:34.409,2020,-0.0134,1.6278
31,16:11:34.409,2022,-0.0125,1.6295
32,16:11:34.410,2021,-0.0129,1.6286
33,16:11:34.410,2023,-0.0120,1.6303
34,16:11:34.411,2023,-0.0120,1.6303
35,16:11:34.411,2020,-0.0134,1.6278
36,16:11:34.412,2024,-0.0115,1.6311
37,16:11:34.412,2023,-0.0120,1.6303
38,16:11:34.413,2023,-0.0120,1.6303
39,16:11:34.413,2019,-0.0139,1.6270
40,16:11:34.414,2023,-0.0120,1.6303
41,16:11:34.414,2024,-0.0115,1.6311
42,16:11:34.415,2018,-0.0144,1.6262
43,16:11:34.415,2025,-0.0110,1.6319
44,16:11:34.416,2028,-0.0095,1.6343
45,16:11:34.416,2024,-0.0115,1.6311
46,16:11:34.417,2024,-0.0115,1.6311
47,16:11:34.417,2023,-0.0120,1.6303
48,16:11:34.418,2027,-0.0100,1.6335
49,16:11:34.418,2023,-0.0120,1.6303
50,16:11:34.419,2022,-0.0125,1.6295
51,16:11:34.419,2018,-0.0144,1.6262
52,16:11:34.420,2023,-0.0120,1.6303
53,16:11:34.420,2019,-0.0139,1.6270
54,16:11:34.421,2018,-0.0144,1.6262
55,16:11:34.421,2021,-0.0129,1.6286
56,16:11:34.422,2022,-0.0125,1.6295
57,16:11:34.422,2023,-0.0120,1.6303
58,16:11:34.423,2021,-0.0129,1.6286
59,16:11:34.423,2021,-0.0129,1.6286
60,16:11:34.424,2021,-0.0129,1.6286
61,16:11:34.424,2024,-0.0115,1.6311
62,16:11:34.425,2023,-0.0120,1.6303
63,16:11:34.425,2024,-0.0115,1.6311
64,16:11:34.426,2022,-0.0125,1.6295
65,16:11:34.426,2022,-0.0125,1.6295
66,16:11:34.427,2022,-0.0125,1.6295
67,16:11:34.427,2022,-0.0125,1.6295
68,16:11:34.428,2022,-0.0125,1.6295
69,16:11:34.428,2021,-0.0129,1.6286
70,16:11:34.429,2020,-0.0134,1.6278
71,16:11:34.429,2023,-0.0120,1.6303
72,16:11:34.430,2023,-0.0120,1.6303
73,16:11:34.430,2023,-0.0120,1.6303
74,16:11:34.431,2020,-0.0134,1.6278
75,16:11:34.431,2022,-0.0125,1.6295
76,16:11:34.432,2022,-0.0125,1.6295
77,16:11:34.432,2024,-0.0115,1.6311
78,16:11:34.433,2021,-0.0129,1.6286
79,16:11:34.433,2021,-0.0129,1.6286
80,16:11:34.434,2023,-0.0120,1.6303
81,16:11:34.434,2024,-0.0115,1.6311
82,16:11:34.435,2024,-0.0115,1.6311
83,16:11:34.435,2020,-0.0134,1.6278
84,16:11:34.436,2017,-0.0149,1.6254
85,16:11:34.436,2016,-0.0154,1.6246
86,16:11:34.437,2023,-0.0120,1.6303
87,16:11:34.437,2020,-0.0134,1.6278
88,16:11:34.438,2021,-0.0129,1.6286
89,16:11:34.438,2022,-0.0125,1.6295
90,16:11:34.439,2020,-0.0134,1.6278
91,16:11:34.439,2021,-0.0129,1.6286
92,16:11:34.440,2023,-0.0120,1.6303
93,16:11:34.440,2021,-0.0129,1.6286
94,16:11:34.441,2026,-0.0105,1.6327
95,16:11:34.441,2023,-0.0120,1.6303
96,16:11:34.442,2021,-0.0129,1.6286
97,16:11:34.442,2022,-0.0125,1.6295
98,16:11:34.443,2023,-0.0120,1.6303
99,16:11:34.443,2021,-0.0129,1.6286
100,16:11:34.444,2023,-0.0120,1.6303
101,16:11:34.444,2023,-0.0120,1.6303
102,16:11:34.445,2021,-0.0129,1.6286
103,16:11:34.445,2018,-0.0144,1.6262
104,16:11:34.446,2021,-0.0129,1.6286
105,16:11:34.446,2023,-0.0120,1.6303
106,16:11:34.447,2020,-0.0134,1.6278
107,16:11:34.447,2017,-0.0149,1.6254
108,16:11:34.448,2025,-0.0110,1.6319
109,16:11:34.448,2021,-0.0129,1.6286
110,16:11:34.449,2021,-0.0129,1.6286
111,16:11:34.449,2022,-0.0125,1.6295
112,16:11:34.450,2023,-0.0120,1.6303
113,16:11:34.450,2020,-0.0134,1.6278
114,16:11:34.451,2025,-0.0110,1.6319
115,16:11:34.451,2023,-0.0120,1.6303
116,16:11:34.452,2021,-0.0129,1.6286
117,16:11:34.452,2023,-0.0120,1.6303
118,16:11:34.453,2021,-0.0129,1.6286
119,16:11:34.453,2023,-0.0120,1.6303
120,16:11:34.454,2024,-0.0115,1.6311
121,16:11:34.454,2022,-0.0125,1.6295
122,16:11:34.455,2024,-0.0115,1.6311
123,16:11:34.455,2025,-0.0110,1.6319
124,16:11:34.456,2022,-0.0125,1.6295
125,16:11:34.456,2022,-0.0125,1.6295
126,16:11:34.457,2024,-0.0115,1.6311
127,16:11:34.457,2023,-0.0120,1.6303
128,16:11:34.458,2022,-0.0125,1.6295
129,16:11:34.458,2022,-0.0125,1.6295
130,16:11:34.459,2020,-0.0134,1.6278
131,16:11:34.459,2023,-0.0120,1.6303
132,16:11:34.460,2018,-0.0144,1.6262
133,16:11:34.460,2021,-0.0129,1.6286
134,16:11:34.461,2022,-0.0125,1.6295
135,16:11:34.461,2023,-0.0120,1.6303
136,16:11:34.462,2022,-0.0125,1.6295
137,16:11:34.462,2024,-0.0115,1.6311
138,16:11:34.463,2023,-0.0120,1.6303
139,16:11:34.463,2021,-0.0129,1.6286
140,16:11:34.464,2021,-0.0129,1.6286
141,16:11:34.464,2025,-0.0110,1.6319
142,16:11:34.465,2024,-0.0115,1.6311
143,16:11:34.465,2020,-0.0134,1.6278
144,16:11:34.466,2021,-0.0129,1.6286
145,16:11:34.466,2023,-0.0120,1.6303
146,16:11:34.467,2022,-0.0125,1.6295
147,16:11:34.467,2022,-0.0125,1.6295
148,16:11:34.468,2022,-0.0125,1.6295
149,16:11:34.468,2022,-0.0125,1.6295
150,16:11:34.469,2025,-0.0110,1.6319
151,16:11:34.469,2021,-0.0129,1.6286
152,16:11:34.470,2020,-0.0134,1.6278
153,16:11:34.470,2023,-0.0120,1.6303
154,16:11:34.471,2021,-0.0129,1.6286
155,16:11:34.471,2023,-0.0120,1.6303
156,16:11:34.472,2021,-0.0129,1.6286
157,16:11:34.472,2021,-0.0129,1.6286
158,16:11:34.473,2023,-0.0120,1.6303
159,16:11:34.473,2022,-0.0125,1.6295
160,16:11:34.474,2022,-0.0125,1.6295
161,16:11:34.474,2020,-0.0134,1.6278
162,16:11:34.475,2024,-0.0115,1.6311
163,16:11:34.475,2015,-0.0159,1.6238
164,16:11:34.476,2020,-0.0134,1.6278
165,16:11:34.476,2023,-0.0120,1.6303
166,16:11:34.477,2023,-0.0120,1.6303
167,16:11:34.477,2023,-0.0120,1.6303
168,16:11:34.478,2021,-0.0129,1.6286
169,16:11:34.478,2022,-0.0125,1.6295
170,16:11:34.479,2021,-0.0129,1.6286
171,16:11:34.479,2024,-0.0115,1.6311
172,16:11:34.480,2023,-0.0120,1.6303
173,16:11:34.480,2028,-0.0095,1.6343
174,16:11:34.481,2024,-0.0115,1.6311
175,16:11:34.481,2024,-0.0115,1.6311
176,16:11:34.482,2023,-0.0120,1.6303
177,16:11:34.482,2020,-0.0134,1.6278
178,16:11:34.483,2020,-0.0134,1.6278
179,16:11:34.483,2021,-0.0129,1.6286
180,16:11:34.484,2027,-0.0100,1.6335
181,16:11:34.484,2024,-0.0115,1.6311
182,16:11:34.485,2028,-0.0095,1.6343
183,16:11:34.485,2024,-0.0115,1.6311
184,16:11:34.486,2023,-0.0120,1.6303
185,16:11:34.486,2023,-0.0120,1.6303
186,16:11:34.487,2022,-0.0125,1.6295
187,16:11:34.487,2021,-0.0129,1.6286
188,16:11:34.488,2017,-0.0149,1.6254
189,16:11:34.488,2023,-0.0120,1.6303
190,16:11:34.489,2016,-0.0154,1.6246
191,16:11:34.489,2019,-0.0139,1.6270
192,16:11:34.490,2020,-0.0134,1.6278
193,16:11:34.490,2025,-0.0110,1.6319
194,16:11:34.491,2014,-0.0164,1.6230
195,16:11:34.491,2023,-0.0120,1.6303
196,16:11:34.492,2023,-0.0120,1.6303
197,16:11:34.492,2025,-0.0110,1.6319
198,16:11:34.493,2023,-0.0120,1.6303
199,16:11:34.493,2017,-0.0149,1.6254
200,16:11:34.494,2020,-0.0134,1.6278
201,16:11:34.494,2022,-0.0125,1.6295
202,16:11:34.495,2021,-0.0129,1.6286
203,16:11:34.495,2023,-0.0120,1.6303
204,16:11:34.496,2019,-0.0139,1.6270
205,16:11:34.496,2023,-0.0120,1.6303
206,16:11:34.497,2023,-0.0120,1.6303
207,16:11:34.497,2023,-0.0120,1.6303
