sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:04:40.535,2023,-0.0120,1.6303
1,16:04:40.535,2019,-0.0139,1.6270
2,16:04:40.536,2023,-0.0120,1.6303
3,16:04:40.536,2022,-0.0125,1.6295
4,16:04:40.537,2023,-0.0120,1.6303
5,16:04:40.537,2020,-0.0134,1.6278
6,16:04:40.538,2020,-0.0134,1.6278
7,16:04:40.538,2024,-0.0115,1.6311
8,16:04:40.539,2021,-0.0129,1.6286
9,16:04:40.539,2025,-0.0110,1.6319
10,16:04:40.540,2021,-0.0129,1.6286
11,16:04:40.540,2021,-0.0129,1.6286
12,16:04:40.541,2026,-0.0105,1.6327
13,16:04:40.541,2026,-0.0105,1.6327
14,16:04:40.542,2026,-0.0105,1.6327
15,16:04:40.542,2023,-0.0120,1.6303
16,16:04:40.543,2022,-0.0125,1.6295
17,16:04:40.543,2021,-0.0129,1.6286
18,16:04:40.544,2022,-0.0125,1.6295
19,16:04:40.544,2026,-0.0105,1.6327
20,16:04:40.545,2022,-0.0125,1.6295
21,16:04:40.545,2022,-0.0125,1.6295
22,16:04:40.546,2020,-0.0134,1.6278
23,16:04:40.546,2025,-0.0110,1.6319
24,16:04:40.547,2022,-0.0125,1.6295
25,16:04:40.547,2028,-0.0095,1.6343
26,16:04:40.548,2025,-0.0110,1.6319
27,16:04:40.548,2023,-0.0120,1.6303
28,16:04:40.549,2022,-0.0125,1.6295
29,16:04:40.549,2022,-0.0125,1.6295
30,16:04:40.550,2022,-0.0125,1.6295
31,16:04:40.550,2024,-0.0115,1.6311
32,16:04:40.551,2027,-0.0100,1.6335
33,16:04:40.551,2024,-0.0115,1.6311
34,16:04:40.552,2022,-0.0125,1.6295
35,16:04:40.552,2023,-0.0120,1.6303
36,16:04:40.553,2022,-0.0125,1.6295
37,16:04:40.553,2024,-0.0115,1.6311
38,16:04:40.554,2023,-0.0120,1.6303
39,16:04:40.554,2023,-0.0120,1.6303
40,16:04:40.555,2020,-0.0134,1.6278
41,16:04:40.555,2023,-0.0120,1.6303
42,16:04:40.556,2022,-0.0125,1.6295
43,16:04:40.556,2024,-0.0115,1.6311
44,16:04:40.557,2027,-0.0100,1.6335
45,16:04:40.557,2024,-0.0115,1.6311
46,16:04:40.558,2026,-0.0105,1.6327
47,16:04:40.558,2023,-0.0120,1.6303
48,16:04:40.559,2021,-0.0129,1.6286
49,16:04:40.559,2023,-0.0120,1.6303
50,16:04:40.560,2023,-0.0120,1.6303
51,16:04:40.560,2020,-0.0134,1.6278
52,16:04:40.561,2020,-0.0134,1.6278
53,16:04:40.561,2020,-0.0134,1.6278
54,16:04:40.562,2022,-0.0125,1.6295
55,16:04:40.562,2020,-0.0134,1.6278
56,16:04:40.563,2023,-0.0120,1.6303
57,16:04:40.563,2024,-0.0115,1.6311
58,16:04:40.564,2023,-0.0120,1.6303
59,16:04:40.564,2024,-0.0115,1.6311
60,16:04:40.565,2025,-0.0110,1.6319
61,16:04:40.565,2019,-0.0139,1.6270
62,16:04:40.566,2021,-0.0129,1.6286
63,16:04:40.566,2025,-0.0110,1.6319
64,16:04:40.567,2022,-0.0125,1.6295
65,16:04:40.567,2023,-0.0120,1.6303
66,16:04:40.568,2025,-0.0110,1.6319
67,16:04:40.568,2023,-0.0120,1.6303
68,16:04:40.569,2022,-0.0125,1.6295
69,16:04:40.569,2022,-0.0125,1.6295
70,16:04:40.570,2021,-0.0129,1.6286
71,16:04:40.570,2029,-0.0090,1.6351
72,16:04:40.571,2024,-0.0115,1.6311
73,16:04:40.571,2024,-0.0115,1.6311
74,16:04:40.572,2026,-0.0105,1.6327
75,16:04:40.572,2021,-0.0129,1.6286
76,16:04:40.573,2024,-0.0115,1.6311
77,16:04:40.573,2023,-0.0120,1.6303
78,16:04:40.574,2024,-0.0115,1.6311
79,16:04:40.574,2020,-0.0134,1.6278
80,16:04:40.575,2017,-0.0149,1.6254
81,16:04:40.575,2020,-0.0134,1.6278
82,16:04:40.576,2021,-0.0129,1.6286
83,16:04:40.576,2024,-0.0115,1.6311
84,16:04:40.577,2019,-0.0139,1.6270
85,16:04:40.577,2022,-0.0125,1.6295
86,16:04:40.578,2023,-0.0120,1.6303
87,16:04:40.578,2023,-0.0120,1.6303
88,16:04:40.579,2024,-0.0115,1.6311
89,16:04:40.579,2028,-0.0095,1.6343
90,16:04:40.580,2022,-0.0125,1.6295
91,16:04:40.580,2023,-0.0120,1.6303
92,16:04:40.581,2020,-0.0134,1.6278
93,16:04:40.581,2021,-0.0129,1.6286
94,16:04:40.582,2023,-0.0120,1.6303
95,16:04:40.582,2020,-0.0134,1.6278
96,16:04:40.583,2020,-0.0134,1.6278
97,16:04:40.583,2019,-0.0139,1.6270
98,16:04:40.584,2020,-0.0134,1.6278
99,16:04:40.584,2018,-0.0144,1.6262
100,16:04:40.585,2022,-0.0125,1.6295
101,16:04:40.585,2020,-0.0134,1.6278
102,16:04:40.586,2021,-0.0129,1.6286
103,16:04:40.586,2024,-0.0115,1.6311
104,16:04:40.587,2023,-0.0120,1.6303
105,16:04:40.587,2023,-0.0120,1.6303
106,16:04:40.588,2023,-0.0120,1.6303
107,16:04:40.588,2023,-0.0120,1.6303
108,16:04:40.589,2027,-0.0100,1.6335
109,16:04:40.589,2023,-0.0120,1.6303
110,16:04:40.590,2022,-0.0125,1.6295
111,16:04:40.590,2019,-0.0139,1.6270
112,16:04:40.591,2023,-0.0120,1.6303
113,16:04:40.591,2019,-0.0139,1.6270
114,16:04:40.592,2021,-0.0129,1.6286
115,16:04:40.592,2019,-0.0139,1.6270
116,16:04:40.593,2022,-0.0125,1.6295
117,16:04:40.593,2022,-0.0125,1.6295
118,16:04:40.594,2020,-0.0134,1.6278
119,16:04:40.594,2022,-0.0125,1.6295
120,16:04:40.595,2021,-0.0129,1.6286
121,16:04:40.595,2023,-0.0120,1.6303
122,16:04:40.596,2027,-0.0100,1.6335
123,16:04:40.596,2024,-0.0115,1.6311
124,16:04:40.597,2026,-0.0105,1.6327
125,16:04:40.597,2022,-0.0125,1.6295
126,16:04:40.598,2028,-0.0095,1.6343
127,16:04:40.598,2023,-0.0120,1.6303
128,16:04:40.599,2024,-0.0115,1.6311
129,16:04:40.599,2022,-0.0125,1.6295
130,16:04:40.600,2024,-0.0115,1.6311
131,16:04:40.600,2021,-0.0129,1.6286
132,16:04:40.601,2023,-0.0120,1.6303
133,16:04:40.601,2022,-0.0125,1.6295
134,16:04:40.602,2023,-0.0120,1.6303
135,16:04:40.602,2024,-0.0115,1.6311
136,16:04:40.603,2023,-0.0120,1.6303
137,16:04:40.603,2021,-0.0129,1.6286
138,16:04:40.604,2025,-0.0110,1.6319
139,16:04:40.604,2023,-0.0120,1.6303
140,16:04:40.605,2019,-0.0139,1.6270
141,16:04:40.605,2018,-0.0144,1.6262
142,16:04:40.606,2023,-0.0120,1.6303
143,16:04:40.606,2024,-0.0115,1.6311
144,16:04:40.607,2022,-0.0125,1.6295
145,16:04:40.607,2022,-0.0125,1.6295
146,16:04:40.608,2025,-0.0110,1.6319
147,16:04:40.608,2021,-0.0129,1.6286
148,16:04:40.609,2022,-0.0125,1.6295
149,16:04:40.609,2027,-0.0100,1.6335
150,16:04:40.610,2020,-0.0134,1.6278
151,16:04:40.610,2023,-0.0120,1.6303
152,16:04:40.611,2022,-0.0125,1.6295
153,16:04:40.611,2018,-0.0144,1.6262
154,16:04:40.612,2023,-0.0120,1.6303
155,16:04:40.612,2023,-0.0120,1.6303
156,16:04:40.613,2024,-0.0115,1.6311
157,16:04:40.613,2020,-0.0134,1.6278
158,16:04:40.614,2020,-0.0134,1.6278
159,16:04:40.614,2023,-0.0120,1.6303
160,16:04:40.615,2022,-0.0125,1.6295
161,16:04:40.615,2021,-0.0129,1.6286
162,16:04:40.616,2024,-0.0115,1.6311
163,16:04:40.616,2026,-0.0105,1.6327
164,16:04:40.617,2023,-0.0120,1.6303
165,16:04:40.617,2024,-0.0115,1.6311
166,16:04:40.618,2020,-0.0134,1.6278
167,16:04:40.618,2022,-0.0125,1.6295
168,16:04:40.619,2025,-0.0110,1.6319
169,16:04:40.619,2024,-0.0115,1.6311
170,16:04:40.620,2021,-0.0129,1.6286
171,16:04:40.620,2021,-0.0129,1.6286
172,16:04:40.621,2021,-0.0129,1.6286
173,16:04:40.621,2019,-0.0139,1.6270
174,16:04:40.622,2021,-0.0129,1.6286
175,16:04:40.622,2020,-0.0134,1.6278
176,16:04:40.623,2022,-0.0125,1.6295
177,16:04:40.623,2024,-0.0115,1.6311
178,16:04:40.624,2020,-0.0134,1.6278
179,16:04:40.624,2025,-0.0110,1.6319
180,16:04:40.625,2025,-0.0110,1.6319
181,16:04:40.625,2023,-0.0120,1.6303
182,16:04:40.626,2026,-0.0105,1.6327
183,16:04:40.626,2021,-0.0129,1.6286
184,16:04:40.627,2024,-0.0115,1.6311
185,16:04:40.627,2024,-0.0115,1.6311
186,16:04:40.628,2021,-0.0129,1.6286
187,16:04:40.628,2022,-0.0125,1.6295
188,16:04:40.629,2021,-0.0129,1.6286
189,16:04:40.629,2025,-0.0110,1.6319
190,16:04:40.630,2026,-0.0105,1.6327
191,16:04:40.630,2025,-0.0110,1.6319
192,16:04:40.631,2018,-0.0144,1.6262
193,16:04:40.631,2029,-0.0090,1.6351
194,16:04:40.632,2025,-0.0110,1.6319
195,16:04:40.632,2022,-0.0125,1.6295
196,16:04:40.633,2024,-0.0115,1.6311
