Model Architecture,Accuracy,F1 (Macro),F1 (Weighted),Precision (Macro),Recall (Macro),ROC-AUC,PR-AUC,raw_acc,raw_f1,raw_auc
Hybrid (YAMNet + Spectral) + SVM (RBF),95.47% +- 1.54%,94.86% +- 1.72%,95.54% +- 1.49%,93.78% +- 1.96%,96.34% +- 1.30%,0.9934 +- 0.0028,0.9973 +- 0.0011,0.9546998301867944,0.9485990597872993,0.9934089808195024
Hybrid (YAMNet + Spectral) + Gradient Boosting,95.19% +- 0.83%,94.40% +- 1.00%,95.20% +- 0.84%,94.17% +- 1.03%,94.76% +- 1.51%,0.9916 +- 0.0026,0.9965 +- 0.0011,0.9518929177904305,0.9439561631209546,0.9915879878247587
Hybrid (YAMNet + Spectral) + Random Forest,95.04% +- 1.96%,94.32% +- 2.23%,95.10% +- 1.93%,93.55% +- 2.42%,95.27% +- 2.00%,0.9851 +- 0.0063,0.9941 +- 0.0023,0.9504445110378583,0.9432031199810794,0.9851439271246957
YAMNet + PCA + Extra Trees,92.21% +- 2.43%,90.83% +- 2.86%,92.20% +- 2.42%,91.04% +- 3.03%,90.67% +- 2.74%,0.9708 +- 0.0083,0.9879 +- 0.0033,0.9221256617720508,0.9083489172496645,0.9708398923746391
YAMNet + PCA + Random Forest,90.80% +- 2.82%,89.04% +- 3.40%,90.73% +- 2.84%,89.75% +- 3.58%,88.49% +- 3.34%,0.9667 +- 0.0101,0.9865 +- 0.0039,0.9079712316451903,0.8904203264275312,0.9667180492213886
YAMNet + PCA + Gradient Boosting,90.52% +- 2.05%,88.62% +- 2.48%,90.40% +- 2.07%,89.68% +- 2.66%,87.80% +- 2.43%,0.9674 +- 0.0071,0.9868 +- 0.0025,0.9051743082609128,0.8862301270788793,0.9673822341647803
YAMNet + PCA + SVM (RBF),89.82% +- 1.15%,87.61% +- 1.54%,89.61% +- 1.23%,89.38% +- 1.34%,86.41% +- 2.01%,0.9644 +- 0.0114,0.9833 +- 0.0096,0.8981620217760463,0.8760660661649877,0.9644215692859388
YAMNet + PCA + k-NN (k=5),89.25% +- 0.95%,86.82% +- 1.16%,88.98% +- 0.97%,89.05% +- 1.51%,85.37% +- 1.49%,0.9291 +- 0.0137,0.9483 +- 0.0123,0.8924982519228848,0.8681847093167109,0.9290981516514105
YAMNet + PCA + Logistic Regression,83.46% +- 2.23%,77.80% +- 3.95%,82.09% +- 2.91%,84.96% +- 1.94%,75.47% +- 4.04%,0.9101 +- 0.0231,0.9465 +- 0.0227,0.8345519928079114,0.7780356567590122,0.9101134634451414
YAMNet + Distance Anomaly Detector (Calibrated),54.87% +- 3.78%,54.66% +- 3.81%,55.50% +- 3.91%,61.45% +- 4.20%,62.12% +- 4.39%,0.7016 +- 0.0383,0.8300 +- 0.0322,0.5486764558985117,0.5466382226925661,0.7015835886892844
