sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:36:59.376,2023,-0.0120,1.6303
1,16:36:59.376,2019,-0.0139,1.6270
2,16:36:59.377,2023,-0.0120,1.6303
3,16:36:59.377,2020,-0.0134,1.6278
4,16:36:59.378,2025,-0.0110,1.6319
5,16:36:59.378,2022,-0.0125,1.6295
6,16:36:59.379,2020,-0.0134,1.6278
7,16:36:59.379,2020,-0.0134,1.6278
8,16:36:59.380,2022,-0.0125,1.6295
9,16:36:59.380,2020,-0.0134,1.6278
10,16:36:59.381,2022,-0.0125,1.6295
11,16:36:59.381,2021,-0.0129,1.6286
12,16:36:59.382,2021,-0.0129,1.6286
13,16:36:59.382,2021,-0.0129,1.6286
14,16:36:59.383,2023,-0.0120,1.6303
15,16:36:59.383,2022,-0.0125,1.6295
16,16:36:59.384,2021,-0.0129,1.6286
17,16:36:59.384,2020,-0.0134,1.6278
18,16:36:59.385,2024,-0.0115,1.6311
19,16:36:59.385,2024,-0.0115,1.6311
20,16:36:59.386,2024,-0.0115,1.6311
21,16:36:59.386,2021,-0.0129,1.6286
22,16:36:59.387,2022,-0.0125,1.6295
23,16:36:59.387,2026,-0.0105,1.6327
24,16:36:59.388,2023,-0.0120,1.6303
25,16:36:59.388,2022,-0.0125,1.6295
26,16:36:59.389,2018,-0.0144,1.6262
27,16:36:59.389,2025,-0.0110,1.6319
28,16:36:59.390,2013,-0.0168,1.6222
29,16:36:59.390,2022,-0.0125,1.6295
30,16:36:59.391,2023,-0.0120,1.6303
31,16:36:59.391,2022,-0.0125,1.6295
32,16:36:59.392,2022,-0.0125,1.6295
33,16:36:59.392,2021,-0.0129,1.6286
34,16:36:59.393,2019,-0.0139,1.6270
35,16:36:59.393,2016,-0.0154,1.6246
36,16:36:59.394,2016,-0.0154,1.6246
37,16:36:59.394,2016,-0.0154,1.6246
38,16:36:59.395,2020,-0.0134,1.6278
39,16:36:59.395,2019,-0.0139,1.6270
40,16:36:59.396,2013,-0.0168,1.6222
41,16:36:59.396,2019,-0.0139,1.6270
42,16:36:59.397,2017,-0.0149,1.6254
43,16:36:59.397,2021,-0.0129,1.6286
44,16:36:59.398,2019,-0.0139,1.6270
45,16:36:59.398,2022,-0.0125,1.6295
46,16:36:59.399,2021,-0.0129,1.6286
47,16:36:59.399,2021,-0.0129,1.6286
