sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:51:50.328,2022,-0.0125,1.6295
1,16:51:50.328,2021,-0.0129,1.6286
2,16:51:50.329,2021,-0.0129,1.6286
3,16:51:50.329,2022,-0.0125,1.6295
4,16:51:50.330,2019,-0.0139,1.6270
5,16:51:50.330,2024,-0.0115,1.6311
6,16:51:50.331,2026,-0.0105,1.6327
7,16:51:50.331,2019,-0.0139,1.6270
8,16:51:50.332,2020,-0.0134,1.6278
9,16:51:50.332,2020,-0.0134,1.6278
10,16:51:50.333,2020,-0.0134,1.6278
11,16:51:50.333,2021,-0.0129,1.6286
12,16:51:50.334,2021,-0.0129,1.6286
13,16:51:50.334,2018,-0.0144,1.6262
14,16:51:50.335,2022,-0.0125,1.6295
15,16:51:50.335,2023,-0.0120,1.6303
16,16:51:50.336,2022,-0.0125,1.6295
17,16:51:50.336,2024,-0.0115,1.6311
18,16:51:50.337,2023,-0.0120,1.6303
19,16:51:50.337,2022,-0.0125,1.6295
20,16:51:50.338,2022,-0.0125,1.6295
21,16:51:50.338,2021,-0.0129,1.6286
22,16:51:50.339,2023,-0.0120,1.6303
23,16:51:50.339,2023,-0.0120,1.6303
24,16:51:50.340,2023,-0.0120,1.6303
25,16:51:50.340,2023,-0.0120,1.6303
26,16:51:50.341,2023,-0.0120,1.6303
27,16:51:50.341,2021,-0.0129,1.6286
28,16:51:50.342,2023,-0.0120,1.6303
29,16:51:50.342,2021,-0.0129,1.6286
30,16:51:50.343,2021,-0.0129,1.6286
31,16:51:50.343,2019,-0.0139,1.6270
32,16:51:50.344,2020,-0.0134,1.6278
33,16:51:50.344,2020,-0.0134,1.6278
34,16:51:50.345,2022,-0.0125,1.6295
35,16:51:50.345,2021,-0.0129,1.6286
36,16:51:50.346,2021,-0.0129,1.6286
37,16:51:50.346,2018,-0.0144,1.6262
38,16:51:50.347,2019,-0.0139,1.6270
39,16:51:50.347,2022,-0.0125,1.6295
40,16:51:50.348,2014,-0.0164,1.6230
41,16:51:50.348,2018,-0.0144,1.6262
42,16:51:50.349,2019,-0.0139,1.6270
43,16:51:50.349,2019,-0.0139,1.6270
44,16:51:50.350,2024,-0.0115,1.6311
45,16:51:50.350,2021,-0.0129,1.6286
46,16:51:50.351,2017,-0.0149,1.6254
47,16:51:50.351,2020,-0.0134,1.6278
48,16:51:50.352,2018,-0.0144,1.6262
49,16:51:50.352,2018,-0.0144,1.6262
50,16:51:50.353,2020,-0.0134,1.6278
51,16:51:50.353,2016,-0.0154,1.6246
52,16:51:50.354,2022,-0.0125,1.6295
53,16:51:50.354,2022,-0.0125,1.6295
54,16:51:50.355,2019,-0.0139,1.6270
55,16:51:50.355,2021,-0.0129,1.6286
56,16:51:50.356,2028,-0.0095,1.6343
57,16:51:50.356,2026,-0.0105,1.6327
58,16:51:50.357,2024,-0.0115,1.6311
59,16:51:50.357,2022,-0.0125,1.6295
60,16:51:50.358,2022,-0.0125,1.6295
61,16:51:50.358,2022,-0.0125,1.6295
62,16:51:50.359,2021,-0.0129,1.6286
63,16:51:50.359,2023,-0.0120,1.6303
64,16:51:50.360,2022,-0.0125,1.6295
65,16:51:50.360,2023,-0.0120,1.6303
66,16:51:50.361,2027,-0.0100,1.6335
