sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:47:35.924,2023,-0.0120,1.6303
1,16:47:35.925,2023,-0.0120,1.6303
2,16:47:35.925,2021,-0.0129,1.6286
3,16:47:35.926,2022,-0.0125,1.6295
4,16:47:35.926,2023,-0.0120,1.6303
5,16:47:35.927,2026,-0.0105,1.6327
6,16:47:35.927,2022,-0.0125,1.6295
7,16:47:35.928,2023,-0.0120,1.6303
8,16:47:35.928,2022,-0.0125,1.6295
9,16:47:35.929,2027,-0.0100,1.6335
10,16:47:35.929,2024,-0.0115,1.6311
11,16:47:35.930,2018,-0.0144,1.6262
12,16:47:35.930,2020,-0.0134,1.6278
13,16:47:35.931,2020,-0.0134,1.6278
14,16:47:35.931,2024,-0.0115,1.6311
15,16:47:35.932,2022,-0.0125,1.6295
16,16:47:35.932,2019,-0.0139,1.6270
17,16:47:35.933,2019,-0.0139,1.6270
18,16:47:35.933,2021,-0.0129,1.6286
19,16:47:35.934,2024,-0.0115,1.6311
20,16:47:35.934,2024,-0.0115,1.6311
21,16:47:35.935,2024,-0.0115,1.6311
22,16:47:35.935,2022,-0.0125,1.6295
23,16:47:35.936,2020,-0.0134,1.6278
24,16:47:35.936,2022,-0.0125,1.6295
25,16:47:35.937,2021,-0.0129,1.6286
26,16:47:35.937,2021,-0.0129,1.6286
27,16:47:35.938,2021,-0.0129,1.6286
28,16:47:35.938,2020,-0.0134,1.6278
29,16:47:35.939,2023,-0.0120,1.6303
30,16:47:35.939,2023,-0.0120,1.6303
31,16:47:35.940,2026,-0.0105,1.6327
32,16:47:35.940,2021,-0.0129,1.6286
33,16:47:35.941,2024,-0.0115,1.6311
34,16:47:35.941,2023,-0.0120,1.6303
35,16:47:35.942,2018,-0.0144,1.6262
36,16:47:35.942,2023,-0.0120,1.6303
37,16:47:35.943,2021,-0.0129,1.6286
38,16:47:35.943,2024,-0.0115,1.6311
39,16:47:35.944,2023,-0.0120,1.6303
40,16:47:35.944,2021,-0.0129,1.6286
41,16:47:35.945,2023,-0.0120,1.6303
42,16:47:35.945,2023,-0.0120,1.6303
43,16:47:35.946,2023,-0.0120,1.6303
44,16:47:35.946,2028,-0.0095,1.6343
45,16:47:35.947,2022,-0.0125,1.6295
46,16:47:35.947,2023,-0.0120,1.6303
47,16:47:35.948,2020,-0.0134,1.6278
48,16:47:35.948,2025,-0.0110,1.6319
49,16:47:35.949,2023,-0.0120,1.6303
50,16:47:35.949,2018,-0.0144,1.6262
51,16:47:35.950,2024,-0.0115,1.6311
52,16:47:35.950,2021,-0.0129,1.6286
53,16:47:35.951,2022,-0.0125,1.6295
54,16:47:35.951,2025,-0.0110,1.6319
55,16:47:35.952,2022,-0.0125,1.6295
56,16:47:35.952,2026,-0.0105,1.6327
57,16:47:35.953,2023,-0.0120,1.6303
58,16:47:35.953,2021,-0.0129,1.6286
59,16:47:35.954,2020,-0.0134,1.6278
60,16:47:35.954,2021,-0.0129,1.6286
61,16:47:35.955,2021,-0.0129,1.6286
62,16:47:35.955,2024,-0.0115,1.6311
63,16:47:35.956,2023,-0.0120,1.6303
64,16:47:35.956,2024,-0.0115,1.6311
65,16:47:35.957,2023,-0.0120,1.6303
66,16:47:35.957,2026,-0.0105,1.6327
67,16:47:35.958,2022,-0.0125,1.6295
68,16:47:35.958,2024,-0.0115,1.6311
69,16:47:35.959,2024,-0.0115,1.6311
70,16:47:35.959,2020,-0.0134,1.6278
71,16:47:35.960,2021,-0.0129,1.6286
72,16:47:35.960,2024,-0.0115,1.6311
73,16:47:35.961,2021,-0.0129,1.6286
74,16:47:35.961,2020,-0.0134,1.6278
75,16:47:35.962,2021,-0.0129,1.6286
76,16:47:35.962,2022,-0.0125,1.6295
77,16:47:35.963,2024,-0.0115,1.6311
78,16:47:35.963,2027,-0.0100,1.6335
79,16:47:35.964,2023,-0.0120,1.6303
80,16:47:35.964,2023,-0.0120,1.6303
81,16:47:35.965,2024,-0.0115,1.6311
82,16:47:35.965,2023,-0.0120,1.6303
83,16:47:35.966,2023,-0.0120,1.6303
84,16:47:35.966,2020,-0.0134,1.6278
85,16:47:35.967,2021,-0.0129,1.6286
86,16:47:35.967,2025,-0.0110,1.6319
87,16:47:35.968,2021,-0.0129,1.6286
88,16:47:35.968,2022,-0.0125,1.6295
