sample_index,real_time_s,raw_adc,amplitude,voltage
0,16:43:10.079,2022,-0.0125,1.6295
1,16:43:10.080,2022,-0.0125,1.6295
2,16:43:10.080,2026,-0.0105,1.6327
3,16:43:10.081,2023,-0.0120,1.6303
4,16:43:10.081,2024,-0.0115,1.6311
5,16:43:10.082,2021,-0.0129,1.6286
6,16:43:10.082,2024,-0.0115,1.6311
7,16:43:10.083,2021,-0.0129,1.6286
8,16:43:10.083,2022,-0.0125,1.6295
9,16:43:10.084,2023,-0.0120,1.6303
10,16:43:10.084,2022,-0.0125,1.6295
11,16:43:10.085,2024,-0.0115,1.6311
12,16:43:10.085,2023,-0.0120,1.6303
13,16:43:10.086,2024,-0.0115,1.6311
14,16:43:10.086,2023,-0.0120,1.6303
15,16:43:10.087,2021,-0.0129,1.6286
16,16:43:10.087,2022,-0.0125,1.6295
17,16:43:10.088,2025,-0.0110,1.6319
18,16:43:10.088,2021,-0.0129,1.6286
19,16:43:10.089,2021,-0.0129,1.6286
20,16:43:10.089,2022,-0.0125,1.6295
21,16:43:10.090,2020,-0.0134,1.6278
22,16:43:10.090,2022,-0.0125,1.6295
23,16:43:10.091,2019,-0.0139,1.6270
24,16:43:10.091,2022,-0.0125,1.6295
25,16:43:10.092,2019,-0.0139,1.6270
26,16:43:10.092,2022,-0.0125,1.6295
27,16:43:10.093,2020,-0.0134,1.6278
28,16:43:10.093,2015,-0.0159,1.6238
29,16:43:10.094,2024,-0.0115,1.6311
30,16:43:10.094,2019,-0.0139,1.6270
31,16:43:10.095,2022,-0.0125,1.6295
32,16:43:10.095,2019,-0.0139,1.6270
33,16:43:10.096,2023,-0.0120,1.6303
34,16:43:10.096,2024,-0.0115,1.6311
35,16:43:10.097,2023,-0.0120,1.6303
36,16:43:10.097,2022,-0.0125,1.6295
37,16:43:10.098,2021,-0.0129,1.6286
38,16:43:10.098,2019,-0.0139,1.6270
39,16:43:10.099,2023,-0.0120,1.6303
40,16:43:10.099,2023,-0.0120,1.6303
41,16:43:10.100,2023,-0.0120,1.6303
42,16:43:10.100,2025,-0.0110,1.6319
43,16:43:10.101,2025,-0.0110,1.6319
44,16:43:10.101,2022,-0.0125,1.6295
45,16:43:10.102,2022,-0.0125,1.6295
46,16:43:10.102,2021,-0.0129,1.6286
47,16:43:10.103,2028,-0.0095,1.6343
48,16:43:10.103,2023,-0.0120,1.6303
49,16:43:10.104,2024,-0.0115,1.6311
50,16:43:10.104,2025,-0.0110,1.6319
51,16:43:10.105,2022,-0.0125,1.6295
52,16:43:10.105,2023,-0.0120,1.6303
53,16:43:10.106,2022,-0.0125,1.6295
54,16:43:10.106,2024,-0.0115,1.6311
55,16:43:10.107,2022,-0.0125,1.6295
56,16:43:10.107,2018,-0.0144,1.6262
57,16:43:10.108,2023,-0.0120,1.6303
58,16:43:10.108,2025,-0.0110,1.6319
59,16:43:10.109,2022,-0.0125,1.6295
60,16:43:10.109,2024,-0.0115,1.6311
61,16:43:10.110,2021,-0.0129,1.6286
62,16:43:10.110,2021,-0.0129,1.6286
63,16:43:10.111,2023,-0.0120,1.6303
64,16:43:10.111,2021,-0.0129,1.6286
65,16:43:10.112,2019,-0.0139,1.6270
66,16:43:10.112,2020,-0.0134,1.6278
67,16:43:10.113,2021,-0.0129,1.6286
68,16:43:10.113,2021,-0.0129,1.6286
69,16:43:10.114,2022,-0.0125,1.6295
70,16:43:10.114,2023,-0.0120,1.6303
71,16:43:10.115,2021,-0.0129,1.6286
72,16:43:10.115,2021,-0.0129,1.6286
73,16:43:10.116,2023,-0.0120,1.6303
74,16:43:10.116,2022,-0.0125,1.6295
