sample_index,real_time_s,raw_adc,amplitude,voltage
0,19:12:21.146,2023,-0.0120,1.6303
1,19:12:21.146,2026,-0.0105,1.6327
2,19:12:21.147,2026,-0.0105,1.6327
3,19:12:21.147,2027,-0.0100,1.6335
4,19:12:21.148,2021,-0.0129,1.6286
5,19:12:21.148,2028,-0.0095,1.6343
6,19:12:21.149,2026,-0.0105,1.6327
7,19:12:21.149,2027,-0.0100,1.6335
8,19:12:21.150,2023,-0.0120,1.6303
9,19:12:21.150,2025,-0.0110,1.6319
10,19:12:21.151,2025,-0.0110,1.6319
11,19:12:21.151,2026,-0.0105,1.6327
12,19:12:21.152,2025,-0.0110,1.6319
13,19:12:21.152,2027,-0.0100,1.6335
14,19:12:21.153,2028,-0.0095,1.6343
15,19:12:21.153,2023,-0.0120,1.6303
16,19:12:21.154,2023,-0.0120,1.6303
17,19:12:21.154,2027,-0.0100,1.6335
18,19:12:21.155,2024,-0.0115,1.6311
19,19:12:21.155,2025,-0.0110,1.6319
20,19:12:21.156,2023,-0.0120,1.6303
21,19:12:21.156,2025,-0.0110,1.6319
22,19:12:21.157,2025,-0.0110,1.6319
23,19:12:21.157,2026,-0.0105,1.6327
24,19:12:21.158,2025,-0.0110,1.6319
25,19:12:21.158,2023,-0.0120,1.6303
26,19:12:21.159,2025,-0.0110,1.6319
27,19:12:21.159,2025,-0.0110,1.6319
28,19:12:21.160,2022,-0.0125,1.6295
29,19:12:21.160,2024,-0.0115,1.6311
30,19:12:21.161,2024,-0.0115,1.6311
31,19:12:21.161,2026,-0.0105,1.6327
32,19:12:21.162,2025,-0.0110,1.6319
33,19:12:21.162,2025,-0.0110,1.6319
34,19:12:21.163,2024,-0.0115,1.6311
35,19:12:21.163,2024,-0.0115,1.6311
36,19:12:21.164,2023,-0.0120,1.6303
37,19:12:21.164,2023,-0.0120,1.6303
38,19:12:21.165,2028,-0.0095,1.6343
39,19:12:21.165,2026,-0.0105,1.6327
40,19:12:21.166,2026,-0.0105,1.6327
41,19:12:21.166,2024,-0.0115,1.6311
42,19:12:21.167,2023,-0.0120,1.6303
43,19:12:21.167,2026,-0.0105,1.6327
44,19:12:21.168,2022,-0.0125,1.6295
45,19:12:21.168,2024,-0.0115,1.6311
46,19:12:21.169,2023,-0.0120,1.6303
47,19:12:21.169,2024,-0.0115,1.6311
48,19:12:21.170,2027,-0.0100,1.6335
49,19:12:21.170,2025,-0.0110,1.6319
50,19:12:21.171,2025,-0.0110,1.6319
51,19:12:21.171,2025,-0.0110,1.6319
52,19:12:21.172,2025,-0.0110,1.6319
53,19:12:21.172,2025,-0.0110,1.6319
54,19:12:21.173,2020,-0.0134,1.6278
55,19:12:21.173,2029,-0.0090,1.6351
56,19:12:21.174,2023,-0.0120,1.6303
57,19:12:21.174,2023,-0.0120,1.6303
58,19:12:21.175,2023,-0.0120,1.6303
59,19:12:21.175,2026,-0.0105,1.6327
60,19:12:21.176,2025,-0.0110,1.6319
61,19:12:21.176,2023,-0.0120,1.6303
62,19:12:21.177,2023,-0.0120,1.6303
63,19:12:21.177,2022,-0.0125,1.6295
64,19:12:21.178,2023,-0.0120,1.6303
65,19:12:21.178,2023,-0.0120,1.6303
66,19:12:21.179,2026,-0.0105,1.6327
67,19:12:21.179,2029,-0.0090,1.6351
68,19:12:21.180,2023,-0.0120,1.6303
69,19:12:21.180,2025,-0.0110,1.6319
70,19:12:21.181,2024,-0.0115,1.6311
71,19:12:21.181,2025,-0.0110,1.6319
72,19:12:21.182,2019,-0.0139,1.6270
73,19:12:21.182,2025,-0.0110,1.6319
74,19:12:21.183,2025,-0.0110,1.6319
75,19:12:21.183,2028,-0.0095,1.6343
76,19:12:21.184,2027,-0.0100,1.6335
77,19:12:21.184,2026,-0.0105,1.6327
78,19:12:21.185,2026,-0.0105,1.6327
79,19:12:21.185,2022,-0.0125,1.6295
80,19:12:21.186,2026,-0.0105,1.6327
81,19:12:21.186,2022,-0.0125,1.6295
82,19:12:21.187,2025,-0.0110,1.6319
83,19:12:21.187,2021,-0.0129,1.6286
84,19:12:21.188,2024,-0.0115,1.6311
85,19:12:21.188,2026,-0.0105,1.6327
86,19:12:21.189,2026,-0.0105,1.6327
87,19:12:21.189,2024,-0.0115,1.6311
88,19:12:21.190,2026,-0.0105,1.6327
89,19:12:21.190,2026,-0.0105,1.6327
90,19:12:21.191,2024,-0.0115,1.6311
91,19:12:21.191,2025,-0.0110,1.6319
92,19:12:21.192,2026,-0.0105,1.6327
93,19:12:21.192,2026,-0.0105,1.6327
94,19:12:21.193,2026,-0.0105,1.6327
95,19:12:21.193,2024,-0.0115,1.6311
96,19:12:21.194,2025,-0.0110,1.6319
97,19:12:21.194,2022,-0.0125,1.6295
98,19:12:21.195,2026,-0.0105,1.6327
99,19:12:21.195,2023,-0.0120,1.6303
100,19:12:21.196,2030,-0.0085,1.6359
101,19:12:21.196,2023,-0.0120,1.6303
102,19:12:21.197,2030,-0.0085,1.6359
103,19:12:21.197,2026,-0.0105,1.6327
104,19:12:21.198,2026,-0.0105,1.6327
105,19:12:21.198,2023,-0.0120,1.6303
106,19:12:21.199,2022,-0.0125,1.6295
107,19:12:21.199,2028,-0.0095,1.6343
108,19:12:21.200,2025,-0.0110,1.6319
109,19:12:21.200,2026,-0.0105,1.6327
110,19:12:21.201,2024,-0.0115,1.6311
111,19:12:21.201,2023,-0.0120,1.6303
112,19:12:21.202,2023,-0.0120,1.6303
113,19:12:21.202,2023,-0.0120,1.6303
114,19:12:21.203,2026,-0.0105,1.6327
115,19:12:21.203,2023,-0.0120,1.6303
116,19:12:21.204,2023,-0.0120,1.6303
117,19:12:21.204,2027,-0.0100,1.6335
118,19:12:21.205,2024,-0.0115,1.6311
119,19:12:21.205,2025,-0.0110,1.6319
120,19:12:21.206,2020,-0.0134,1.6278
121,19:12:21.206,2021,-0.0129,1.6286
122,19:12:21.207,2023,-0.0120,1.6303
123,19:12:21.207,2022,-0.0125,1.6295
124,19:12:21.208,2022,-0.0125,1.6295
125,19:12:21.208,2024,-0.0115,1.6311
126,19:12:21.209,2023,-0.0120,1.6303
127,19:12:21.209,2020,-0.0134,1.6278
128,19:12:21.210,2022,-0.0125,1.6295
129,19:12:21.210,2019,-0.0139,1.6270
130,19:12:21.211,2028,-0.0095,1.6343
131,19:12:21.211,2024,-0.0115,1.6311
132,19:12:21.212,2022,-0.0125,1.6295
133,19:12:21.212,2020,-0.0134,1.6278
134,19:12:21.213,2023,-0.0120,1.6303
135,19:12:21.213,2027,-0.0100,1.6335
136,19:12:21.214,2024,-0.0115,1.6311
137,19:12:21.214,2025,-0.0110,1.6319
138,19:12:21.215,2024,-0.0115,1.6311
139,19:12:21.215,2024,-0.0115,1.6311
140,19:12:21.216,2025,-0.0110,1.6319
141,19:12:21.216,2026,-0.0105,1.6327
142,19:12:21.217,2022,-0.0125,1.6295
143,19:12:21.217,2023,-0.0120,1.6303
144,19:12:21.218,2022,-0.0125,1.6295
145,19:12:21.218,2020,-0.0134,1.6278
146,19:12:21.219,2025,-0.0110,1.6319
147,19:12:21.219,2026,-0.0105,1.6327
148,19:12:21.220,2023,-0.0120,1.6303
149,19:12:21.220,2019,-0.0139,1.6270
150,19:12:21.221,2025,-0.0110,1.6319
151,19:12:21.221,2021,-0.0129,1.6286
152,19:12:21.222,2022,-0.0125,1.6295
153,19:12:21.222,2018,-0.0144,1.6262
154,19:12:21.223,2022,-0.0125,1.6295
155,19:12:21.223,2025,-0.0110,1.6319
156,19:12:21.224,2026,-0.0105,1.6327
157,19:12:21.224,2018,-0.0144,1.6262
158,19:12:21.225,2029,-0.0090,1.6351
159,19:12:21.225,2020,-0.0134,1.6278
160,19:12:21.226,2022,-0.0125,1.6295
161,19:12:21.226,2023,-0.0120,1.6303
162,19:12:21.227,2022,-0.0125,1.6295
163,19:12:21.227,2020,-0.0134,1.6278
164,19:12:21.228,2024,-0.0115,1.6311
165,19:12:21.228,2026,-0.0105,1.6327
166,19:12:21.229,2025,-0.0110,1.6319
167,19:12:21.229,2025,-0.0110,1.6319
168,19:12:21.230,2024,-0.0115,1.6311
169,19:12:21.230,2024,-0.0115,1.6311
170,19:12:21.231,2025,-0.0110,1.6319
171,19:12:21.231,2024,-0.0115,1.6311
172,19:12:21.232,2022,-0.0125,1.6295
173,19:12:21.232,2025,-0.0110,1.6319
174,19:12:21.233,2023,-0.0120,1.6303
175,19:12:21.233,2024,-0.0115,1.6311
176,19:12:21.234,2024,-0.0115,1.6311
177,19:12:21.234,2023,-0.0120,1.6303
178,19:12:21.235,2023,-0.0120,1.6303
179,19:12:21.235,2022,-0.0125,1.6295
180,19:12:21.236,2024,-0.0115,1.6311
181,19:12:21.236,2023,-0.0120,1.6303
182,19:12:21.237,2024,-0.0115,1.6311
183,19:12:21.237,2025,-0.0110,1.6319
184,19:12:21.238,2025,-0.0110,1.6319
185,19:12:21.238,2022,-0.0125,1.6295
186,19:12:21.239,2024,-0.0115,1.6311
187,19:12:21.239,2023,-0.0120,1.6303
188,19:12:21.240,2022,-0.0125,1.6295
189,19:12:21.240,2022,-0.0125,1.6295
190,19:12:21.241,2021,-0.0129,1.6286
191,19:12:21.241,2023,-0.0120,1.6303
192,19:12:21.242,2025,-0.0110,1.6319
193,19:12:21.242,2023,-0.0120,1.6303
194,19:12:21.243,2020,-0.0134,1.6278
195,19:12:21.243,2023,-0.0120,1.6303
196,19:12:21.244,2019,-0.0139,1.6270
197,19:12:21.244,2023,-0.0120,1.6303
198,19:12:21.245,2020,-0.0134,1.6278
199,19:12:21.245,2023,-0.0120,1.6303
200,19:12:21.246,2022,-0.0125,1.6295
201,19:12:21.246,2025,-0.0110,1.6319
202,19:12:21.247,2023,-0.0120,1.6303
203,19:12:21.247,2022,-0.0125,1.6295
204,19:12:21.248,2023,-0.0120,1.6303
205,19:12:21.248,2018,-0.0144,1.6262
206,19:12:21.249,2021,-0.0129,1.6286
207,19:12:21.249,2025,-0.0110,1.6319
208,19:12:21.250,2022,-0.0125,1.6295
209,19:12:21.250,2022,-0.0125,1.6295
210,19:12:21.251,2026,-0.0105,1.6327
211,19:12:21.251,2024,-0.0115,1.6311
212,19:12:21.252,2023,-0.0120,1.6303
213,19:12:21.252,2025,-0.0110,1.6319
214,19:12:21.253,2021,-0.0129,1.6286
215,19:12:21.253,2020,-0.0134,1.6278
216,19:12:21.254,2025,-0.0110,1.6319
217,19:12:21.254,2023,-0.0120,1.6303
218,19:12:21.255,2022,-0.0125,1.6295
219,19:12:21.255,2025,-0.0110,1.6319
220,19:12:21.256,2021,-0.0129,1.6286
221,19:12:21.256,2027,-0.0100,1.6335
222,19:12:21.257,2021,-0.0129,1.6286
223,19:12:21.257,2022,-0.0125,1.6295
224,19:12:21.258,2022,-0.0125,1.6295
225,19:12:21.258,2021,-0.0129,1.6286
226,19:12:21.259,2019,-0.0139,1.6270
227,19:12:21.259,2020,-0.0134,1.6278
228,19:12:21.260,2023,-0.0120,1.6303
229,19:12:21.260,2023,-0.0120,1.6303
230,19:12:21.261,2019,-0.0139,1.6270
231,19:12:21.261,2021,-0.0129,1.6286
232,19:12:21.262,2023,-0.0120,1.6303
233,19:12:21.262,2023,-0.0120,1.6303
234,19:12:21.263,2021,-0.0129,1.6286
235,19:12:21.263,2021,-0.0129,1.6286
236,19:12:21.264,2021,-0.0129,1.6286
237,19:12:21.264,2024,-0.0115,1.6311
238,19:12:21.265,2021,-0.0129,1.6286
239,19:12:21.265,2022,-0.0125,1.6295
240,19:12:21.266,2018,-0.0144,1.6262
241,19:12:21.266,2023,-0.0120,1.6303
242,19:12:21.267,2025,-0.0110,1.6319
243,19:12:21.267,2023,-0.0120,1.6303
244,19:12:21.268,2024,-0.0115,1.6311
245,19:12:21.268,2024,-0.0115,1.6311
246,19:12:21.269,2021,-0.0129,1.6286
247,19:12:21.269,2022,-0.0125,1.6295
248,19:12:21.270,2022,-0.0125,1.6295
249,19:12:21.270,2024,-0.0115,1.6311
250,19:12:21.271,2021,-0.0129,1.6286
251,19:12:21.271,2022,-0.0125,1.6295
252,19:12:21.272,2024,-0.0115,1.6311
253,19:12:21.272,2023,-0.0120,1.6303
254,19:12:21.273,2024,-0.0115,1.6311
255,19:12:21.273,2022,-0.0125,1.6295
256,19:12:21.274,2023,-0.0120,1.6303
257,19:12:21.274,2022,-0.0125,1.6295
258,19:12:21.275,2021,-0.0129,1.6286
259,19:12:21.275,2021,-0.0129,1.6286
260,19:12:21.276,2023,-0.0120,1.6303
261,19:12:21.276,2027,-0.0100,1.6335
262,19:12:21.277,2023,-0.0120,1.6303
263,19:12:21.277,2024,-0.0115,1.6311
264,19:12:21.278,2026,-0.0105,1.6327
265,19:12:21.278,2022,-0.0125,1.6295
266,19:12:21.279,2021,-0.0129,1.6286
267,19:12:21.279,2023,-0.0120,1.6303
268,19:12:21.280,2022,-0.0125,1.6295
269,19:12:21.280,2023,-0.0120,1.6303
270,19:12:21.281,2024,-0.0115,1.6311
271,19:12:21.281,2023,-0.0120,1.6303
272,19:12:21.282,2028,-0.0095,1.6343
273,19:12:21.282,2020,-0.0134,1.6278
274,19:12:21.283,2021,-0.0129,1.6286
275,19:12:21.283,2023,-0.0120,1.6303
276,19:12:21.284,2025,-0.0110,1.6319
277,19:12:21.284,2021,-0.0129,1.6286
278,19:12:21.285,2024,-0.0115,1.6311
279,19:12:21.285,2021,-0.0129,1.6286
280,19:12:21.286,2025,-0.0110,1.6319
281,19:12:21.286,2022,-0.0125,1.6295
282,19:12:21.287,2025,-0.0110,1.6319
283,19:12:21.287,2022,-0.0125,1.6295
284,19:12:21.288,2022,-0.0125,1.6295
285,19:12:21.288,2024,-0.0115,1.6311
286,19:12:21.289,2023,-0.0120,1.6303
287,19:12:21.289,2021,-0.0129,1.6286
288,19:12:21.290,2023,-0.0120,1.6303
289,19:12:21.290,2023,-0.0120,1.6303
290,19:12:21.291,2025,-0.0110,1.6319
291,19:12:21.291,2029,-0.0090,1.6351
292,19:12:21.292,2022,-0.0125,1.6295
293,19:12:21.292,2022,-0.0125,1.6295
294,19:12:21.293,2022,-0.0125,1.6295
295,19:12:21.293,2022,-0.0125,1.6295
296,19:12:21.294,2027,-0.0100,1.6335
297,19:12:21.294,2023,-0.0120,1.6303
298,19:12:21.295,2029,-0.0090,1.6351
299,19:12:21.295,2026,-0.0105,1.6327
300,19:12:21.296,2026,-0.0105,1.6327
301,19:12:21.296,2023,-0.0120,1.6303
302,19:12:21.297,2024,-0.0115,1.6311
303,19:12:21.297,2023,-0.0120,1.6303
304,19:12:21.298,2025,-0.0110,1.6319
305,19:12:21.298,2023,-0.0120,1.6303
306,19:12:21.299,2026,-0.0105,1.6327
307,19:12:21.299,2023,-0.0120,1.6303
308,19:12:21.300,2022,-0.0125,1.6295
309,19:12:21.300,2026,-0.0105,1.6327
310,19:12:21.301,2026,-0.0105,1.6327
311,19:12:21.301,2026,-0.0105,1.6327
312,19:12:21.302,2020,-0.0134,1.6278
313,19:12:21.302,2022,-0.0125,1.6295
314,19:12:21.303,2026,-0.0105,1.6327
315,19:12:21.303,2023,-0.0120,1.6303
316,19:12:21.304,2027,-0.0100,1.6335
317,19:12:21.304,2023,-0.0120,1.6303
318,19:12:21.305,2022,-0.0125,1.6295
319,19:12:21.305,2027,-0.0100,1.6335
320,19:12:21.306,2024,-0.0115,1.6311
321,19:12:21.306,2022,-0.0125,1.6295
322,19:12:21.307,2027,-0.0100,1.6335
323,19:12:21.307,2027,-0.0100,1.6335
324,19:12:21.308,2026,-0.0105,1.6327
325,19:12:21.308,2024,-0.0115,1.6311
326,19:12:21.309,2025,-0.0110,1.6319
327,19:12:21.309,2027,-0.0100,1.6335
328,19:12:21.310,2023,-0.0120,1.6303
329,19:12:21.310,2025,-0.0110,1.6319
330,19:12:21.311,2023,-0.0120,1.6303
331,19:12:21.311,2025,-0.0110,1.6319
332,19:12:21.312,2023,-0.0120,1.6303
333,19:12:21.312,2025,-0.0110,1.6319
334,19:12:21.313,2024,-0.0115,1.6311
335,19:12:21.313,2027,-0.0100,1.6335
336,19:12:21.314,2023,-0.0120,1.6303
337,19:12:21.314,2024,-0.0115,1.6311
338,19:12:21.315,2022,-0.0125,1.6295
339,19:12:21.315,2023,-0.0120,1.6303
340,19:12:21.316,2025,-0.0110,1.6319
341,19:12:21.316,2027,-0.0100,1.6335
342,19:12:21.317,2025,-0.0110,1.6319
343,19:12:21.317,2026,-0.0105,1.6327
344,19:12:21.318,2028,-0.0095,1.6343
345,19:12:21.318,2021,-0.0129,1.6286
346,19:12:21.319,2028,-0.0095,1.6343
347,19:12:21.319,2025,-0.0110,1.6319
348,19:12:21.320,2023,-0.0120,1.6303
349,19:12:21.320,2023,-0.0120,1.6303
350,19:12:21.321,2025,-0.0110,1.6319
351,19:12:21.321,2022,-0.0125,1.6295
352,19:12:21.322,2023,-0.0120,1.6303
353,19:12:21.322,2024,-0.0115,1.6311
354,19:12:21.323,2025,-0.0110,1.6319
355,19:12:21.323,2023,-0.0120,1.6303
356,19:12:21.324,2025,-0.0110,1.6319
357,19:12:21.324,2022,-0.0125,1.6295
358,19:12:21.325,2023,-0.0120,1.6303
359,19:12:21.325,2023,-0.0120,1.6303
360,19:12:21.326,2022,-0.0125,1.6295
361,19:12:21.326,2023,-0.0120,1.6303
362,19:12:21.327,2022,-0.0125,1.6295
363,19:12:21.327,2023,-0.0120,1.6303
364,19:12:21.328,2023,-0.0120,1.6303
365,19:12:21.328,2022,-0.0125,1.6295
366,19:12:21.329,2027,-0.0100,1.6335
367,19:12:21.329,2026,-0.0105,1.6327
368,19:12:21.330,2026,-0.0105,1.6327
369,19:12:21.330,2025,-0.0110,1.6319
370,19:12:21.331,2025,-0.0110,1.6319
371,19:12:21.331,2022,-0.0125,1.6295
372,19:12:21.332,2024,-0.0115,1.6311
373,19:12:21.332,2022,-0.0125,1.6295
374,19:12:21.333,2026,-0.0105,1.6327
375,19:12:21.333,2023,-0.0120,1.6303
376,19:12:21.334,2020,-0.0134,1.6278
377,19:12:21.334,2024,-0.0115,1.6311
378,19:12:21.335,2021,-0.0129,1.6286
379,19:12:21.335,2024,-0.0115,1.6311
380,19:12:21.336,2027,-0.0100,1.6335
381,19:12:21.336,2025,-0.0110,1.6319
382,19:12:21.337,2021,-0.0129,1.6286
383,19:12:21.337,2023,-0.0120,1.6303
384,19:12:21.338,2020,-0.0134,1.6278
385,19:12:21.338,2023,-0.0120,1.6303
386,19:12:21.339,2023,-0.0120,1.6303
387,19:12:21.339,2026,-0.0105,1.6327
388,19:12:21.340,2024,-0.0115,1.6311
389,19:12:21.340,2025,-0.0110,1.6319
390,19:12:21.341,2026,-0.0105,1.6327
391,19:12:21.341,2024,-0.0115,1.6311
392,19:12:21.342,2026,-0.0105,1.6327
393,19:12:21.342,2025,-0.0110,1.6319
394,19:12:21.343,2025,-0.0110,1.6319
395,19:12:21.343,2027,-0.0100,1.6335
396,19:12:21.344,2025,-0.0110,1.6319
397,19:12:21.344,2023,-0.0120,1.6303
398,19:12:21.345,2021,-0.0129,1.6286
399,19:12:21.345,2024,-0.0115,1.6311
400,19:12:21.346,2025,-0.0110,1.6319
401,19:12:21.346,2024,-0.0115,1.6311
402,19:12:21.347,2024,-0.0115,1.6311
403,19:12:21.347,2028,-0.0095,1.6343
404,19:12:21.348,2023,-0.0120,1.6303
405,19:12:21.348,2025,-0.0110,1.6319
406,19:12:21.349,2027,-0.0100,1.6335
407,19:12:21.349,2024,-0.0115,1.6311
408,19:12:21.350,2027,-0.0100,1.6335
409,19:12:21.350,2022,-0.0125,1.6295
410,19:12:21.351,2021,-0.0129,1.6286
411,19:12:21.351,2028,-0.0095,1.6343
412,19:12:21.352,2024,-0.0115,1.6311
413,19:12:21.352,2025,-0.0110,1.6319
414,19:12:21.353,2021,-0.0129,1.6286
415,19:12:21.353,2026,-0.0105,1.6327
416,19:12:21.354,2023,-0.0120,1.6303
417,19:12:21.354,2026,-0.0105,1.6327
418,19:12:21.355,2026,-0.0105,1.6327
419,19:12:21.355,2023,-0.0120,1.6303
420,19:12:21.356,2020,-0.0134,1.6278
