sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:19:00.489,2021,-0.0129,1.6286
1,18:19:00.490,2023,-0.0120,1.6303
2,18:19:00.490,2019,-0.0139,1.6270
3,18:19:00.491,2023,-0.0120,1.6303
4,18:19:00.491,2025,-0.0110,1.6319
5,18:19:00.492,2023,-0.0120,1.6303
6,18:19:00.492,2024,-0.0115,1.6311
7,18:19:00.493,2023,-0.0120,1.6303
8,18:19:00.493,2024,-0.0115,1.6311
9,18:19:00.494,2020,-0.0134,1.6278
10,18:19:00.494,2019,-0.0139,1.6270
11,18:19:00.495,2023,-0.0120,1.6303
12,18:19:00.495,2026,-0.0105,1.6327
13,18:19:00.496,2024,-0.0115,1.6311
14,18:19:00.496,2024,-0.0115,1.6311
15,18:19:00.497,2022,-0.0125,1.6295
16,18:19:00.497,2026,-0.0105,1.6327
17,18:19:00.498,2021,-0.0129,1.6286
18,18:19:00.498,2024,-0.0115,1.6311
19,18:19:00.499,2021,-0.0129,1.6286
20,18:19:00.499,2023,-0.0120,1.6303
21,18:19:00.500,2021,-0.0129,1.6286
22,18:19:00.500,2022,-0.0125,1.6295
23,18:19:00.501,2022,-0.0125,1.6295
24,18:19:00.501,2021,-0.0129,1.6286
25,18:19:00.502,2025,-0.0110,1.6319
26,18:19:00.502,2026,-0.0105,1.6327
27,18:19:00.503,2024,-0.0115,1.6311
28,18:19:00.503,2025,-0.0110,1.6319
29,18:19:00.504,2021,-0.0129,1.6286
30,18:19:00.504,2023,-0.0120,1.6303
31,18:19:00.505,2023,-0.0120,1.6303
32,18:19:00.505,2025,-0.0110,1.6319
33,18:19:00.506,2024,-0.0115,1.6311
34,18:19:00.506,2024,-0.0115,1.6311
35,18:19:00.507,2024,-0.0115,1.6311
36,18:19:00.507,2023,-0.0120,1.6303
37,18:19:00.508,2021,-0.0129,1.6286
38,18:19:00.508,2023,-0.0120,1.6303
39,18:19:00.509,2029,-0.0090,1.6351
40,18:19:00.509,2024,-0.0115,1.6311
41,18:19:00.510,2020,-0.0134,1.6278
42,18:19:00.510,2024,-0.0115,1.6311
43,18:19:00.511,2023,-0.0120,1.6303
44,18:19:00.511,2027,-0.0100,1.6335
45,18:19:00.512,2024,-0.0115,1.6311
46,18:19:00.512,2027,-0.0100,1.6335
47,18:19:00.513,2023,-0.0120,1.6303
48,18:19:00.513,2024,-0.0115,1.6311
49,18:19:00.514,2019,-0.0139,1.6270
50,18:19:00.514,2028,-0.0095,1.6343
51,18:19:00.515,2024,-0.0115,1.6311
52,18:19:00.515,2023,-0.0120,1.6303
53,18:19:00.516,2021,-0.0129,1.6286
54,18:19:00.516,2024,-0.0115,1.6311
55,18:19:00.517,2026,-0.0105,1.6327
56,18:19:00.517,2029,-0.0090,1.6351
57,18:19:00.518,2025,-0.0110,1.6319
58,18:19:00.518,2023,-0.0120,1.6303
59,18:19:00.519,2024,-0.0115,1.6311
60,18:19:00.519,2022,-0.0125,1.6295
61,18:19:00.520,2026,-0.0105,1.6327
62,18:19:00.520,2020,-0.0134,1.6278
63,18:19:00.521,2023,-0.0120,1.6303
64,18:19:00.521,2023,-0.0120,1.6303
65,18:19:00.522,2024,-0.0115,1.6311
66,18:19:00.522,2024,-0.0115,1.6311
67,18:19:00.523,2020,-0.0134,1.6278
68,18:19:00.523,2026,-0.0105,1.6327
69,18:19:00.524,2026,-0.0105,1.6327
70,18:19:00.524,2025,-0.0110,1.6319
71,18:19:00.525,2021,-0.0129,1.6286
72,18:19:00.525,2022,-0.0125,1.6295
73,18:19:00.526,2023,-0.0120,1.6303
74,18:19:00.526,2024,-0.0115,1.6311
75,18:19:00.527,2025,-0.0110,1.6319
76,18:19:00.527,2025,-0.0110,1.6319
77,18:19:00.528,2026,-0.0105,1.6327
78,18:19:00.528,2022,-0.0125,1.6295
79,18:19:00.529,2028,-0.0095,1.6343
80,18:19:00.529,2021,-0.0129,1.6286
81,18:19:00.530,2026,-0.0105,1.6327
82,18:19:00.530,2024,-0.0115,1.6311
83,18:19:00.531,2023,-0.0120,1.6303
84,18:19:00.531,2021,-0.0129,1.6286
85,18:19:00.532,2022,-0.0125,1.6295
86,18:19:00.532,2023,-0.0120,1.6303
87,18:19:00.533,2021,-0.0129,1.6286
88,18:19:00.533,2024,-0.0115,1.6311
89,18:19:00.534,2024,-0.0115,1.6311
90,18:19:00.534,2024,-0.0115,1.6311
91,18:19:00.535,2022,-0.0125,1.6295
92,18:19:00.535,2026,-0.0105,1.6327
93,18:19:00.536,2023,-0.0120,1.6303
94,18:19:00.536,2021,-0.0129,1.6286
95,18:19:00.537,2024,-0.0115,1.6311
96,18:19:00.537,2022,-0.0125,1.6295
97,18:19:00.538,2025,-0.0110,1.6319
98,18:19:00.538,2020,-0.0134,1.6278
99,18:19:00.539,2021,-0.0129,1.6286
100,18:19:00.539,2022,-0.0125,1.6295
101,18:19:00.540,2023,-0.0120,1.6303
102,18:19:00.540,2020,-0.0134,1.6278
103,18:19:00.541,2024,-0.0115,1.6311
104,18:19:00.541,2026,-0.0105,1.6327
105,18:19:00.542,2023,-0.0120,1.6303
106,18:19:00.542,2024,-0.0115,1.6311
107,18:19:00.543,2022,-0.0125,1.6295
108,18:19:00.543,2021,-0.0129,1.6286
109,18:19:00.544,2028,-0.0095,1.6343
110,18:19:00.544,2021,-0.0129,1.6286
111,18:19:00.545,2022,-0.0125,1.6295
112,18:19:00.545,2021,-0.0129,1.6286
113,18:19:00.546,2022,-0.0125,1.6295
114,18:19:00.546,2022,-0.0125,1.6295
115,18:19:00.547,2022,-0.0125,1.6295
116,18:19:00.547,2021,-0.0129,1.6286
117,18:19:00.548,2020,-0.0134,1.6278
118,18:19:00.548,2019,-0.0139,1.6270
119,18:19:00.549,2023,-0.0120,1.6303
120,18:19:00.549,2024,-0.0115,1.6311
121,18:19:00.550,2023,-0.0120,1.6303
122,18:19:00.550,2022,-0.0125,1.6295
123,18:19:00.551,2019,-0.0139,1.6270
124,18:19:00.551,2023,-0.0120,1.6303
125,18:19:00.552,2024,-0.0115,1.6311
126,18:19:00.552,2021,-0.0129,1.6286
127,18:19:00.553,2027,-0.0100,1.6335
128,18:19:00.553,2023,-0.0120,1.6303
129,18:19:00.554,2022,-0.0125,1.6295
130,18:19:00.554,2022,-0.0125,1.6295
131,18:19:00.555,2022,-0.0125,1.6295
132,18:19:00.555,2021,-0.0129,1.6286
133,18:19:00.556,2020,-0.0134,1.6278
134,18:19:00.556,2018,-0.0144,1.6262
135,18:19:00.557,2024,-0.0115,1.6311
136,18:19:00.557,2020,-0.0134,1.6278
137,18:19:00.558,2025,-0.0110,1.6319
138,18:19:00.558,2023,-0.0120,1.6303
139,18:19:00.559,2019,-0.0139,1.6270
140,18:19:00.559,2023,-0.0120,1.6303
141,18:19:00.560,2025,-0.0110,1.6319
142,18:19:00.560,2022,-0.0125,1.6295
143,18:19:00.561,2024,-0.0115,1.6311
144,18:19:00.561,2019,-0.0139,1.6270
145,18:19:00.562,2024,-0.0115,1.6311
146,18:19:00.562,2022,-0.0125,1.6295
147,18:19:00.563,2023,-0.0120,1.6303
148,18:19:00.563,2018,-0.0144,1.6262
149,18:19:00.564,2022,-0.0125,1.6295
150,18:19:00.564,2024,-0.0115,1.6311
151,18:19:00.565,2021,-0.0129,1.6286
152,18:19:00.565,2025,-0.0110,1.6319
153,18:19:00.566,2022,-0.0125,1.6295
154,18:19:00.566,2023,-0.0120,1.6303
155,18:19:00.567,2024,-0.0115,1.6311
156,18:19:00.567,2025,-0.0110,1.6319
157,18:19:00.568,2024,-0.0115,1.6311
158,18:19:00.568,2024,-0.0115,1.6311
159,18:19:00.569,2024,-0.0115,1.6311
160,18:19:00.569,2022,-0.0125,1.6295
161,18:19:00.570,2025,-0.0110,1.6319
162,18:19:00.570,2023,-0.0120,1.6303
163,18:19:00.571,2025,-0.0110,1.6319
164,18:19:00.571,2022,-0.0125,1.6295
165,18:19:00.572,2023,-0.0120,1.6303
166,18:19:00.572,2027,-0.0100,1.6335
167,18:19:00.573,2024,-0.0115,1.6311
168,18:19:00.573,2021,-0.0129,1.6286
169,18:19:00.574,2020,-0.0134,1.6278
170,18:19:00.574,2023,-0.0120,1.6303
171,18:19:00.575,2022,-0.0125,1.6295
172,18:19:00.575,2022,-0.0125,1.6295
173,18:19:00.576,2024,-0.0115,1.6311
174,18:19:00.576,2023,-0.0120,1.6303
175,18:19:00.577,2023,-0.0120,1.6303
176,18:19:00.577,2024,-0.0115,1.6311
177,18:19:00.578,2023,-0.0120,1.6303
178,18:19:00.578,2025,-0.0110,1.6319
179,18:19:00.579,2021,-0.0129,1.6286
180,18:19:00.579,2021,-0.0129,1.6286
181,18:19:00.580,2020,-0.0134,1.6278
182,18:19:00.580,2022,-0.0125,1.6295
183,18:19:00.581,2022,-0.0125,1.6295
184,18:19:00.581,2022,-0.0125,1.6295
185,18:19:00.582,2020,-0.0134,1.6278
186,18:19:00.582,2021,-0.0129,1.6286
187,18:19:00.583,2023,-0.0120,1.6303
188,18:19:00.583,2024,-0.0115,1.6311
189,18:19:00.584,2022,-0.0125,1.6295
190,18:19:00.584,2021,-0.0129,1.6286
191,18:19:00.585,2024,-0.0115,1.6311
192,18:19:00.585,2028,-0.0095,1.6343
193,18:19:00.586,2023,-0.0120,1.6303
194,18:19:00.586,2019,-0.0139,1.6270
195,18:19:00.587,2030,-0.0085,1.6359
196,18:19:00.587,2024,-0.0115,1.6311
197,18:19:00.588,2022,-0.0125,1.6295
198,18:19:00.588,2023,-0.0120,1.6303
199,18:19:00.589,2022,-0.0125,1.6295
200,18:19:00.589,2024,-0.0115,1.6311
201,18:19:00.590,2024,-0.0115,1.6311
202,18:19:00.590,2024,-0.0115,1.6311
203,18:19:00.591,2025,-0.0110,1.6319
204,18:19:00.591,2025,-0.0110,1.6319
205,18:19:00.592,2024,-0.0115,1.6311
206,18:19:00.592,2024,-0.0115,1.6311
207,18:19:00.593,2024,-0.0115,1.6311
208,18:19:00.593,2025,-0.0110,1.6319
209,18:19:00.594,2023,-0.0120,1.6303
210,18:19:00.594,2025,-0.0110,1.6319
211,18:19:00.595,2022,-0.0125,1.6295
212,18:19:00.595,2027,-0.0100,1.6335
213,18:19:00.596,2027,-0.0100,1.6335
214,18:19:00.596,2021,-0.0129,1.6286
215,18:19:00.597,2026,-0.0105,1.6327
216,18:19:00.597,2021,-0.0129,1.6286
217,18:19:00.598,2028,-0.0095,1.6343
218,18:19:00.598,2023,-0.0120,1.6303
219,18:19:00.599,2022,-0.0125,1.6295
220,18:19:00.599,2028,-0.0095,1.6343
221,18:19:00.600,2025,-0.0110,1.6319
222,18:19:00.600,2022,-0.0125,1.6295
223,18:19:00.601,2023,-0.0120,1.6303
224,18:19:00.601,2020,-0.0134,1.6278
225,18:19:00.602,2027,-0.0100,1.6335
226,18:19:00.602,2024,-0.0115,1.6311
227,18:19:00.603,2023,-0.0120,1.6303
228,18:19:00.603,2021,-0.0129,1.6286
229,18:19:00.604,2023,-0.0120,1.6303
230,18:19:00.604,2022,-0.0125,1.6295
231,18:19:00.605,2022,-0.0125,1.6295
232,18:19:00.605,2025,-0.0110,1.6319
233,18:19:00.606,2029,-0.0090,1.6351
234,18:19:00.606,2022,-0.0125,1.6295
235,18:19:00.607,2022,-0.0125,1.6295
236,18:19:00.607,2023,-0.0120,1.6303
237,18:19:00.608,2022,-0.0125,1.6295
238,18:19:00.608,2026,-0.0105,1.6327
239,18:19:00.609,2024,-0.0115,1.6311
240,18:19:00.609,2024,-0.0115,1.6311
241,18:19:00.610,2022,-0.0125,1.6295
242,18:19:00.610,2024,-0.0115,1.6311
243,18:19:00.611,2025,-0.0110,1.6319
244,18:19:00.611,2026,-0.0105,1.6327
