sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:16:23.230,2022,-0.0125,1.6295
1,18:16:23.230,2022,-0.0125,1.6295
2,18:16:23.231,2024,-0.0115,1.6311
3,18:16:23.231,2024,-0.0115,1.6311
4,18:16:23.232,2024,-0.0115,1.6311
5,18:16:23.232,2027,-0.0100,1.6335
6,18:16:23.233,2025,-0.0110,1.6319
7,18:16:23.233,2025,-0.0110,1.6319
8,18:16:23.234,2027,-0.0100,1.6335
9,18:16:23.234,2021,-0.0129,1.6286
10,18:16:23.235,2024,-0.0115,1.6311
11,18:16:23.235,2023,-0.0120,1.6303
12,18:16:23.236,2023,-0.0120,1.6303
13,18:16:23.236,2022,-0.0125,1.6295
14,18:16:23.237,2026,-0.0105,1.6327
15,18:16:23.237,2026,-0.0105,1.6327
16,18:16:23.238,2023,-0.0120,1.6303
17,18:16:23.238,2028,-0.0095,1.6343
18,18:16:23.239,2023,-0.0120,1.6303
19,18:16:23.239,2023,-0.0120,1.6303
20,18:16:23.240,2023,-0.0120,1.6303
21,18:16:23.240,2025,-0.0110,1.6319
22,18:16:23.241,2026,-0.0105,1.6327
23,18:16:23.241,2023,-0.0120,1.6303
24,18:16:23.242,2024,-0.0115,1.6311
25,18:16:23.242,2025,-0.0110,1.6319
26,18:16:23.243,2021,-0.0129,1.6286
27,18:16:23.243,2024,-0.0115,1.6311
28,18:16:23.244,2022,-0.0125,1.6295
29,18:16:23.244,2023,-0.0120,1.6303
30,18:16:23.245,2022,-0.0125,1.6295
31,18:16:23.245,2025,-0.0110,1.6319
32,18:16:23.246,2023,-0.0120,1.6303
33,18:16:23.246,2020,-0.0134,1.6278
34,18:16:23.247,2022,-0.0125,1.6295
35,18:16:23.247,2027,-0.0100,1.6335
36,18:16:23.248,2023,-0.0120,1.6303
37,18:16:23.248,2025,-0.0110,1.6319
38,18:16:23.249,2023,-0.0120,1.6303
39,18:16:23.249,2025,-0.0110,1.6319
40,18:16:23.250,2025,-0.0110,1.6319
41,18:16:23.250,2023,-0.0120,1.6303
42,18:16:23.251,2023,-0.0120,1.6303
43,18:16:23.251,2023,-0.0120,1.6303
44,18:16:23.252,2023,-0.0120,1.6303
45,18:16:23.252,2025,-0.0110,1.6319
46,18:16:23.253,2023,-0.0120,1.6303
47,18:16:23.253,2024,-0.0115,1.6311
48,18:16:23.254,2027,-0.0100,1.6335
49,18:16:23.254,2024,-0.0115,1.6311
50,18:16:23.255,2021,-0.0129,1.6286
51,18:16:23.255,2024,-0.0115,1.6311
52,18:16:23.256,2025,-0.0110,1.6319
53,18:16:23.256,2027,-0.0100,1.6335
54,18:16:23.257,2026,-0.0105,1.6327
55,18:16:23.257,2024,-0.0115,1.6311
56,18:16:23.258,2021,-0.0129,1.6286
57,18:16:23.258,2026,-0.0105,1.6327
58,18:16:23.259,2023,-0.0120,1.6303
59,18:16:23.259,2024,-0.0115,1.6311
60,18:16:23.260,2024,-0.0115,1.6311
61,18:16:23.260,2023,-0.0120,1.6303
62,18:16:23.261,2024,-0.0115,1.6311
63,18:16:23.261,2024,-0.0115,1.6311
64,18:16:23.262,2022,-0.0125,1.6295
65,18:16:23.262,2024,-0.0115,1.6311
66,18:16:23.263,2024,-0.0115,1.6311
67,18:16:23.263,2019,-0.0139,1.6270
68,18:16:23.264,2024,-0.0115,1.6311
69,18:16:23.264,2022,-0.0125,1.6295
70,18:16:23.265,2022,-0.0125,1.6295
71,18:16:23.265,2022,-0.0125,1.6295
72,18:16:23.266,2022,-0.0125,1.6295
73,18:16:23.266,2023,-0.0120,1.6303
74,18:16:23.267,2023,-0.0120,1.6303
75,18:16:23.267,2020,-0.0134,1.6278
76,18:16:23.268,2025,-0.0110,1.6319
77,18:16:23.268,2023,-0.0120,1.6303
78,18:16:23.269,2025,-0.0110,1.6319
79,18:16:23.269,2025,-0.0110,1.6319
80,18:16:23.270,2025,-0.0110,1.6319
81,18:16:23.270,2025,-0.0110,1.6319
82,18:16:23.271,2023,-0.0120,1.6303
83,18:16:23.271,2026,-0.0105,1.6327
84,18:16:23.272,2022,-0.0125,1.6295
85,18:16:23.272,2025,-0.0110,1.6319
86,18:16:23.273,2023,-0.0120,1.6303
87,18:16:23.273,2021,-0.0129,1.6286
