sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:08:02.335,2023,-0.0120,1.6303
1,18:08:02.336,2026,-0.0105,1.6327
2,18:08:02.336,2021,-0.0129,1.6286
3,18:08:02.337,2022,-0.0125,1.6295
4,18:08:02.337,2024,-0.0115,1.6311
5,18:08:02.338,2026,-0.0105,1.6327
6,18:08:02.338,2022,-0.0125,1.6295
7,18:08:02.339,2024,-0.0115,1.6311
8,18:08:02.339,2023,-0.0120,1.6303
9,18:08:02.340,2025,-0.0110,1.6319
10,18:08:02.340,2023,-0.0120,1.6303
11,18:08:02.341,2022,-0.0125,1.6295
12,18:08:02.341,2024,-0.0115,1.6311
13,18:08:02.342,2021,-0.0129,1.6286
14,18:08:02.342,2024,-0.0115,1.6311
15,18:08:02.343,2023,-0.0120,1.6303
16,18:08:02.343,2024,-0.0115,1.6311
17,18:08:02.344,2022,-0.0125,1.6295
18,18:08:02.344,2025,-0.0110,1.6319
19,18:08:02.345,2025,-0.0110,1.6319
20,18:08:02.345,2026,-0.0105,1.6327
21,18:08:02.346,2023,-0.0120,1.6303
22,18:08:02.346,2023,-0.0120,1.6303
23,18:08:02.347,2027,-0.0100,1.6335
24,18:08:02.347,2028,-0.0095,1.6343
25,18:08:02.348,2021,-0.0129,1.6286
26,18:08:02.348,2023,-0.0120,1.6303
27,18:08:02.349,2026,-0.0105,1.6327
28,18:08:02.349,2021,-0.0129,1.6286
29,18:08:02.350,2022,-0.0125,1.6295
30,18:08:02.350,2023,-0.0120,1.6303
31,18:08:02.351,2023,-0.0120,1.6303
32,18:08:02.351,2029,-0.0090,1.6351
33,18:08:02.352,2023,-0.0120,1.6303
34,18:08:02.352,2024,-0.0115,1.6311
35,18:08:02.353,2023,-0.0120,1.6303
36,18:08:02.353,2025,-0.0110,1.6319
37,18:08:02.354,2022,-0.0125,1.6295
38,18:08:02.354,2023,-0.0120,1.6303
39,18:08:02.355,2024,-0.0115,1.6311
40,18:08:02.355,2023,-0.0120,1.6303
41,18:08:02.356,2023,-0.0120,1.6303
42,18:08:02.356,2023,-0.0120,1.6303
43,18:08:02.357,2026,-0.0105,1.6327
44,18:08:02.357,2026,-0.0105,1.6327
45,18:08:02.358,2025,-0.0110,1.6319
46,18:08:02.358,2024,-0.0115,1.6311
47,18:08:02.359,2020,-0.0134,1.6278
48,18:08:02.359,2019,-0.0139,1.6270
49,18:08:02.360,2024,-0.0115,1.6311
50,18:08:02.360,2025,-0.0110,1.6319
51,18:08:02.361,2022,-0.0125,1.6295
52,18:08:02.361,2023,-0.0120,1.6303
53,18:08:02.362,2024,-0.0115,1.6311
54,18:08:02.362,2019,-0.0139,1.6270
55,18:08:02.363,2021,-0.0129,1.6286
56,18:08:02.363,2021,-0.0129,1.6286
57,18:08:02.364,2021,-0.0129,1.6286
58,18:08:02.364,2024,-0.0115,1.6311
59,18:08:02.365,2023,-0.0120,1.6303
60,18:08:02.365,2026,-0.0105,1.6327
61,18:08:02.366,2024,-0.0115,1.6311
62,18:08:02.366,2025,-0.0110,1.6319
63,18:08:02.367,2022,-0.0125,1.6295
64,18:08:02.367,2022,-0.0125,1.6295
65,18:08:02.368,2023,-0.0120,1.6303
66,18:08:02.368,2020,-0.0134,1.6278
67,18:08:02.369,2022,-0.0125,1.6295
68,18:08:02.369,2022,-0.0125,1.6295
69,18:08:02.370,2024,-0.0115,1.6311
70,18:08:02.370,2022,-0.0125,1.6295
71,18:08:02.371,2021,-0.0129,1.6286
72,18:08:02.371,2026,-0.0105,1.6327
73,18:08:02.372,2029,-0.0090,1.6351
74,18:08:02.372,2023,-0.0120,1.6303
75,18:08:02.373,2022,-0.0125,1.6295
76,18:08:02.373,2020,-0.0134,1.6278
77,18:08:02.374,2026,-0.0105,1.6327
78,18:08:02.374,2025,-0.0110,1.6319
79,18:08:02.375,2022,-0.0125,1.6295
80,18:08:02.375,2023,-0.0120,1.6303
81,18:08:02.376,2024,-0.0115,1.6311
82,18:08:02.376,2025,-0.0110,1.6319
83,18:08:02.377,2019,-0.0139,1.6270
84,18:08:02.377,2025,-0.0110,1.6319
85,18:08:02.378,2022,-0.0125,1.6295
86,18:08:02.378,2024,-0.0115,1.6311
87,18:08:02.379,2023,-0.0120,1.6303
88,18:08:02.379,2022,-0.0125,1.6295
89,18:08:02.380,2022,-0.0125,1.6295
90,18:08:02.380,2022,-0.0125,1.6295
91,18:08:02.381,2023,-0.0120,1.6303
92,18:08:02.381,2023,-0.0120,1.6303
93,18:08:02.382,2024,-0.0115,1.6311
94,18:08:02.382,2023,-0.0120,1.6303
95,18:08:02.383,2019,-0.0139,1.6270
96,18:08:02.383,2026,-0.0105,1.6327
97,18:08:02.384,2026,-0.0105,1.6327
98,18:08:02.384,2020,-0.0134,1.6278
99,18:08:02.385,2022,-0.0125,1.6295
100,18:08:02.385,2028,-0.0095,1.6343
101,18:08:02.386,2020,-0.0134,1.6278
102,18:08:02.386,2022,-0.0125,1.6295
103,18:08:02.387,2023,-0.0120,1.6303
104,18:08:02.387,2023,-0.0120,1.6303
105,18:08:02.388,2019,-0.0139,1.6270
106,18:08:02.388,2021,-0.0129,1.6286
107,18:08:02.389,2022,-0.0125,1.6295
108,18:08:02.389,2025,-0.0110,1.6319
109,18:08:02.390,2026,-0.0105,1.6327
110,18:08:02.390,2023,-0.0120,1.6303
111,18:08:02.391,2023,-0.0120,1.6303
112,18:08:02.391,2023,-0.0120,1.6303
113,18:08:02.392,2023,-0.0120,1.6303
114,18:08:02.392,2024,-0.0115,1.6311
115,18:08:02.393,2024,-0.0115,1.6311
116,18:08:02.393,2024,-0.0115,1.6311
117,18:08:02.394,2023,-0.0120,1.6303
118,18:08:02.394,2023,-0.0120,1.6303
119,18:08:02.395,2023,-0.0120,1.6303
120,18:08:02.395,2027,-0.0100,1.6335
121,18:08:02.396,2023,-0.0120,1.6303
