sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:31:09.429,2017,-0.0149,1.6254
1,18:31:09.429,2022,-0.0125,1.6295
2,18:31:09.430,2019,-0.0139,1.6270
3,18:31:09.430,2017,-0.0149,1.6254
4,18:31:09.431,2020,-0.0134,1.6278
5,18:31:09.431,2019,-0.0139,1.6270
6,18:31:09.432,2019,-0.0139,1.6270
7,18:31:09.432,2020,-0.0134,1.6278
8,18:31:09.433,2016,-0.0154,1.6246
9,18:31:09.433,2017,-0.0149,1.6254
10,18:31:09.434,2018,-0.0144,1.6262
11,18:31:09.434,2020,-0.0134,1.6278
12,18:31:09.435,2023,-0.0120,1.6303
13,18:31:09.435,2021,-0.0129,1.6286
14,18:31:09.436,2018,-0.0144,1.6262
15,18:31:09.436,2020,-0.0134,1.6278
16,18:31:09.437,2016,-0.0154,1.6246
17,18:31:09.437,2022,-0.0125,1.6295
18,18:31:09.438,2017,-0.0149,1.6254
19,18:31:09.438,2017,-0.0149,1.6254
20,18:31:09.439,2021,-0.0129,1.6286
21,18:31:09.439,2017,-0.0149,1.6254
22,18:31:09.440,2015,-0.0159,1.6238
23,18:31:09.440,2018,-0.0144,1.6262
24,18:31:09.441,2018,-0.0144,1.6262
25,18:31:09.441,2018,-0.0144,1.6262
26,18:31:09.442,2020,-0.0134,1.6278
27,18:31:09.442,2019,-0.0139,1.6270
28,18:31:09.443,2022,-0.0125,1.6295
29,18:31:09.443,2017,-0.0149,1.6254
30,18:31:09.444,2018,-0.0144,1.6262
31,18:31:09.444,2023,-0.0120,1.6303
32,18:31:09.445,2017,-0.0149,1.6254
33,18:31:09.445,2018,-0.0144,1.6262
34,18:31:09.446,2019,-0.0139,1.6270
35,18:31:09.446,2017,-0.0149,1.6254
36,18:31:09.447,2017,-0.0149,1.6254
37,18:31:09.447,2012,-0.0173,1.6214
38,18:31:09.448,2018,-0.0144,1.6262
39,18:31:09.448,2019,-0.0139,1.6270
40,18:31:09.449,2017,-0.0149,1.6254
41,18:31:09.449,2015,-0.0159,1.6238
42,18:31:09.450,2019,-0.0139,1.6270
43,18:31:09.450,2020,-0.0134,1.6278
44,18:31:09.451,2017,-0.0149,1.6254
45,18:31:09.451,2020,-0.0134,1.6278
46,18:31:09.452,2022,-0.0125,1.6295
47,18:31:09.452,2017,-0.0149,1.6254
48,18:31:09.453,2016,-0.0154,1.6246
49,18:31:09.453,2022,-0.0125,1.6295
50,18:31:09.454,2016,-0.0154,1.6246
51,18:31:09.454,2013,-0.0168,1.6222
52,18:31:09.455,2020,-0.0134,1.6278
53,18:31:09.455,2021,-0.0129,1.6286
54,18:31:09.456,2020,-0.0134,1.6278
55,18:31:09.456,2018,-0.0144,1.6262
56,18:31:09.457,2020,-0.0134,1.6278
57,18:31:09.457,2012,-0.0173,1.6214
58,18:31:09.458,2016,-0.0154,1.6246
59,18:31:09.458,2022,-0.0125,1.6295
60,18:31:09.459,2022,-0.0125,1.6295
61,18:31:09.459,2018,-0.0144,1.6262
62,18:31:09.460,2017,-0.0149,1.6254
63,18:31:09.460,2020,-0.0134,1.6278
64,18:31:09.461,2019,-0.0139,1.6270
65,18:31:09.461,2020,-0.0134,1.6278
66,18:31:09.462,2017,-0.0149,1.6254
67,18:31:09.462,2019,-0.0139,1.6270
68,18:31:09.463,2019,-0.0139,1.6270
69,18:31:09.463,2019,-0.0139,1.6270
70,18:31:09.464,2018,-0.0144,1.6262
71,18:31:09.464,2019,-0.0139,1.6270
72,18:31:09.465,2016,-0.0154,1.6246
73,18:31:09.465,2020,-0.0134,1.6278
74,18:31:09.466,2021,-0.0129,1.6286
75,18:31:09.466,2019,-0.0139,1.6270
76,18:31:09.467,2017,-0.0149,1.6254
77,18:31:09.467,2019,-0.0139,1.6270
78,18:31:09.468,2021,-0.0129,1.6286
79,18:31:09.468,2022,-0.0125,1.6295
80,18:31:09.469,2022,-0.0125,1.6295
81,18:31:09.469,2017,-0.0149,1.6254
82,18:31:09.470,2021,-0.0129,1.6286
83,18:31:09.470,2018,-0.0144,1.6262
84,18:31:09.471,2021,-0.0129,1.6286
85,18:31:09.471,2016,-0.0154,1.6246
86,18:31:09.472,2017,-0.0149,1.6254
87,18:31:09.472,2016,-0.0154,1.6246
88,18:31:09.473,2016,-0.0154,1.6246
89,18:31:09.473,2020,-0.0134,1.6278
90,18:31:09.474,2018,-0.0144,1.6262
91,18:31:09.474,2015,-0.0159,1.6238
92,18:31:09.475,2018,-0.0144,1.6262
93,18:31:09.475,2022,-0.0125,1.6295
94,18:31:09.476,2018,-0.0144,1.6262
95,18:31:09.476,2019,-0.0139,1.6270
96,18:31:09.477,2017,-0.0149,1.6254
97,18:31:09.477,2014,-0.0164,1.6230
98,18:31:09.478,2019,-0.0139,1.6270
99,18:31:09.478,2019,-0.0139,1.6270
100,18:31:09.479,2019,-0.0139,1.6270
101,18:31:09.479,2017,-0.0149,1.6254
102,18:31:09.480,2019,-0.0139,1.6270
103,18:31:09.480,2018,-0.0144,1.6262
104,18:31:09.481,2018,-0.0144,1.6262
105,18:31:09.481,2015,-0.0159,1.6238
106,18:31:09.482,2022,-0.0125,1.6295
107,18:31:09.482,2017,-0.0149,1.6254
108,18:31:09.483,2017,-0.0149,1.6254
109,18:31:09.483,2018,-0.0144,1.6262
110,18:31:09.484,2018,-0.0144,1.6262
111,18:31:09.484,2020,-0.0134,1.6278
112,18:31:09.485,2017,-0.0149,1.6254
113,18:31:09.485,2017,-0.0149,1.6254
114,18:31:09.486,2017,-0.0149,1.6254
115,18:31:09.486,2021,-0.0129,1.6286
116,18:31:09.487,2019,-0.0139,1.6270
117,18:31:09.487,2018,-0.0144,1.6262
118,18:31:09.488,2020,-0.0134,1.6278
119,18:31:09.488,2022,-0.0125,1.6295
120,18:31:09.489,2017,-0.0149,1.6254
121,18:31:09.489,2016,-0.0154,1.6246
122,18:31:09.490,2018,-0.0144,1.6262
123,18:31:09.490,2018,-0.0144,1.6262
124,18:31:09.491,2018,-0.0144,1.6262
125,18:31:09.491,2019,-0.0139,1.6270
126,18:31:09.492,2017,-0.0149,1.6254
127,18:31:09.492,2017,-0.0149,1.6254
128,18:31:09.493,2025,-0.0110,1.6319
129,18:31:09.493,2016,-0.0154,1.6246
130,18:31:09.494,2017,-0.0149,1.6254
131,18:31:09.494,2016,-0.0154,1.6246
132,18:31:09.495,2017,-0.0149,1.6254
133,18:31:09.495,2019,-0.0139,1.6270
134,18:31:09.496,2022,-0.0125,1.6295
135,18:31:09.496,2016,-0.0154,1.6246
136,18:31:09.497,2018,-0.0144,1.6262
137,18:31:09.497,2020,-0.0134,1.6278
138,18:31:09.498,2015,-0.0159,1.6238
139,18:31:09.498,2016,-0.0154,1.6246
140,18:31:09.499,2017,-0.0149,1.6254
141,18:31:09.499,2016,-0.0154,1.6246
142,18:31:09.500,2019,-0.0139,1.6270
143,18:31:09.500,2021,-0.0129,1.6286
144,18:31:09.501,2019,-0.0139,1.6270
145,18:31:09.501,2018,-0.0144,1.6262
146,18:31:09.502,2019,-0.0139,1.6270
147,18:31:09.502,2018,-0.0144,1.6262
148,18:31:09.503,2018,-0.0144,1.6262
149,18:31:09.503,2021,-0.0129,1.6286
150,18:31:09.504,2019,-0.0139,1.6270
151,18:31:09.504,2020,-0.0134,1.6278
152,18:31:09.505,2017,-0.0149,1.6254
153,18:31:09.505,2019,-0.0139,1.6270
154,18:31:09.506,2018,-0.0144,1.6262
155,18:31:09.506,2017,-0.0149,1.6254
156,18:31:09.507,2017,-0.0149,1.6254
157,18:31:09.507,2019,-0.0139,1.6270
158,18:31:09.508,2021,-0.0129,1.6286
159,18:31:09.508,2019,-0.0139,1.6270
160,18:31:09.509,2020,-0.0134,1.6278
161,18:31:09.509,2017,-0.0149,1.6254
162,18:31:09.510,2020,-0.0134,1.6278
163,18:31:09.510,2018,-0.0144,1.6262
164,18:31:09.511,2019,-0.0139,1.6270
165,18:31:09.511,2017,-0.0149,1.6254
166,18:31:09.512,2019,-0.0139,1.6270
167,18:31:09.512,2018,-0.0144,1.6262
168,18:31:09.513,2017,-0.0149,1.6254
169,18:31:09.513,2016,-0.0154,1.6246
170,18:31:09.514,2020,-0.0134,1.6278
171,18:31:09.514,2017,-0.0149,1.6254
172,18:31:09.515,2017,-0.0149,1.6254
173,18:31:09.515,2020,-0.0134,1.6278
174,18:31:09.516,2023,-0.0120,1.6303
175,18:31:09.516,2017,-0.0149,1.6254
176,18:31:09.517,2021,-0.0129,1.6286
177,18:31:09.517,2020,-0.0134,1.6278
178,18:31:09.518,2018,-0.0144,1.6262
179,18:31:09.518,2020,-0.0134,1.6278
180,18:31:09.519,2020,-0.0134,1.6278
181,18:31:09.519,2017,-0.0149,1.6254
182,18:31:09.520,2017,-0.0149,1.6254
183,18:31:09.520,2021,-0.0129,1.6286
184,18:31:09.521,2021,-0.0129,1.6286
185,18:31:09.521,2018,-0.0144,1.6262
186,18:31:09.522,2016,-0.0154,1.6246
187,18:31:09.522,2021,-0.0129,1.6286
188,18:31:09.523,2018,-0.0144,1.6262
189,18:31:09.523,2019,-0.0139,1.6270
190,18:31:09.524,2017,-0.0149,1.6254
191,18:31:09.524,2017,-0.0149,1.6254
192,18:31:09.525,2021,-0.0129,1.6286
193,18:31:09.525,2018,-0.0144,1.6262
194,18:31:09.526,2019,-0.0139,1.6270
195,18:31:09.526,2022,-0.0125,1.6295
196,18:31:09.527,2021,-0.0129,1.6286
197,18:31:09.527,2019,-0.0139,1.6270
198,18:31:09.528,2020,-0.0134,1.6278
199,18:31:09.528,2020,-0.0134,1.6278
200,18:31:09.529,2024,-0.0115,1.6311
201,18:31:09.529,2018,-0.0144,1.6262
202,18:31:09.530,2021,-0.0129,1.6286
203,18:31:09.530,2025,-0.0110,1.6319
204,18:31:09.531,2019,-0.0139,1.6270
205,18:31:09.531,2018,-0.0144,1.6262
206,18:31:09.532,2021,-0.0129,1.6286
207,18:31:09.532,2016,-0.0154,1.6246
208,18:31:09.533,2021,-0.0129,1.6286
209,18:31:09.533,2020,-0.0134,1.6278
210,18:31:09.534,2018,-0.0144,1.6262
211,18:31:09.534,2019,-0.0139,1.6270
212,18:31:09.535,2018,-0.0144,1.6262
213,18:31:09.535,2021,-0.0129,1.6286
214,18:31:09.536,2016,-0.0154,1.6246
215,18:31:09.536,2021,-0.0129,1.6286
216,18:31:09.537,2018,-0.0144,1.6262
217,18:31:09.537,2020,-0.0134,1.6278
218,18:31:09.538,2016,-0.0154,1.6246
219,18:31:09.538,2018,-0.0144,1.6262
220,18:31:09.539,2018,-0.0144,1.6262
221,18:31:09.539,2017,-0.0149,1.6254
