sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:29:03.845,2023,-0.0120,1.6303
1,18:29:03.845,2025,-0.0110,1.6319
2,18:29:03.846,2022,-0.0125,1.6295
3,18:29:03.846,2022,-0.0125,1.6295
4,18:29:03.847,2023,-0.0120,1.6303
5,18:29:03.847,2023,-0.0120,1.6303
6,18:29:03.848,2023,-0.0120,1.6303
7,18:29:03.848,2026,-0.0105,1.6327
8,18:29:03.849,2025,-0.0110,1.6319
9,18:29:03.849,2025,-0.0110,1.6319
10,18:29:03.850,2023,-0.0120,1.6303
11,18:29:03.850,2022,-0.0125,1.6295
12,18:29:03.851,2023,-0.0120,1.6303
13,18:29:03.851,2023,-0.0120,1.6303
14,18:29:03.852,2027,-0.0100,1.6335
15,18:29:03.852,2018,-0.0144,1.6262
16,18:29:03.853,2020,-0.0134,1.6278
17,18:29:03.853,2025,-0.0110,1.6319
18,18:29:03.854,2024,-0.0115,1.6311
19,18:29:03.854,2021,-0.0129,1.6286
20,18:29:03.855,2026,-0.0105,1.6327
21,18:29:03.855,2025,-0.0110,1.6319
22,18:29:03.856,2025,-0.0110,1.6319
23,18:29:03.856,2022,-0.0125,1.6295
24,18:29:03.857,2025,-0.0110,1.6319
25,18:29:03.857,2023,-0.0120,1.6303
26,18:29:03.858,2024,-0.0115,1.6311
27,18:29:03.858,2023,-0.0120,1.6303
28,18:29:03.859,2022,-0.0125,1.6295
29,18:29:03.859,2025,-0.0110,1.6319
30,18:29:03.860,2023,-0.0120,1.6303
31,18:29:03.860,2023,-0.0120,1.6303
32,18:29:03.861,2024,-0.0115,1.6311
33,18:29:03.861,2022,-0.0125,1.6295
34,18:29:03.862,2021,-0.0129,1.6286
35,18:29:03.862,2028,-0.0095,1.6343
36,18:29:03.863,2022,-0.0125,1.6295
37,18:29:03.863,2025,-0.0110,1.6319
38,18:29:03.864,2020,-0.0134,1.6278
39,18:29:03.864,2018,-0.0144,1.6262
40,18:29:03.865,2021,-0.0129,1.6286
41,18:29:03.865,2025,-0.0110,1.6319
42,18:29:03.866,2022,-0.0125,1.6295
43,18:29:03.866,2021,-0.0129,1.6286
44,18:29:03.867,2023,-0.0120,1.6303
45,18:29:03.867,2023,-0.0120,1.6303
46,18:29:03.868,2024,-0.0115,1.6311
47,18:29:03.868,2021,-0.0129,1.6286
48,18:29:03.869,2022,-0.0125,1.6295
49,18:29:03.869,2023,-0.0120,1.6303
50,18:29:03.870,2021,-0.0129,1.6286
51,18:29:03.870,2027,-0.0100,1.6335
52,18:29:03.871,2018,-0.0144,1.6262
53,18:29:03.871,2021,-0.0129,1.6286
54,18:29:03.872,2017,-0.0149,1.6254
55,18:29:03.872,2020,-0.0134,1.6278
56,18:29:03.873,2023,-0.0120,1.6303
57,18:29:03.873,2017,-0.0149,1.6254
58,18:29:03.874,2022,-0.0125,1.6295
59,18:29:03.874,2020,-0.0134,1.6278
60,18:29:03.875,2021,-0.0129,1.6286
61,18:29:03.875,2017,-0.0149,1.6254
62,18:29:03.876,2021,-0.0129,1.6286
63,18:29:03.876,2023,-0.0120,1.6303
64,18:29:03.877,2024,-0.0115,1.6311
65,18:29:03.877,2020,-0.0134,1.6278
66,18:29:03.878,2021,-0.0129,1.6286
67,18:29:03.878,2019,-0.0139,1.6270
68,18:29:03.879,2021,-0.0129,1.6286
69,18:29:03.879,2021,-0.0129,1.6286
70,18:29:03.880,2024,-0.0115,1.6311
71,18:29:03.880,2020,-0.0134,1.6278
72,18:29:03.881,2020,-0.0134,1.6278
73,18:29:03.881,2019,-0.0139,1.6270
74,18:29:03.882,2022,-0.0125,1.6295
