sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:25:18.543,2023,-0.0120,1.6303
1,18:25:18.543,2022,-0.0125,1.6295
2,18:25:18.544,2020,-0.0134,1.6278
3,18:25:18.544,2023,-0.0120,1.6303
4,18:25:18.545,2024,-0.0115,1.6311
5,18:25:18.545,2025,-0.0110,1.6319
6,18:25:18.546,2023,-0.0120,1.6303
7,18:25:18.546,2021,-0.0129,1.6286
8,18:25:18.547,2023,-0.0120,1.6303
9,18:25:18.547,2026,-0.0105,1.6327
10,18:25:18.548,2023,-0.0120,1.6303
11,18:25:18.548,2022,-0.0125,1.6295
12,18:25:18.549,2024,-0.0115,1.6311
13,18:25:18.549,2024,-0.0115,1.6311
14,18:25:18.550,2024,-0.0115,1.6311
15,18:25:18.550,2024,-0.0115,1.6311
16,18:25:18.551,2024,-0.0115,1.6311
17,18:25:18.551,2026,-0.0105,1.6327
18,18:25:18.552,2025,-0.0110,1.6319
19,18:25:18.552,2027,-0.0100,1.6335
20,18:25:18.553,2024,-0.0115,1.6311
21,18:25:18.553,2026,-0.0105,1.6327
22,18:25:18.554,2024,-0.0115,1.6311
23,18:25:18.554,2022,-0.0125,1.6295
24,18:25:18.555,2028,-0.0095,1.6343
25,18:25:18.555,2021,-0.0129,1.6286
26,18:25:18.556,2021,-0.0129,1.6286
27,18:25:18.556,2023,-0.0120,1.6303
28,18:25:18.557,2021,-0.0129,1.6286
29,18:25:18.557,2022,-0.0125,1.6295
30,18:25:18.558,2022,-0.0125,1.6295
31,18:25:18.558,2025,-0.0110,1.6319
32,18:25:18.559,2024,-0.0115,1.6311
33,18:25:18.559,2024,-0.0115,1.6311
34,18:25:18.560,2026,-0.0105,1.6327
35,18:25:18.560,2027,-0.0100,1.6335
36,18:25:18.561,2025,-0.0110,1.6319
37,18:25:18.561,2023,-0.0120,1.6303
38,18:25:18.562,2022,-0.0125,1.6295
39,18:25:18.562,2024,-0.0115,1.6311
40,18:25:18.563,2022,-0.0125,1.6295
41,18:25:18.563,2024,-0.0115,1.6311
42,18:25:18.564,2024,-0.0115,1.6311
43,18:25:18.564,2025,-0.0110,1.6319
44,18:25:18.565,2021,-0.0129,1.6286
45,18:25:18.565,2026,-0.0105,1.6327
46,18:25:18.566,2023,-0.0120,1.6303
47,18:25:18.566,2024,-0.0115,1.6311
48,18:25:18.567,2019,-0.0139,1.6270
49,18:25:18.567,2023,-0.0120,1.6303
50,18:25:18.568,2022,-0.0125,1.6295
51,18:25:18.568,2025,-0.0110,1.6319
52,18:25:18.569,2021,-0.0129,1.6286
53,18:25:18.569,2023,-0.0120,1.6303
54,18:25:18.570,2025,-0.0110,1.6319
55,18:25:18.570,2024,-0.0115,1.6311
