sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:43:13.859,2023,-0.0120,1.6303
1,18:43:13.859,2021,-0.0129,1.6286
2,18:43:13.860,2026,-0.0105,1.6327
3,18:43:13.860,2022,-0.0125,1.6295
4,18:43:13.861,2025,-0.0110,1.6319
5,18:43:13.861,2023,-0.0120,1.6303
6,18:43:13.862,2028,-0.0095,1.6343
7,18:43:13.862,2023,-0.0120,1.6303
8,18:43:13.863,2026,-0.0105,1.6327
9,18:43:13.863,2026,-0.0105,1.6327
10,18:43:13.864,2018,-0.0144,1.6262
11,18:43:13.864,2021,-0.0129,1.6286
12,18:43:13.865,2023,-0.0120,1.6303
13,18:43:13.865,2022,-0.0125,1.6295
14,18:43:13.866,2023,-0.0120,1.6303
15,18:43:13.866,2023,-0.0120,1.6303
16,18:43:13.867,2026,-0.0105,1.6327
17,18:43:13.867,2026,-0.0105,1.6327
18,18:43:13.868,2021,-0.0129,1.6286
19,18:43:13.868,2024,-0.0115,1.6311
20,18:43:13.869,2023,-0.0120,1.6303
21,18:43:13.869,2024,-0.0115,1.6311
22,18:43:13.870,2026,-0.0105,1.6327
23,18:43:13.870,2026,-0.0105,1.6327
24,18:43:13.871,2025,-0.0110,1.6319
25,18:43:13.871,2023,-0.0120,1.6303
26,18:43:13.872,2021,-0.0129,1.6286
27,18:43:13.872,2023,-0.0120,1.6303
28,18:43:13.873,2024,-0.0115,1.6311
29,18:43:13.873,2027,-0.0100,1.6335
30,18:43:13.874,2024,-0.0115,1.6311
31,18:43:13.874,2022,-0.0125,1.6295
32,18:43:13.875,2021,-0.0129,1.6286
33,18:43:13.875,2023,-0.0120,1.6303
34,18:43:13.876,2022,-0.0125,1.6295
35,18:43:13.876,2023,-0.0120,1.6303
36,18:43:13.877,2021,-0.0129,1.6286
37,18:43:13.877,2025,-0.0110,1.6319
38,18:43:13.878,2018,-0.0144,1.6262
39,18:43:13.878,2024,-0.0115,1.6311
40,18:43:13.879,2023,-0.0120,1.6303
41,18:43:13.879,2021,-0.0129,1.6286
42,18:43:13.880,2021,-0.0129,1.6286
43,18:43:13.880,2020,-0.0134,1.6278
44,18:43:13.881,2021,-0.0129,1.6286
45,18:43:13.881,2024,-0.0115,1.6311
46,18:43:13.882,2027,-0.0100,1.6335
47,18:43:13.882,2024,-0.0115,1.6311
48,18:43:13.883,2025,-0.0110,1.6319
49,18:43:13.883,2024,-0.0115,1.6311
50,18:43:13.884,2021,-0.0129,1.6286
51,18:43:13.884,2026,-0.0105,1.6327
52,18:43:13.885,2029,-0.0090,1.6351
53,18:43:13.885,2025,-0.0110,1.6319
54,18:43:13.886,2023,-0.0120,1.6303
55,18:43:13.886,2027,-0.0100,1.6335
56,18:43:13.887,2025,-0.0110,1.6319
57,18:43:13.887,2022,-0.0125,1.6295
58,18:43:13.888,2022,-0.0125,1.6295
59,18:43:13.888,2021,-0.0129,1.6286
60,18:43:13.889,2029,-0.0090,1.6351
61,18:43:13.889,2022,-0.0125,1.6295
62,18:43:13.890,2022,-0.0125,1.6295
63,18:43:13.890,2025,-0.0110,1.6319
64,18:43:13.891,2024,-0.0115,1.6311
65,18:43:13.891,2023,-0.0120,1.6303
66,18:43:13.892,2026,-0.0105,1.6327
67,18:43:13.892,2024,-0.0115,1.6311
68,18:43:13.893,2019,-0.0139,1.6270
69,18:43:13.893,2027,-0.0100,1.6335
70,18:43:13.894,2022,-0.0125,1.6295
71,18:43:13.894,2023,-0.0120,1.6303
72,18:43:13.895,2026,-0.0105,1.6327
73,18:43:13.895,2023,-0.0120,1.6303
74,18:43:13.896,2022,-0.0125,1.6295
75,18:43:13.896,2025,-0.0110,1.6319
76,18:43:13.897,2024,-0.0115,1.6311
77,18:43:13.897,2023,-0.0120,1.6303
78,18:43:13.898,2026,-0.0105,1.6327
79,18:43:13.898,2022,-0.0125,1.6295
80,18:43:13.899,2019,-0.0139,1.6270
81,18:43:13.899,2024,-0.0115,1.6311
82,18:43:13.900,2025,-0.0110,1.6319
83,18:43:13.900,2023,-0.0120,1.6303
84,18:43:13.901,2026,-0.0105,1.6327
85,18:43:13.901,2024,-0.0115,1.6311
86,18:43:13.902,2027,-0.0100,1.6335
87,18:43:13.902,2022,-0.0125,1.6295
88,18:43:13.903,2024,-0.0115,1.6311
89,18:43:13.903,2023,-0.0120,1.6303
90,18:43:13.904,2023,-0.0120,1.6303
91,18:43:13.904,2025,-0.0110,1.6319
92,18:43:13.905,2023,-0.0120,1.6303
93,18:43:13.905,2023,-0.0120,1.6303
94,18:43:13.906,2030,-0.0085,1.6359
95,18:43:13.906,2023,-0.0120,1.6303
96,18:43:13.907,2024,-0.0115,1.6311
97,18:43:13.907,2020,-0.0134,1.6278
98,18:43:13.908,2024,-0.0115,1.6311
99,18:43:13.908,2022,-0.0125,1.6295
100,18:43:13.909,2022,-0.0125,1.6295
101,18:43:13.909,2017,-0.0149,1.6254
102,18:43:13.910,2025,-0.0110,1.6319
103,18:43:13.910,2024,-0.0115,1.6311
104,18:43:13.911,2022,-0.0125,1.6295
105,18:43:13.911,2020,-0.0134,1.6278
106,18:43:13.912,2025,-0.0110,1.6319
107,18:43:13.912,2021,-0.0129,1.6286
108,18:43:13.913,2026,-0.0105,1.6327
109,18:43:13.913,2025,-0.0110,1.6319
110,18:43:13.914,2022,-0.0125,1.6295
111,18:43:13.914,2021,-0.0129,1.6286
112,18:43:13.915,2021,-0.0129,1.6286
113,18:43:13.915,2020,-0.0134,1.6278
114,18:43:13.916,2023,-0.0120,1.6303
115,18:43:13.916,2023,-0.0120,1.6303
116,18:43:13.917,2026,-0.0105,1.6327
117,18:43:13.917,2023,-0.0120,1.6303
118,18:43:13.918,2021,-0.0129,1.6286
119,18:43:13.918,2023,-0.0120,1.6303
120,18:43:13.919,2027,-0.0100,1.6335
