sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:41:52.768,2025,-0.0110,1.6319
1,18:41:52.768,2026,-0.0105,1.6327
2,18:41:52.769,2024,-0.0115,1.6311
3,18:41:52.769,2024,-0.0115,1.6311
4,18:41:52.770,2028,-0.0095,1.6343
5,18:41:52.770,2023,-0.0120,1.6303
6,18:41:52.771,2023,-0.0120,1.6303
7,18:41:52.771,2025,-0.0110,1.6319
8,18:41:52.772,2026,-0.0105,1.6327
9,18:41:52.772,2024,-0.0115,1.6311
10,18:41:52.773,2024,-0.0115,1.6311
11,18:41:52.773,2021,-0.0129,1.6286
12,18:41:52.774,2024,-0.0115,1.6311
13,18:41:52.774,2020,-0.0134,1.6278
14,18:41:52.775,2023,-0.0120,1.6303
15,18:41:52.775,2022,-0.0125,1.6295
16,18:41:52.776,2025,-0.0110,1.6319
17,18:41:52.776,2024,-0.0115,1.6311
18,18:41:52.777,2023,-0.0120,1.6303
19,18:41:52.777,2024,-0.0115,1.6311
20,18:41:52.778,2022,-0.0125,1.6295
21,18:41:52.778,2021,-0.0129,1.6286
22,18:41:52.779,2022,-0.0125,1.6295
23,18:41:52.779,2025,-0.0110,1.6319
24,18:41:52.780,2020,-0.0134,1.6278
25,18:41:52.780,2021,-0.0129,1.6286
26,18:41:52.781,2023,-0.0120,1.6303
27,18:41:52.781,2027,-0.0100,1.6335
28,18:41:52.782,2022,-0.0125,1.6295
29,18:41:52.782,2024,-0.0115,1.6311
30,18:41:52.783,2021,-0.0129,1.6286
31,18:41:52.783,2027,-0.0100,1.6335
32,18:41:52.784,2029,-0.0090,1.6351
33,18:41:52.784,2022,-0.0125,1.6295
34,18:41:52.785,2024,-0.0115,1.6311
35,18:41:52.785,2023,-0.0120,1.6303
36,18:41:52.786,2023,-0.0120,1.6303
37,18:41:52.786,2022,-0.0125,1.6295
38,18:41:52.787,2022,-0.0125,1.6295
39,18:41:52.787,2025,-0.0110,1.6319
40,18:41:52.788,2023,-0.0120,1.6303
41,18:41:52.788,2025,-0.0110,1.6319
42,18:41:52.789,2025,-0.0110,1.6319
43,18:41:52.789,2023,-0.0120,1.6303
44,18:41:52.790,2025,-0.0110,1.6319
45,18:41:52.790,2022,-0.0125,1.6295
46,18:41:52.791,2022,-0.0125,1.6295
47,18:41:52.791,2023,-0.0120,1.6303
48,18:41:52.792,2024,-0.0115,1.6311
49,18:41:52.792,2021,-0.0129,1.6286
50,18:41:52.793,2026,-0.0105,1.6327
51,18:41:52.793,2023,-0.0120,1.6303
52,18:41:52.794,2024,-0.0115,1.6311
53,18:41:52.794,2023,-0.0120,1.6303
54,18:41:52.795,2021,-0.0129,1.6286
55,18:41:52.795,2025,-0.0110,1.6319
56,18:41:52.796,2023,-0.0120,1.6303
57,18:41:52.796,2023,-0.0120,1.6303
58,18:41:52.797,2023,-0.0120,1.6303
59,18:41:52.797,2022,-0.0125,1.6295
60,18:41:52.798,2024,-0.0115,1.6311
61,18:41:52.798,2022,-0.0125,1.6295
62,18:41:52.799,2022,-0.0125,1.6295
63,18:41:52.799,2026,-0.0105,1.6327
64,18:41:52.800,2024,-0.0115,1.6311
65,18:41:52.800,2021,-0.0129,1.6286
66,18:41:52.801,2026,-0.0105,1.6327
