sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:53:43.949,2023,-0.0120,1.6303
1,18:53:43.950,2023,-0.0120,1.6303
2,18:53:43.950,2024,-0.0115,1.6311
3,18:53:43.951,2022,-0.0125,1.6295
4,18:53:43.951,2026,-0.0105,1.6327
5,18:53:43.952,2022,-0.0125,1.6295
6,18:53:43.952,2025,-0.0110,1.6319
7,18:53:43.953,2024,-0.0115,1.6311
8,18:53:43.953,2023,-0.0120,1.6303
9,18:53:43.954,2027,-0.0100,1.6335
10,18:53:43.954,2025,-0.0110,1.6319
11,18:53:43.955,2022,-0.0125,1.6295
12,18:53:43.955,2024,-0.0115,1.6311
13,18:53:43.956,2027,-0.0100,1.6335
14,18:53:43.956,2019,-0.0139,1.6270
15,18:53:43.957,2022,-0.0125,1.6295
16,18:53:43.957,2021,-0.0129,1.6286
17,18:53:43.958,2021,-0.0129,1.6286
18,18:53:43.958,2025,-0.0110,1.6319
19,18:53:43.959,2024,-0.0115,1.6311
20,18:53:43.959,2023,-0.0120,1.6303
21,18:53:43.960,2023,-0.0120,1.6303
22,18:53:43.960,2024,-0.0115,1.6311
23,18:53:43.961,2026,-0.0105,1.6327
24,18:53:43.961,2024,-0.0115,1.6311
25,18:53:43.962,2024,-0.0115,1.6311
26,18:53:43.962,2019,-0.0139,1.6270
27,18:53:43.963,2021,-0.0129,1.6286
28,18:53:43.963,2022,-0.0125,1.6295
29,18:53:43.964,2020,-0.0134,1.6278
30,18:53:43.964,2024,-0.0115,1.6311
31,18:53:43.965,2025,-0.0110,1.6319
32,18:53:43.965,2025,-0.0110,1.6319
33,18:53:43.966,2019,-0.0139,1.6270
34,18:53:43.966,2025,-0.0110,1.6319
35,18:53:43.967,2027,-0.0100,1.6335
36,18:53:43.967,2022,-0.0125,1.6295
37,18:53:43.968,2027,-0.0100,1.6335
38,18:53:43.968,2021,-0.0129,1.6286
39,18:53:43.969,2022,-0.0125,1.6295
40,18:53:43.969,2021,-0.0129,1.6286
41,18:53:43.970,2027,-0.0100,1.6335
42,18:53:43.970,2024,-0.0115,1.6311
43,18:53:43.971,2022,-0.0125,1.6295
44,18:53:43.971,2024,-0.0115,1.6311
45,18:53:43.972,2024,-0.0115,1.6311
46,18:53:43.972,2024,-0.0115,1.6311
47,18:53:43.973,2024,-0.0115,1.6311
48,18:53:43.973,2022,-0.0125,1.6295
