sample_index,real_time_s,raw_adc,amplitude,voltage
0,18:50:29.826,2022,-0.0125,1.6295
1,18:50:29.826,2023,-0.0120,1.6303
2,18:50:29.827,2025,-0.0110,1.6319
3,18:50:29.827,2028,-0.0095,1.6343
4,18:50:29.828,2027,-0.0100,1.6335
5,18:50:29.828,2022,-0.0125,1.6295
6,18:50:29.829,2023,-0.0120,1.6303
7,18:50:29.829,2024,-0.0115,1.6311
8,18:50:29.830,2029,-0.0090,1.6351
9,18:50:29.830,2022,-0.0125,1.6295
10,18:50:29.831,2023,-0.0120,1.6303
11,18:50:29.831,2024,-0.0115,1.6311
12,18:50:29.832,2026,-0.0105,1.6327
13,18:50:29.832,2028,-0.0095,1.6343
14,18:50:29.833,2026,-0.0105,1.6327
15,18:50:29.833,2027,-0.0100,1.6335
16,18:50:29.834,2029,-0.0090,1.6351
17,18:50:29.834,2027,-0.0100,1.6335
18,18:50:29.835,2027,-0.0100,1.6335
19,18:50:29.835,2031,-0.0081,1.6367
20,18:50:29.836,2027,-0.0100,1.6335
21,18:50:29.836,2024,-0.0115,1.6311
22,18:50:29.837,2023,-0.0120,1.6303
23,18:50:29.837,2025,-0.0110,1.6319
24,18:50:29.838,2025,-0.0110,1.6319
25,18:50:29.838,2026,-0.0105,1.6327
26,18:50:29.839,2025,-0.0110,1.6319
27,18:50:29.839,2029,-0.0090,1.6351
28,18:50:29.840,2028,-0.0095,1.6343
29,18:50:29.840,2025,-0.0110,1.6319
30,18:50:29.841,2028,-0.0095,1.6343
31,18:50:29.841,2027,-0.0100,1.6335
32,18:50:29.842,2027,-0.0100,1.6335
33,18:50:29.842,2027,-0.0100,1.6335
34,18:50:29.843,2023,-0.0120,1.6303
35,18:50:29.843,2023,-0.0120,1.6303
36,18:50:29.844,2026,-0.0105,1.6327
37,18:50:29.844,2027,-0.0100,1.6335
38,18:50:29.845,2025,-0.0110,1.6319
39,18:50:29.845,2025,-0.0110,1.6319
40,18:50:29.846,2023,-0.0120,1.6303
41,18:50:29.846,2024,-0.0115,1.6311
42,18:50:29.847,2025,-0.0110,1.6319
43,18:50:29.847,2026,-0.0105,1.6327
44,18:50:29.848,2025,-0.0110,1.6319
45,18:50:29.848,2023,-0.0120,1.6303
46,18:50:29.849,2023,-0.0120,1.6303
47,18:50:29.849,2024,-0.0115,1.6311
48,18:50:29.850,2026,-0.0105,1.6327
49,18:50:29.850,2022,-0.0125,1.6295
50,18:50:29.851,2027,-0.0100,1.6335
51,18:50:29.851,2025,-0.0110,1.6319
52,18:50:29.852,2027,-0.0100,1.6335
53,18:50:29.852,2026,-0.0105,1.6327
54,18:50:29.853,2025,-0.0110,1.6319
55,18:50:29.853,2026,-0.0105,1.6327
56,18:50:29.854,2025,-0.0110,1.6319
57,18:50:29.854,2027,-0.0100,1.6335
58,18:50:29.855,2027,-0.0100,1.6335
59,18:50:29.855,2025,-0.0110,1.6319
60,18:50:29.856,2028,-0.0095,1.6343
61,18:50:29.856,2029,-0.0090,1.6351
62,18:50:29.857,2029,-0.0090,1.6351
63,18:50:29.857,2028,-0.0095,1.6343
64,18:50:29.858,2025,-0.0110,1.6319
65,18:50:29.858,2028,-0.0095,1.6343
66,18:50:29.859,2028,-0.0095,1.6343
67,18:50:29.859,2027,-0.0100,1.6335
68,18:50:29.860,2025,-0.0110,1.6319
69,18:50:29.860,2030,-0.0085,1.6359
70,18:50:29.861,2026,-0.0105,1.6327
71,18:50:29.861,2024,-0.0115,1.6311
72,18:50:29.862,2026,-0.0105,1.6327
73,18:50:29.862,2026,-0.0105,1.6327
74,18:50:29.863,2025,-0.0110,1.6319
75,18:50:29.863,2023,-0.0120,1.6303
76,18:50:29.864,2026,-0.0105,1.6327
77,18:50:29.864,2026,-0.0105,1.6327
78,18:50:29.865,2023,-0.0120,1.6303
79,18:50:29.865,2025,-0.0110,1.6319
80,18:50:29.866,2025,-0.0110,1.6319
81,18:50:29.866,2025,-0.0110,1.6319
82,18:50:29.867,2026,-0.0105,1.6327
83,18:50:29.867,2026,-0.0105,1.6327
84,18:50:29.868,2023,-0.0120,1.6303
85,18:50:29.868,2032,-0.0076,1.6375
86,18:50:29.869,2026,-0.0105,1.6327
87,18:50:29.869,2023,-0.0120,1.6303
88,18:50:29.870,2024,-0.0115,1.6311
89,18:50:29.870,2024,-0.0115,1.6311
90,18:50:29.871,2023,-0.0120,1.6303
91,18:50:29.871,2024,-0.0115,1.6311
92,18:50:29.872,2026,-0.0105,1.6327
93,18:50:29.872,2026,-0.0105,1.6327
94,18:50:29.873,2028,-0.0095,1.6343
95,18:50:29.873,2027,-0.0100,1.6335
96,18:50:29.874,2024,-0.0115,1.6311
97,18:50:29.874,2022,-0.0125,1.6295
98,18:50:29.875,2023,-0.0120,1.6303
99,18:50:29.875,2023,-0.0120,1.6303
100,18:50:29.876,2020,-0.0134,1.6278
101,18:50:29.876,2025,-0.0110,1.6319
102,18:50:29.877,2023,-0.0120,1.6303
103,18:50:29.877,2021,-0.0129,1.6286
104,18:50:29.878,2025,-0.0110,1.6319
105,18:50:29.878,2025,-0.0110,1.6319
106,18:50:29.879,2022,-0.0125,1.6295
107,18:50:29.879,2019,-0.0139,1.6270
108,18:50:29.880,2020,-0.0134,1.6278
109,18:50:29.880,2019,-0.0139,1.6270
110,18:50:29.881,2022,-0.0125,1.6295
111,18:50:29.881,2022,-0.0125,1.6295
112,18:50:29.882,2024,-0.0115,1.6311
113,18:50:29.882,2019,-0.0139,1.6270
114,18:50:29.883,2020,-0.0134,1.6278
