sample_index,real_time_s,raw_adc,amplitude,voltage
0,19:22:00.187,2023,-0.0120,1.6303
1,19:22:00.187,2020,-0.0134,1.6278
2,19:22:00.188,2019,-0.0139,1.6270
3,19:22:00.188,2022,-0.0125,1.6295
4,19:22:00.189,2019,-0.0139,1.6270
5,19:22:00.189,2021,-0.0129,1.6286
6,19:22:00.190,2021,-0.0129,1.6286
7,19:22:00.190,2020,-0.0134,1.6278
8,19:22:00.191,2020,-0.0134,1.6278
9,19:22:00.191,2020,-0.0134,1.6278
10,19:22:00.192,2020,-0.0134,1.6278
11,19:22:00.192,2023,-0.0120,1.6303
12,19:22:00.193,2025,-0.0110,1.6319
13,19:22:00.193,2023,-0.0120,1.6303
14,19:22:00.194,2021,-0.0129,1.6286
15,19:22:00.194,2020,-0.0134,1.6278
16,19:22:00.195,2020,-0.0134,1.6278
17,19:22:00.195,2024,-0.0115,1.6311
18,19:22:00.196,2020,-0.0134,1.6278
19,19:22:00.196,2020,-0.0134,1.6278
20,19:22:00.197,2019,-0.0139,1.6270
21,19:22:00.197,2021,-0.0129,1.6286
22,19:22:00.198,2019,-0.0139,1.6270
23,19:22:00.198,2016,-0.0154,1.6246
24,19:22:00.199,2016,-0.0154,1.6246
25,19:22:00.199,2022,-0.0125,1.6295
26,19:22:00.200,2024,-0.0115,1.6311
27,19:22:00.200,2021,-0.0129,1.6286
28,19:22:00.201,2023,-0.0120,1.6303
29,19:22:00.201,2017,-0.0149,1.6254
30,19:22:00.202,2019,-0.0139,1.6270
31,19:22:00.202,2020,-0.0134,1.6278
32,19:22:00.203,2019,-0.0139,1.6270
33,19:22:00.203,2018,-0.0144,1.6262
34,19:22:00.204,2019,-0.0139,1.6270
35,19:22:00.204,2020,-0.0134,1.6278
36,19:22:00.205,2020,-0.0134,1.6278
37,19:22:00.205,2023,-0.0120,1.6303
38,19:22:00.206,2017,-0.0149,1.6254
39,19:22:00.206,2022,-0.0125,1.6295
40,19:22:00.207,2025,-0.0110,1.6319
41,19:22:00.207,2019,-0.0139,1.6270
42,19:22:00.208,2023,-0.0120,1.6303
43,19:22:00.208,2023,-0.0120,1.6303
44,19:22:00.209,2021,-0.0129,1.6286
45,19:22:00.209,2020,-0.0134,1.6278
46,19:22:00.210,2019,-0.0139,1.6270
47,19:22:00.210,2023,-0.0120,1.6303
48,19:22:00.211,2020,-0.0134,1.6278
49,19:22:00.211,2023,-0.0120,1.6303
50,19:22:00.212,2021,-0.0129,1.6286
51,19:22:00.212,2023,-0.0120,1.6303
52,19:22:00.213,2021,-0.0129,1.6286
53,19:22:00.213,2018,-0.0144,1.6262
54,19:22:00.214,2024,-0.0115,1.6311
55,19:22:00.214,2020,-0.0134,1.6278
56,19:22:00.215,2020,-0.0134,1.6278
57,19:22:00.215,2017,-0.0149,1.6254
58,19:22:00.216,2022,-0.0125,1.6295
59,19:22:00.216,2023,-0.0120,1.6303
60,19:22:00.217,2023,-0.0120,1.6303
61,19:22:00.217,2022,-0.0125,1.6295
62,19:22:00.218,2022,-0.0125,1.6295
63,19:22:00.218,2021,-0.0129,1.6286
64,19:22:00.219,2021,-0.0129,1.6286
65,19:22:00.219,2024,-0.0115,1.6311
66,19:22:00.220,2021,-0.0129,1.6286
67,19:22:00.220,2019,-0.0139,1.6270
68,19:22:00.221,2021,-0.0129,1.6286
69,19:22:00.221,2024,-0.0115,1.6311
70,19:22:00.222,2022,-0.0125,1.6295
71,19:22:00.222,2019,-0.0139,1.6270
72,19:22:00.223,2023,-0.0120,1.6303
73,19:22:00.223,2024,-0.0115,1.6311
74,19:22:00.224,2022,-0.0125,1.6295
75,19:22:00.224,2019,-0.0139,1.6270
76,19:22:00.225,2020,-0.0134,1.6278
77,19:22:00.225,2020,-0.0134,1.6278
78,19:22:00.226,2020,-0.0134,1.6278
79,19:22:00.226,2021,-0.0129,1.6286
80,19:22:00.227,2023,-0.0120,1.6303
81,19:22:00.227,2021,-0.0129,1.6286
82,19:22:00.228,2021,-0.0129,1.6286
83,19:22:00.228,2026,-0.0105,1.6327
84,19:22:00.229,2022,-0.0125,1.6295
85,19:22:00.229,2018,-0.0144,1.6262
86,19:22:00.230,2026,-0.0105,1.6327
87,19:22:00.230,2023,-0.0120,1.6303
88,19:22:00.231,2016,-0.0154,1.6246
89,19:22:00.231,2019,-0.0139,1.6270
90,19:22:00.232,2022,-0.0125,1.6295
91,19:22:00.232,2022,-0.0125,1.6295
92,19:22:00.233,2020,-0.0134,1.6278
93,19:22:00.233,2024,-0.0115,1.6311
94,19:22:00.234,2023,-0.0120,1.6303
95,19:22:00.234,2021,-0.0129,1.6286
