sample_index,real_time_s,raw_adc,amplitude,voltage
0,14:45:41.923,2024,-0.0115,1.6311
1,14:45:41.924,2020,-0.0134,1.6278
2,14:45:41.924,2024,-0.0115,1.6311
3,14:45:41.925,2022,-0.0125,1.6295
4,14:45:41.925,2021,-0.0129,1.6286
5,14:45:41.926,2025,-0.0110,1.6319
6,14:45:41.926,2021,-0.0129,1.6286
7,14:45:41.927,2023,-0.0120,1.6303
8,14:45:41.927,2021,-0.0129,1.6286
9,14:45:41.928,2022,-0.0125,1.6295
10,14:45:41.928,2021,-0.0129,1.6286
11,14:45:41.929,2025,-0.0110,1.6319
12,14:45:41.929,2024,-0.0115,1.6311
13,14:45:41.930,2028,-0.0095,1.6343
14,14:45:41.930,2027,-0.0100,1.6335
15,14:45:41.931,2027,-0.0100,1.6335
16,14:45:41.931,2025,-0.0110,1.6319
17,14:45:41.932,2028,-0.0095,1.6343
18,14:45:41.932,2025,-0.0110,1.6319
19,14:45:41.933,2028,-0.0095,1.6343
20,14:45:41.933,2024,-0.0115,1.6311
21,14:45:41.934,2025,-0.0110,1.6319
22,14:45:41.934,2027,-0.0100,1.6335
23,14:45:41.935,2023,-0.0120,1.6303
24,14:45:41.935,2029,-0.0090,1.6351
25,14:45:41.936,2028,-0.0095,1.6343
26,14:45:41.936,2026,-0.0105,1.6327
27,14:45:41.937,2026,-0.0105,1.6327
28,14:45:41.937,2023,-0.0120,1.6303
29,14:45:41.938,2025,-0.0110,1.6319
30,14:45:41.938,2020,-0.0134,1.6278
31,14:45:41.939,2021,-0.0129,1.6286
32,14:45:41.939,2022,-0.0125,1.6295
33,14:45:41.940,2020,-0.0134,1.6278
34,14:45:41.940,2021,-0.0129,1.6286
35,14:45:41.941,2020,-0.0134,1.6278
36,14:45:41.941,2020,-0.0134,1.6278
37,14:45:41.942,2023,-0.0120,1.6303
38,14:45:41.942,2022,-0.0125,1.6295
39,14:45:41.943,2019,-0.0139,1.6270
40,14:45:41.943,2023,-0.0120,1.6303
41,14:45:41.944,2018,-0.0144,1.6262
42,14:45:41.944,2023,-0.0120,1.6303
43,14:45:41.945,2024,-0.0115,1.6311
44,14:45:41.945,2022,-0.0125,1.6295
45,14:45:41.946,2022,-0.0125,1.6295
46,14:45:41.946,2026,-0.0105,1.6327
47,14:45:41.947,2021,-0.0129,1.6286
48,14:45:41.947,2024,-0.0115,1.6311
49,14:45:41.948,2025,-0.0110,1.6319
50,14:45:41.948,2018,-0.0144,1.6262
51,14:45:41.949,2025,-0.0110,1.6319
52,14:45:41.949,2021,-0.0129,1.6286
53,14:45:41.950,2026,-0.0105,1.6327
54,14:45:41.950,2023,-0.0120,1.6303
55,14:45:41.951,2022,-0.0125,1.6295
56,14:45:41.951,2022,-0.0125,1.6295
57,14:45:41.952,2019,-0.0139,1.6270
58,14:45:41.952,2025,-0.0110,1.6319
59,14:45:41.953,2020,-0.0134,1.6278
60,14:45:41.953,2023,-0.0120,1.6303
61,14:45:41.954,2021,-0.0129,1.6286
62,14:45:41.954,2020,-0.0134,1.6278
63,14:45:41.955,2024,-0.0115,1.6311
64,14:45:41.955,2024,-0.0115,1.6311
65,14:45:41.956,2025,-0.0110,1.6319
66,14:45:41.956,2023,-0.0120,1.6303
67,14:45:41.957,2023,-0.0120,1.6303
68,14:45:41.957,2022,-0.0125,1.6295
69,14:45:41.958,2021,-0.0129,1.6286
70,14:45:41.958,2025,-0.0110,1.6319
71,14:45:41.959,2024,-0.0115,1.6311
72,14:45:41.959,2024,-0.0115,1.6311
73,14:45:41.960,2022,-0.0125,1.6295
74,14:45:41.960,2021,-0.0129,1.6286
75,14:45:41.961,2024,-0.0115,1.6311
76,14:45:41.961,2027,-0.0100,1.6335
77,14:45:41.962,2020,-0.0134,1.6278
78,14:45:41.962,2023,-0.0120,1.6303
79,14:45:41.963,2025,-0.0110,1.6319
80,14:45:41.963,2025,-0.0110,1.6319
81,14:45:41.964,2023,-0.0120,1.6303
82,14:45:41.964,2025,-0.0110,1.6319
83,14:45:41.965,2021,-0.0129,1.6286
84,14:45:41.965,2022,-0.0125,1.6295
85,14:45:41.966,2026,-0.0105,1.6327
86,14:45:41.966,2023,-0.0120,1.6303
87,14:45:41.967,2022,-0.0125,1.6295
88,14:45:41.967,2021,-0.0129,1.6286
89,14:45:41.968,2018,-0.0144,1.6262
90,14:45:41.968,2020,-0.0134,1.6278
91,14:45:41.969,2023,-0.0120,1.6303
92,14:45:41.969,2026,-0.0105,1.6327
93,14:45:41.970,2020,-0.0134,1.6278
94,14:45:41.970,2020,-0.0134,1.6278
95,14:45:41.971,2022,-0.0125,1.6295
96,14:45:41.971,2021,-0.0129,1.6286
97,14:45:41.972,2022,-0.0125,1.6295
98,14:45:41.972,2023,-0.0120,1.6303
99,14:45:41.973,2022,-0.0125,1.6295
100,14:45:41.973,2024,-0.0115,1.6311
101,14:45:41.974,2022,-0.0125,1.6295
102,14:45:41.974,2029,-0.0090,1.6351
103,14:45:41.975,2026,-0.0105,1.6327
104,14:45:41.975,2025,-0.0110,1.6319
105,14:45:41.976,2027,-0.0100,1.6335
106,14:45:41.976,2026,-0.0105,1.6327
107,14:45:41.977,2029,-0.0090,1.6351
108,14:45:41.977,2027,-0.0100,1.6335
109,14:45:41.978,2026,-0.0105,1.6327
110,14:45:41.978,2027,-0.0100,1.6335
111,14:45:41.979,2027,-0.0100,1.6335
112,14:45:41.979,2023,-0.0120,1.6303
113,14:45:41.980,2023,-0.0120,1.6303
114,14:45:41.980,2027,-0.0100,1.6335
115,14:45:41.981,2024,-0.0115,1.6311
116,14:45:41.981,2025,-0.0110,1.6319
117,14:45:41.982,2020,-0.0134,1.6278
118,14:45:41.982,2025,-0.0110,1.6319
119,14:45:41.983,2025,-0.0110,1.6319
120,14:45:41.983,2023,-0.0120,1.6303
121,14:45:41.984,2023,-0.0120,1.6303
122,14:45:41.984,2020,-0.0134,1.6278
123,14:45:41.985,2019,-0.0139,1.6270
124,14:45:41.985,2018,-0.0144,1.6262
125,14:45:41.986,2022,-0.0125,1.6295
126,14:45:41.986,2016,-0.0154,1.6246
127,14:45:41.987,2022,-0.0125,1.6295
128,14:45:41.987,2021,-0.0129,1.6286
129,14:45:41.988,2019,-0.0139,1.6270
130,14:45:41.988,2023,-0.0120,1.6303
131,14:45:41.989,2022,-0.0125,1.6295
132,14:45:41.989,2020,-0.0134,1.6278
133,14:45:41.990,2021,-0.0129,1.6286
134,14:45:41.990,2021,-0.0129,1.6286
135,14:45:41.991,2020,-0.0134,1.6278
136,14:45:41.991,2022,-0.0125,1.6295
137,14:45:41.992,2027,-0.0100,1.6335
138,14:45:41.992,2025,-0.0110,1.6319
139,14:45:41.993,2024,-0.0115,1.6311
140,14:45:41.993,2021,-0.0129,1.6286
141,14:45:41.994,2022,-0.0125,1.6295
142,14:45:41.994,2025,-0.0110,1.6319
143,14:45:41.995,2026,-0.0105,1.6327
144,14:45:41.995,2025,-0.0110,1.6319
145,14:45:41.996,2025,-0.0110,1.6319
146,14:45:41.996,2027,-0.0100,1.6335
147,14:45:41.997,2025,-0.0110,1.6319
148,14:45:41.997,2026,-0.0105,1.6327
149,14:45:41.998,2027,-0.0100,1.6335
150,14:45:41.998,2030,-0.0085,1.6359
151,14:45:41.999,2031,-0.0081,1.6367
152,14:45:41.999,2024,-0.0115,1.6311
153,14:45:42.000,2032,-0.0076,1.6375
154,14:45:42.000,2027,-0.0100,1.6335
155,14:45:42.001,2024,-0.0115,1.6311
156,14:45:42.001,2025,-0.0110,1.6319
157,14:45:42.002,2027,-0.0100,1.6335
158,14:45:42.002,2026,-0.0105,1.6327
159,14:45:42.003,2022,-0.0125,1.6295
160,14:45:42.003,2027,-0.0100,1.6335
161,14:45:42.004,2023,-0.0120,1.6303
162,14:45:42.004,2026,-0.0105,1.6327
163,14:45:42.005,2024,-0.0115,1.6311
164,14:45:42.005,2021,-0.0129,1.6286
165,14:45:42.006,2023,-0.0120,1.6303
166,14:45:42.006,2023,-0.0120,1.6303
167,14:45:42.007,2024,-0.0115,1.6311
168,14:45:42.007,2019,-0.0139,1.6270
169,14:45:42.008,2021,-0.0129,1.6286
170,14:45:42.008,2018,-0.0144,1.6262
171,14:45:42.009,2023,-0.0120,1.6303
172,14:45:42.009,2021,-0.0129,1.6286
173,14:45:42.010,2020,-0.0134,1.6278
174,14:45:42.010,2022,-0.0125,1.6295
175,14:45:42.011,2024,-0.0115,1.6311
176,14:45:42.011,2021,-0.0129,1.6286
177,14:45:42.012,2023,-0.0120,1.6303
178,14:45:42.012,2020,-0.0134,1.6278
179,14:45:42.013,2027,-0.0100,1.6335
180,14:45:42.013,2024,-0.0115,1.6311
181,14:45:42.014,2028,-0.0095,1.6343
182,14:45:42.014,2019,-0.0139,1.6270
183,14:45:42.015,2028,-0.0095,1.6343
184,14:45:42.015,2023,-0.0120,1.6303
185,14:45:42.016,2023,-0.0120,1.6303
186,14:45:42.016,2022,-0.0125,1.6295
187,14:45:42.017,2027,-0.0100,1.6335
188,14:45:42.017,2025,-0.0110,1.6319
189,14:45:42.018,2025,-0.0110,1.6319
190,14:45:42.018,2023,-0.0120,1.6303
191,14:45:42.019,2025,-0.0110,1.6319
192,14:45:42.019,2022,-0.0125,1.6295
193,14:45:42.020,2020,-0.0134,1.6278
194,14:45:42.020,2021,-0.0129,1.6286
195,14:45:42.021,2019,-0.0139,1.6270
196,14:45:42.021,2020,-0.0134,1.6278
197,14:45:42.022,2020,-0.0134,1.6278
198,14:45:42.022,2016,-0.0154,1.6246
199,14:45:42.023,2017,-0.0149,1.6254
200,14:45:42.023,2015,-0.0159,1.6238
201,14:45:42.024,2018,-0.0144,1.6262
202,14:45:42.024,2016,-0.0154,1.6246
203,14:45:42.025,2019,-0.0139,1.6270
204,14:45:42.025,2020,-0.0134,1.6278
205,14:45:42.026,2017,-0.0149,1.6254
206,14:45:42.026,2019,-0.0139,1.6270
207,14:45:42.027,2025,-0.0110,1.6319
208,14:45:42.027,2022,-0.0125,1.6295
209,14:45:42.028,2021,-0.0129,1.6286
210,14:45:42.028,2025,-0.0110,1.6319
211,14:45:42.029,2021,-0.0129,1.6286
212,14:45:42.029,2031,-0.0081,1.6367
213,14:45:42.030,2024,-0.0115,1.6311
214,14:45:42.030,2028,-0.0095,1.6343
215,14:45:42.031,2023,-0.0120,1.6303
216,14:45:42.031,2027,-0.0100,1.6335
217,14:45:42.032,2027,-0.0100,1.6335
218,14:45:42.032,2026,-0.0105,1.6327
219,14:45:42.033,2029,-0.0090,1.6351
220,14:45:42.033,2034,-0.0066,1.6391
221,14:45:42.034,2025,-0.0110,1.6319
222,14:45:42.034,2027,-0.0100,1.6335
223,14:45:42.035,2025,-0.0110,1.6319
224,14:45:42.035,2027,-0.0100,1.6335
225,14:45:42.036,2027,-0.0100,1.6335
226,14:45:42.036,2022,-0.0125,1.6295
227,14:45:42.037,2024,-0.0115,1.6311
228,14:45:42.037,2022,-0.0125,1.6295
229,14:45:42.038,2018,-0.0144,1.6262
230,14:45:42.038,2024,-0.0115,1.6311
231,14:45:42.039,2018,-0.0144,1.6262
232,14:45:42.039,2016,-0.0154,1.6246
233,14:45:42.040,2022,-0.0125,1.6295
234,14:45:42.040,2018,-0.0144,1.6262
235,14:45:42.041,2018,-0.0144,1.6262
236,14:45:42.041,2019,-0.0139,1.6270
237,14:45:42.042,2017,-0.0149,1.6254
238,14:45:42.042,2023,-0.0120,1.6303
239,14:45:42.043,2022,-0.0125,1.6295
240,14:45:42.043,2019,-0.0139,1.6270
241,14:45:42.044,2023,-0.0120,1.6303
242,14:45:42.044,2016,-0.0154,1.6246
243,14:45:42.045,2022,-0.0125,1.6295
244,14:45:42.045,2023,-0.0120,1.6303
245,14:45:42.046,2022,-0.0125,1.6295
246,14:45:42.046,2023,-0.0120,1.6303
247,14:45:42.047,2023,-0.0120,1.6303
248,14:45:42.047,2024,-0.0115,1.6311
249,14:45:42.048,2023,-0.0120,1.6303
250,14:45:42.048,2027,-0.0100,1.6335
251,14:45:42.049,2026,-0.0105,1.6327
252,14:45:42.049,2027,-0.0100,1.6335
253,14:45:42.050,2028,-0.0095,1.6343
254,14:45:42.050,2027,-0.0100,1.6335
255,14:45:42.051,2024,-0.0115,1.6311
256,14:45:42.051,2030,-0.0085,1.6359
257,14:45:42.052,2023,-0.0120,1.6303
258,14:45:42.052,2022,-0.0125,1.6295
259,14:45:42.053,2022,-0.0125,1.6295
260,14:45:42.053,2023,-0.0120,1.6303
261,14:45:42.054,2024,-0.0115,1.6311
262,14:45:42.054,2018,-0.0144,1.6262
263,14:45:42.055,2020,-0.0134,1.6278
264,14:45:42.055,2024,-0.0115,1.6311
265,14:45:42.056,2019,-0.0139,1.6270
266,14:45:42.056,2019,-0.0139,1.6270
267,14:45:42.057,2018,-0.0144,1.6262
268,14:45:42.057,2020,-0.0134,1.6278
269,14:45:42.058,2022,-0.0125,1.6295
270,14:45:42.058,2022,-0.0125,1.6295
271,14:45:42.059,2021,-0.0129,1.6286
272,14:45:42.059,2023,-0.0120,1.6303
273,14:45:42.060,2021,-0.0129,1.6286
274,14:45:42.060,2022,-0.0125,1.6295
275,14:45:42.061,2023,-0.0120,1.6303
276,14:45:42.061,2018,-0.0144,1.6262
277,14:45:42.062,2021,-0.0129,1.6286
278,14:45:42.062,2024,-0.0115,1.6311
279,14:45:42.063,2021,-0.0129,1.6286
280,14:45:42.063,2024,-0.0115,1.6311
281,14:45:42.064,2022,-0.0125,1.6295
282,14:45:42.064,2025,-0.0110,1.6319
283,14:45:42.065,2023,-0.0120,1.6303
284,14:45:42.065,2028,-0.0095,1.6343
285,14:45:42.066,2028,-0.0095,1.6343
286,14:45:42.066,2026,-0.0105,1.6327
287,14:45:42.067,2022,-0.0125,1.6295
288,14:45:42.067,2025,-0.0110,1.6319
289,14:45:42.068,2023,-0.0120,1.6303
290,14:45:42.068,2021,-0.0129,1.6286
291,14:45:42.069,2024,-0.0115,1.6311
292,14:45:42.069,2025,-0.0110,1.6319
293,14:45:42.070,2024,-0.0115,1.6311
294,14:45:42.070,2022,-0.0125,1.6295
295,14:45:42.071,2022,-0.0125,1.6295
296,14:45:42.071,2026,-0.0105,1.6327
297,14:45:42.072,2023,-0.0120,1.6303
298,14:45:42.072,2027,-0.0100,1.6335
299,14:45:42.073,2023,-0.0120,1.6303
300,14:45:42.073,2022,-0.0125,1.6295
301,14:45:42.074,2024,-0.0115,1.6311
302,14:45:42.074,2025,-0.0110,1.6319
